#FID,IID,V2
tsk_0,tsk_0,-0.0926809
tsk_1,tsk_1,-0.0926809
tsk_2,tsk_2,-0.109129
tsk_3,tsk_3,0.386845
tsk_4,tsk_4,-0.0926809
tsk_5,tsk_5,-0.0926809
tsk_6,tsk_6,-0.0926809
tsk_7,tsk_7,-0.0912135
tsk_8,tsk_8,-0.0967279
tsk_9,tsk_9,-0.039786
tsk_10,tsk_10,0.0928227
tsk_11,tsk_11,0.0128171
tsk_12,tsk_12,-0.00726733
tsk_13,tsk_13,0.0275705
tsk_14,tsk_14,0.0275705
tsk_15,tsk_15,0.374818
tsk_16,tsk_16,-0.46278
tsk_17,tsk_17,-0.195842
tsk_18,tsk_18,0.36225
tsk_19,tsk_19,0.36225
tsk_20,tsk_20,0.151439
tsk_21,tsk_21,0.118636
tsk_22,tsk_22,0.338124
tsk_23,tsk_23,0.119852
tsk_24,tsk_24,0.119852
tsk_25,tsk_25,0.0654841
tsk_26,tsk_26,-0.195842
tsk_27,tsk_27,0.0654841
tsk_28,tsk_28,0.045246
tsk_29,tsk_29,-0.0784574
tsk_30,tsk_30,0.045246
tsk_31,tsk_31,-0.0784574
tsk_32,tsk_32,0.0784698
tsk_33,tsk_33,0.0677586
tsk_34,tsk_34,0.030229
tsk_35,tsk_35,-0.0146121
tsk_36,tsk_36,-0.00535918
tsk_37,tsk_37,-0.083035
tsk_38,tsk_38,-0.083035
tsk_39,tsk_39,0.139325
tsk_40,tsk_40,-0.1583
tsk_41,tsk_41,0.130051
tsk_42,tsk_42,0.9782
tsk_43,tsk_43,0.146034
tsk_44,tsk_44,0.249936
tsk_45,tsk_45,0.228788
tsk_46,tsk_46,0.246191
tsk_47,tsk_47,-0.0463247
tsk_48,tsk_48,0.146034
tsk_49,tsk_49,-0.25634
tsk_50,tsk_50,-0.105835
tsk_51,tsk_51,-0.332935
tsk_52,tsk_52,0.248317
tsk_53,tsk_53,-0.166517
tsk_54,tsk_54,0.248317
tsk_55,tsk_55,0.0177201
tsk_56,tsk_56,0.189349
tsk_57,tsk_57,0.22857
tsk_58,tsk_58,-0.332935
tsk_59,tsk_59,0.191052
tsk_60,tsk_60,-0.0448253
tsk_61,tsk_61,-0.166517
tsk_62,tsk_62,0.189349
tsk_63,tsk_63,-0.43382
tsk_64,tsk_64,0.0897511
tsk_65,tsk_65,-0.11793
tsk_66,tsk_66,-0.110486
tsk_67,tsk_67,-0.110931
tsk_68,tsk_68,0.644897
tsk_69,tsk_69,0.106804
tsk_70,tsk_70,0.9782
tsk_71,tsk_71,0.407696
tsk_72,tsk_72,-0.13757
tsk_73,tsk_73,0.115553
tsk_74,tsk_74,0.226597
tsk_75,tsk_75,0.180445
tsk_76,tsk_76,0.271281
tsk_77,tsk_77,0.271281
tsk_78,tsk_78,0.0208073
tsk_79,tsk_79,0.292386
tsk_80,tsk_80,0.519075
tsk_81,tsk_81,1.08057
tsk_82,tsk_82,-0.109257
tsk_83,tsk_83,1.02213
tsk_84,tsk_84,1.08057
tsk_85,tsk_85,-0.0341499
tsk_86,tsk_86,1.02213
tsk_87,tsk_87,0.587348
tsk_88,tsk_88,1.08057
tsk_89,tsk_89,0.0720344
tsk_90,tsk_90,-0.0796935
tsk_91,tsk_91,0.0720344
tsk_92,tsk_92,-0.0993737
tsk_93,tsk_93,0.0877741
tsk_94,tsk_94,0.0877741
tsk_95,tsk_95,0.0877741
tsk_96,tsk_96,0.111902
tsk_97,tsk_97,0.0313523
tsk_98,tsk_98,0.470442
tsk_99,tsk_99,-0.0993737
tsk_200,tsk_200,0.0877741
tsk_201,tsk_201,0.0877741
tsk_202,tsk_202,0.0877741
tsk_203,tsk_203,0.0313523
tsk_204,tsk_204,0.0313523
tsk_205,tsk_205,0.470442
tsk_206,tsk_206,0.0430552
tsk_207,tsk_207,-0.0276673
tsk_208,tsk_208,-0.0276673
tsk_209,tsk_209,-0.0276673
tsk_210,tsk_210,0.874412
tsk_211,tsk_211,0.105924
tsk_212,tsk_212,1.02213
tsk_213,tsk_213,-0.0141661
tsk_214,tsk_214,0.145073
tsk_215,tsk_215,-0.0141661
tsk_216,tsk_216,0.0848033
tsk_217,tsk_217,0.0598723
tsk_218,tsk_218,0.874412
tsk_219,tsk_219,-0.0265226
tsk_220,tsk_220,0.048227
tsk_221,tsk_221,-0.081247
tsk_222,tsk_222,0.482272
tsk_223,tsk_223,0.0516013
tsk_224,tsk_224,0.298131
tsk_225,tsk_225,0.298131
tsk_226,tsk_226,0.295936
tsk_227,tsk_227,0.295936
tsk_228,tsk_228,0.288392
tsk_229,tsk_229,0.288392
tsk_230,tsk_230,0.0811079
tsk_231,tsk_231,0.470442
tsk_232,tsk_232,0.288392
tsk_233,tsk_233,0.261374
tsk_234,tsk_234,0.0719309
tsk_235,tsk_235,0.446464
tsk_236,tsk_236,0.446464
tsk_237,tsk_237,0.446464
tsk_238,tsk_238,0.358642
tsk_239,tsk_239,0.358642
tsk_240,tsk_240,0.358642
tsk_241,tsk_241,0.358642
tsk_242,tsk_242,0.358642
tsk_243,tsk_243,0.273258
tsk_244,tsk_244,-0.0669651
tsk_245,tsk_245,0.491675
