rep	case	h2	ts	envs	Qx	P.Chi	P.EN	type
A1	C1	h2-0.0	p-0.50	env_0.0	0.487349122335914	0.485112189208397	0.518	c
A1	C1	h2-0.0	p-0.50	env_0.0	0.487349122335914	0.485112189208397	0.523	c.p
A1	C1	h2-0.0	p-0.50	env_0.0	1.34273827994259	0.246551643750991	0.2	nc
A1	C1	h2-0.0	p-0.50	env_0.0	1.14755456333397	0.284061650816558	0.345	c-Tm
A1	C1	h2-0.0	p-0.50	env_0.0	1.14755456333397	0.284061650816558	0.337	c.p-Tm
A1	C1	h2-0.0	p-0.50	env_0.0	4.06922387239428	0.0436713357617402	0.049	nc-Tm
A1	C1	h2-0.0	p-0.50	env_0.0	0.579688406551577	0.446434481532877	0.502	c-ID
A1	C1	h2-0.0	p-0.50	env_0.0	0.579688406551577	0.446434481532877	0.492	c.p-ID
A1	C1	h2-0.0	p-0.50	env_0.0	2.49230770344004	0.114403866338568	0.114	nc-ID
A1	C1	h2-0.0	p-0.50	env_0.0			1	True
A2	C1	h2-0.0	p-0.50	env_0.0	0.0919331066488095	0.761733846636591	0.772	c
A2	C1	h2-0.0	p-0.50	env_0.0	0.0919331066488095	0.761733846636591	0.773	c.p
A2	C1	h2-0.0	p-0.50	env_0.0	0.14937114845081	0.699137037066451	0.701	nc
A2	C1	h2-0.0	p-0.50	env_0.0	0.543351891725243	0.461046903998844	0.502	c-Tm
A2	C1	h2-0.0	p-0.50	env_0.0	0.543351891725243	0.461046903998844	0.481	c.p-Tm
A2	C1	h2-0.0	p-0.50	env_0.0	1.4288595510873	0.231950650532793	0.253	nc-Tm
A2	C1	h2-0.0	p-0.50	env_0.0	0.0787394030441716	0.779013056649384	0.791	c-ID
A2	C1	h2-0.0	p-0.50	env_0.0	0.0787394030441716	0.779013056649384	0.787	c.p-ID
A2	C1	h2-0.0	p-0.50	env_0.0	0.372224188682407	0.541794383949047	0.551	nc-ID
A2	C1	h2-0.0	p-0.50	env_0.0			1	True
A3	C1	h2-0.0	p-0.50	env_0.0	0.482494924096936	0.487294386672483	0.443	c
A3	C1	h2-0.0	p-0.50	env_0.0	0.482494924096936	0.487294386672483	0.448	c.p
A3	C1	h2-0.0	p-0.50	env_0.0	1.75682078202085	0.185021557603532	0.15	nc
A3	C1	h2-0.0	p-0.50	env_0.0	0.665380618974812	0.414666784482058	0.386	c-Tm
A3	C1	h2-0.0	p-0.50	env_0.0	0.665380618974812	0.414666784482058	0.369	c.p-Tm
A3	C1	h2-0.0	p-0.50	env_0.0	1.79837781655636	0.179908732728818	0.162	nc-Tm
A3	C1	h2-0.0	p-0.50	env_0.0	0.579852092061232	0.446370301958975	0.414	c-ID
A3	C1	h2-0.0	p-0.50	env_0.0	0.579852092061232	0.446370301958975	0.445	c.p-ID
A3	C1	h2-0.0	p-0.50	env_0.0	2.40866129980579	0.120665515240581	0.106	nc-ID
A3	C1	h2-0.0	p-0.50	env_0.0			1	True
A4	C1	h2-0.0	p-0.50	env_0.0	0.106791854908703	0.743826548869527	0.721	c
A4	C1	h2-0.0	p-0.50	env_0.0	0.106791854908703	0.743826548869527	0.756	c.p
A4	C1	h2-0.0	p-0.50	env_0.0	0.697407001929425	0.403656353235674	0.39	nc
A4	C1	h2-0.0	p-0.50	env_0.0	0.0446130177611591	0.832717213208636	0.852	c-Tm
A4	C1	h2-0.0	p-0.50	env_0.0	0.0446130177611591	0.832717213208636	0.836	c.p-Tm
A4	C1	h2-0.0	p-0.50	env_0.0	2.66377090587467	0.102657099257278	0.119	nc-Tm
A4	C1	h2-0.0	p-0.50	env_0.0	0.00227296396566859	0.961974770916027	0.96	c-ID
A4	C1	h2-0.0	p-0.50	env_0.0	0.00227296396566859	0.961974770916027	0.977	c.p-ID
A4	C1	h2-0.0	p-0.50	env_0.0	1.61496698923674	0.203794999629831	0.217	nc-ID
A4	C1	h2-0.0	p-0.50	env_0.0			1	True
A5	C1	h2-0.0	p-0.50	env_0.0	0.662037537650699	0.415841536177034	0.375	c
A5	C1	h2-0.0	p-0.50	env_0.0	0.662037537650699	0.415841536177034	0.401	c.p
A5	C1	h2-0.0	p-0.50	env_0.0	0.00976727933528902	0.921273608317071	0.923	nc
A5	C1	h2-0.0	p-0.50	env_0.0	0.346674322528411	0.556001779756761	0.535	c-Tm
A5	C1	h2-0.0	p-0.50	env_0.0	0.346674322528411	0.556001779756761	0.558	c.p-Tm
A5	C1	h2-0.0	p-0.50	env_0.0	0.019829970038057	0.888012990934757	0.898	nc-Tm
A5	C1	h2-0.0	p-0.50	env_0.0	0.6553923429285	0.418191347953827	0.415	c-ID
A5	C1	h2-0.0	p-0.50	env_0.0	0.6553923429285	0.418191347953827	0.421	c.p-ID
A5	C1	h2-0.0	p-0.50	env_0.0	0.23156066405755	0.630369026530689	0.683	nc-ID
A5	C1	h2-0.0	p-0.50	env_0.0			1	True
A6	C1	h2-0.0	p-0.50	env_0.0	0.4622934987822	0.496554049686177	0.546	c
A6	C1	h2-0.0	p-0.50	env_0.0	0.4622934987822	0.496554049686177	0.537	c.p
A6	C1	h2-0.0	p-0.50	env_0.0	0.64850620852156	0.420647255749758	0.341	nc
A6	C1	h2-0.0	p-0.50	env_0.0	0.582039227615941	0.445514117082892	0.457	c-Tm
A6	C1	h2-0.0	p-0.50	env_0.0	0.582039227615941	0.445514117082892	0.483	c.p-Tm
A6	C1	h2-0.0	p-0.50	env_0.0	0.917875843324673	0.33803332523371	0.286	nc-Tm
A6	C1	h2-0.0	p-0.50	env_0.0	0.410443605288266	0.521744434687555	0.525	c-ID
A6	C1	h2-0.0	p-0.50	env_0.0	0.410443605288266	0.521744434687555	0.557	c.p-ID
A6	C1	h2-0.0	p-0.50	env_0.0	1.73426705710689	0.187866871022774	0.15	nc-ID
A6	C1	h2-0.0	p-0.50	env_0.0			1	True
A7	C1	h2-0.0	p-0.50	env_0.0	0.00883333004197939	0.925120439125454	0.923	c
A7	C1	h2-0.0	p-0.50	env_0.0	0.00883333004197939	0.925120439125454	0.923	c.p
A7	C1	h2-0.0	p-0.50	env_0.0	2.59368434715943	0.107290499676049	0.064	nc
A7	C1	h2-0.0	p-0.50	env_0.0	0.308766771310003	0.57843793144125	0.602	c-Tm
A7	C1	h2-0.0	p-0.50	env_0.0	0.308766771310003	0.57843793144125	0.601	c.p-Tm
A7	C1	h2-0.0	p-0.50	env_0.0	0.955380561183542	0.328353492792584	0.316	nc-Tm
A7	C1	h2-0.0	p-0.50	env_0.0	0.255851498667437	0.612984664364623	0.631	c-ID
A7	C1	h2-0.0	p-0.50	env_0.0	0.255851498667437	0.612984664364623	0.616	c.p-ID
A7	C1	h2-0.0	p-0.50	env_0.0	1.0418584466012	0.307389639997725	0.287	nc-ID
A7	C1	h2-0.0	p-0.50	env_0.0			1	True
A8	C1	h2-0.0	p-0.50	env_0.0	0.436816070058669	0.508663219605834	0.54	c
A8	C1	h2-0.0	p-0.50	env_0.0	0.436816070058669	0.508663219605834	0.546	c.p
A8	C1	h2-0.0	p-0.50	env_0.0	2.70454669833375	0.100062519932727	0.083	nc
A8	C1	h2-0.0	p-0.50	env_0.0	0.00148279159323232	0.969283424092565	0.97	c-Tm
A8	C1	h2-0.0	p-0.50	env_0.0	0.00148279159323232	0.969283424092565	0.973	c.p-Tm
A8	C1	h2-0.0	p-0.50	env_0.0	12.2134938483087	0.000474450981436468	0	nc-Tm
A8	C1	h2-0.0	p-0.50	env_0.0	0.392803151244641	0.530829614570341	0.551	c-ID
A8	C1	h2-0.0	p-0.50	env_0.0	0.392803151244641	0.530829614570341	0.569	c.p-ID
A8	C1	h2-0.0	p-0.50	env_0.0	4.99916469586805	0.0253595547579415	0.025	nc-ID
A8	C1	h2-0.0	p-0.50	env_0.0			1	True
A9	C1	h2-0.0	p-0.50	env_0.0	0.0470855268761355	0.82821458162335	0.802	c
A9	C1	h2-0.0	p-0.50	env_0.0	0.0470855268761355	0.82821458162335	0.803	c.p
A9	C1	h2-0.0	p-0.50	env_0.0	5.95186955462928	0.0147016860457122	0.012	nc
A9	C1	h2-0.0	p-0.50	env_0.0	0.00227389152025675	0.961967018888614	0.954	c-Tm
A9	C1	h2-0.0	p-0.50	env_0.0	0.00227389152025675	0.961967018888614	0.946	c.p-Tm
A9	C1	h2-0.0	p-0.50	env_0.0	3.1960309717183	0.0738172127748307	0.085	nc-Tm
A9	C1	h2-0.0	p-0.50	env_0.0	0.000829809410741768	0.977018986435049	0.973	c-ID
A9	C1	h2-0.0	p-0.50	env_0.0	0.000829809410741768	0.977018986435049	0.977	c.p-ID
A9	C1	h2-0.0	p-0.50	env_0.0	3.21439151507813	0.0729933262298035	0.082	nc-ID
A9	C1	h2-0.0	p-0.50	env_0.0			1	True
