rep	case	h2	ts	envs	Qx	P.Chi	P.EN	type
A1	C1	h2-0.3	p-0.50	env_0.0	1.10979982808477	0.292125465599909	0.331	c
A1	C1	h2-0.3	p-0.50	env_0.0	1.10979982808477	0.292125465599909	0.385	c.p
A1	C1	h2-0.3	p-0.50	env_0.0	0.146633826850312	0.701773175333119	0.698	nc
A1	C1	h2-0.3	p-0.50	env_0.0	2.31146747012252	0.128422757238057	0.157	c-Tm
A1	C1	h2-0.3	p-0.50	env_0.0	2.31146747012252	0.128422757238057	0.156	c.p-Tm
A1	C1	h2-0.3	p-0.50	env_0.0	2.88674864403734	0.0893109972029814	0.107	nc-Tm
A1	C1	h2-0.3	p-0.50	env_0.0	2.58425652039996	0.107931076497411	0.126	c-ID
A1	C1	h2-0.3	p-0.50	env_0.0	2.58425652039996	0.107931076497411	0.162	c.p-ID
A1	C1	h2-0.3	p-0.50	env_0.0	3.99109081345347	0.0457414426398853	0.048	nc-ID
A1	C1	h2-0.3	p-0.50	env_0.0	2.36866890059314	0.123792566171567	0.151	True
A2	C1	h2-0.3	p-0.50	env_0.0	4.02703000753248	0.0447767020714609	0.049	c
A2	C1	h2-0.3	p-0.50	env_0.0	4.02703000753248	0.0447767020714609	0.051	c.p
A2	C1	h2-0.3	p-0.50	env_0.0	29.4797351954397	5.65044282379098e-08	0	nc
A2	C1	h2-0.3	p-0.50	env_0.0	0.774073185061861	0.378959922016846	0.394	c-Tm
A2	C1	h2-0.3	p-0.50	env_0.0	0.774073185061861	0.378959922016846	0.347	c.p-Tm
A2	C1	h2-0.3	p-0.50	env_0.0	0.448202572503485	0.503189762186043	0.506	nc-Tm
A2	C1	h2-0.3	p-0.50	env_0.0	0.681203177212995	0.409172722066674	0.389	c-ID
A2	C1	h2-0.3	p-0.50	env_0.0	0.681203177212995	0.409172722066674	0.399	c.p-ID
A2	C1	h2-0.3	p-0.50	env_0.0	0.0866403516511979	0.768492508269934	0.743	nc-ID
A2	C1	h2-0.3	p-0.50	env_0.0	0.896978984758639	0.343593049962582	0.333	True
A3	C1	h2-0.3	p-0.50	env_0.0	0.0301257423414986	0.862205227711822	0.864	c
A3	C1	h2-0.3	p-0.50	env_0.0	0.0301257423414986	0.862205227711822	0.855	c.p
A3	C1	h2-0.3	p-0.50	env_0.0	0.629412043418895	0.4275710622521	0.364	nc
A3	C1	h2-0.3	p-0.50	env_0.0	0.0504462167875584	0.822288634548806	0.816	c-Tm
A3	C1	h2-0.3	p-0.50	env_0.0	0.0504462167875584	0.822288634548806	0.828	c.p-Tm
A3	C1	h2-0.3	p-0.50	env_0.0	0.0970997732962788	0.755338176028259	0.738	nc-Tm
A3	C1	h2-0.3	p-0.50	env_0.0	0.0341323460240612	0.853425586377442	0.85	c-ID
A3	C1	h2-0.3	p-0.50	env_0.0	0.0341323460240612	0.853425586377442	0.858	c.p-ID
A3	C1	h2-0.3	p-0.50	env_0.0	0.0851470043216477	0.770439854023707	0.771	nc-ID
A3	C1	h2-0.3	p-0.50	env_0.0	0.0737903425615317	0.785895934102715	0.77	True
A4	C1	h2-0.3	p-0.50	env_0.0	0.966382700923397	0.325583982722531	0.328	c
A4	C1	h2-0.3	p-0.50	env_0.0	0.966382700923397	0.325583982722531	0.292	c.p
A4	C1	h2-0.3	p-0.50	env_0.0	3.41029262172797	0.0647909563413075	0.05	nc
A4	C1	h2-0.3	p-0.50	env_0.0	0.544077790880474	0.460747653680803	0.425	c-Tm
A4	C1	h2-0.3	p-0.50	env_0.0	0.544077790880474	0.460747653680803	0.43	c.p-Tm
A4	C1	h2-0.3	p-0.50	env_0.0	0.623488674241431	0.429753819543615	0.404	nc-Tm
A4	C1	h2-0.3	p-0.50	env_0.0	0.68315924657509	0.4085009671541	0.37	c-ID
A4	C1	h2-0.3	p-0.50	env_0.0	0.68315924657509	0.4085009671541	0.363	c.p-ID
A4	C1	h2-0.3	p-0.50	env_0.0	1.05640202740222	0.304037235885605	0.285	nc-ID
A4	C1	h2-0.3	p-0.50	env_0.0	0.685442340364465	0.407718949583588	0.383	True
A5	C1	h2-0.3	p-0.50	env_0.0	3.01834582077793	0.0823274012425857	0.064	c
A5	C1	h2-0.3	p-0.50	env_0.0	3.01834582077793	0.0823274012425857	0.063	c.p
A5	C1	h2-0.3	p-0.50	env_0.0	5.21596442555396	0.0223804303283857	0.018	nc
A5	C1	h2-0.3	p-0.50	env_0.0	1.98905581432776	0.158439637281578	0.129	c-Tm
A5	C1	h2-0.3	p-0.50	env_0.0	1.98905581432776	0.158439637281578	0.137	c.p-Tm
A5	C1	h2-0.3	p-0.50	env_0.0	1.11988292677698	0.289943664229005	0.254	nc-Tm
A5	C1	h2-0.3	p-0.50	env_0.0	2.04410328495523	0.152796995403116	0.136	c-ID
A5	C1	h2-0.3	p-0.50	env_0.0	2.04410328495523	0.152796995403116	0.132	c.p-ID
A5	C1	h2-0.3	p-0.50	env_0.0	1.20117020598404	0.273087917219303	0.244	nc-ID
A5	C1	h2-0.3	p-0.50	env_0.0	1.93116388175755	0.164631166618473	0.144	True
A6	C1	h2-0.3	p-0.50	env_0.0	3.76089475446153	0.0524644968419785	0.084	c
A6	C1	h2-0.3	p-0.50	env_0.0	3.76089475446153	0.0524644968419785	0.073	c.p
A6	C1	h2-0.3	p-0.50	env_0.0	38.5081232868829	5.45262596858618e-10	0	nc
A6	C1	h2-0.3	p-0.50	env_0.0	0.0628649039081669	0.802023834581705	0.851	c-Tm
A6	C1	h2-0.3	p-0.50	env_0.0	0.0628649039081669	0.802023834581705	0.857	c.p-Tm
A6	C1	h2-0.3	p-0.50	env_0.0	0.0498173013407183	0.823381488411302	0.848	nc-Tm
A6	C1	h2-0.3	p-0.50	env_0.0	0.117212037448081	0.732078154154483	0.773	c-ID
A6	C1	h2-0.3	p-0.50	env_0.0	0.117212037448081	0.732078154154483	0.793	c.p-ID
A6	C1	h2-0.3	p-0.50	env_0.0	0.00910941587345137	0.923962756402338	0.941	nc-ID
A6	C1	h2-0.3	p-0.50	env_0.0	0.156310631679729	0.692576196388068	0.764	True
A7	C1	h2-0.3	p-0.50	env_0.0	0.227091822814523	0.633688632867238	0.676	c
A7	C1	h2-0.3	p-0.50	env_0.0	0.227091822814523	0.633688632867238	0.667	c.p
A7	C1	h2-0.3	p-0.50	env_0.0	5.21801233299912	0.0223540878973508	0.042	nc
