rep	case	snp	correlation
A1	C1	snp-10000	0.833908145521054
A2	C1	snp-10000	0.869159444395467
A3	C1	snp-10000	0.863225379154933
A4	C1	snp-10000	0.864147416018323
A5	C1	snp-10000	0.874198697725386
A6	C1	snp-10000	0.865839274739999
A7	C1	snp-10000	0.855670142633156
A8	C1	snp-10000	0.83898923466977
A9	C1	snp-10000	0.858049776903081
A10	C1	snp-10000	0.862808401317795
A11	C1	snp-10000	0.869042111543038
A12	C1	snp-10000	0.840916820678552
A13	C1	snp-10000	0.866305114250505
A14	C1	snp-10000	0.862937635851116
A15	C1	snp-10000	0.853996332706735
A16	C1	snp-10000	0.875583099473862
A17	C1	snp-10000	0.86204043176872
A18	C1	snp-10000	0.857163229354207
A19	C1	snp-10000	0.844701757360537
A20	C1	snp-10000	0.873528776340369
A21	C1	snp-10000	0.88258790598389
A22	C1	snp-10000	0.883146209818577
A23	C1	snp-10000	0.878939663453657
A24	C1	snp-10000	0.869199009100903
A25	C1	snp-10000	0.847366101073176
A26	C1	snp-10000	0.859512899350836
A27	C1	snp-10000	0.851832666575462
A28	C1	snp-10000	0.860488840326322
A29	C1	snp-10000	0.850858234706519
A30	C1	snp-10000	0.861064778701527
A31	C1	snp-10000	0.848090761921119
A32	C1	snp-10000	0.853379051210368
A33	C1	snp-10000	0.85944690110871
A34	C1	snp-10000	0.861529429746316
A35	C1	snp-10000	0.86242987484479
A36	C1	snp-10000	0.879696242522687
A37	C1	snp-10000	0.856616340739047
A38	C1	snp-10000	0.871308158110959
A39	C1	snp-10000	0.852671514186407
A40	C1	snp-10000	0.852706478454808
A41	C1	snp-10000	0.86361196810061
A42	C1	snp-10000	0.863019337766334
A43	C1	snp-10000	0.849058865420235
A44	C1	snp-10000	0.867883947244493
A45	C1	snp-10000	0.859992292776881
A46	C1	snp-10000	0.848163847683224
A47	C1	snp-10000	0.837948818246615
A48	C1	snp-10000	0.874235373794204
A49	C1	snp-10000	0.860139567755982
A50	C1	snp-10000	0.859412581730791
A51	C1	snp-10000	0.871676006585787
A52	C1	snp-10000	0.85176599039938
A53	C1	snp-10000	0.865154657536076
A54	C1	snp-10000	0.872806961569059
A55	C1	snp-10000	0.854127720398301
A56	C1	snp-10000	0.858059897370188
A57	C1	snp-10000	0.816503230898757
A58	C1	snp-10000	0.869268588073106
A59	C1	snp-10000	0.821129785915526
A60	C1	snp-10000	0.83735676791713
A61	C1	snp-10000	0.848471176831866
A62	C1	snp-10000	0.838824307369658
A63	C1	snp-10000	0.85413462000097
A64	C1	snp-10000	0.865277135779193
A65	C1	snp-10000	0.841680720987132
A66	C1	snp-10000	0.869947210469082
A67	C1	snp-10000	0.86863988744832
A68	C1	snp-10000	0.857055905243193
A69	C1	snp-10000	0.854623492178878
A70	C1	snp-10000	0.855257509149217
A71	C1	snp-10000	0.859334417428848
A72	C1	snp-10000	0.866464922739178
A73	C1	snp-10000	0.862403664732084
A74	C1	snp-10000	0.865281890146791
A75	C1	snp-10000	0.872276166800059
A76	C1	snp-10000	0.860052274691196
A77	C1	snp-10000	0.863668445073948
A78	C1	snp-10000	0.857240567334258
A79	C1	snp-10000	0.861155541864231
A80	C1	snp-10000	0.862567887841317
A81	C1	snp-10000	0.867290814501652
A82	C1	snp-10000	0.845338087425914
A83	C1	snp-10000	0.849731108590648
A84	C1	snp-10000	0.861268387151305
A85	C1	snp-10000	0.867288505375787
A86	C1	snp-10000	0.832468895960839
A87	C1	snp-10000	0.849814089688255
A88	C1	snp-10000	0.828623265908301
A89	C1	snp-10000	0.865698315673532
A90	C1	snp-10000	0.873081484888335
A91	C1	snp-10000	0.857314059184838
A92	C1	snp-10000	0.84838783126107
A93	C1	snp-10000	0.85608096056893
A94	C1	snp-10000	0.864365027382088
A95	C1	snp-10000	0.852424088198104
A96	C1	snp-10000	0.866102768955609
A97	C1	snp-10000	0.868414090238952
A98	C1	snp-10000	0.868011206690251
A99	C1	snp-10000	0.848571460402184
A100	C1	snp-10000	0.863963457745341
A1	C1	snp-20000	0.852560217564042
A2	C1	snp-20000	0.87570622824707
A3	C1	snp-20000	0.875925919849342
A4	C1	snp-20000	0.868071360958917
A5	C1	snp-20000	0.880830565076601
A6	C1	snp-20000	0.87791491935657
