rep	case	h2	pheno	envs	test	Qx	P.Chi	P.EN	P.Chi_Lat	P.EN_Lat	P.Chi_Long	P.EN_Long	type
A1	C1	h2-0	LAT	env-0.0	LAT	0.157107371269685	0.417835612899082	0.436	0.417835612899082	0.442	0.691833774179145	0.692	c
A1	C1	h2-0	LAT	env-0.0	LAT	0.157107371269685	0.417835612899082	0.421	0.417835612899082	0.411	0.691833774179145	0.706	c.p
A1	C1	h2-0	LAT	env-0.0	LAT	0.0216227613229376	0.359687545381397	0.365	0.359687545381397	0.374	0.883095080909799	0.869	nc
A1	C1	h2-0	LAT	env-0.0	LAT	0.155140682946899	0.414758933715969	0.437	0.414758933715969	0.453	0.693670359995496	0.716	c-Tm
A1	C1	h2-0	LAT	env-0.0	LAT	0.155140682946899	0.414758933715969	0.437	0.414758933715969	0.449	0.693670359995496	0.726	c.p-Tm
A1	C1	h2-0	LAT	env-0.0	LAT	0.0223265965695563	0.463961037223602	0.475	0.463961037223602	0.477	0.881221544240152	0.893	nc-Tm
A1	C1	h2-0	LAT	env-0.0	LAT	0.157178246794767	0.381370632453135	0.399	0.381370632453135	0.399	0.691767836148085	0.693	c-ID
A1	C1	h2-0	LAT	env-0.0	LAT	0.157178246794767	0.381370632453135	0.416	0.381370632453135	0.432	0.691767836148085	0.734	c.p-ID
A1	C1	h2-0	LAT	env-0.0	LAT	0.0221771843245426	0.477510488159485	0.485	0.477510488159485	0.499	0.881616711981848	0.887	nc-ID
A2	C1	h2-0	LAT	env-0.0	LAT	0.789684065391355	0.169916401603337	0.127	0.169916401603337	0.119	0.374195674275718	0.287	c
A2	C1	h2-0	LAT	env-0.0	LAT	0.789684065391355	0.169916401603337	0.102	0.169916401603337	0.109	0.374195674275718	0.318	c.p
A2	C1	h2-0	LAT	env-0.0	LAT	0.985760680100916	0.0449220483008736	0.057	0.0449220483008736	0.064	0.320780713309118	0.324	nc
A2	C1	h2-0	LAT	env-0.0	LAT	0.775559441039764	0.169355977178198	0.128	0.169355977178198	0.121	0.378502670490958	0.329	c-Tm
A2	C1	h2-0	LAT	env-0.0	LAT	0.775559441039764	0.169355977178198	0.097	0.169355977178198	0.143	0.378502670490958	0.305	c.p-Tm
A2	C1	h2-0	LAT	env-0.0	LAT	1.06240692992861	0.0341880084408473	0.038	0.0341880084408473	0.042	0.302666861371169	0.372	nc-Tm
A2	C1	h2-0	LAT	env-0.0	LAT	0.759984743692353	0.144269810722337	0.097	0.144269810722337	0.098	0.383333297112368	0.318	c-ID
A2	C1	h2-0	LAT	env-0.0	LAT	0.759984743692353	0.144269810722337	0.079	0.144269810722337	0.097	0.383333297112368	0.343	c.p-ID
A2	C1	h2-0	LAT	env-0.0	LAT	0.949432462034641	0.0624779249764497	0.059	0.0624779249764497	0.089	0.329863801291302	0.361	nc-ID
A3	C1	h2-0	LAT	env-0.0	LAT	1.88114753326212	0.410344191733863	0.427	0.410344191733863	0.408	0.170203780406576	0.16	c
A3	C1	h2-0	LAT	env-0.0	LAT	1.88114753326212	0.410344191733863	0.397	0.410344191733863	0.407	0.170203780406576	0.178	c.p
A3	C1	h2-0	LAT	env-0.0	LAT	0.698560923855609	0.824580458506349	0.822	0.824580458506349	0.818	0.40326766755804	0.378	nc
A3	C1	h2-0	LAT	env-0.0	LAT	1.87615590640671	0.840697917547012	0.842	0.840697917547012	0.831	0.170771698012079	0.179	c-Tm
A3	C1	h2-0	LAT	env-0.0	LAT	1.87615590640671	0.840697917547012	0.838	0.840697917547012	0.834	0.170771698012079	0.159	c.p-Tm
A3	C1	h2-0	LAT	env-0.0	LAT	0.363321291119108	0.134303934626822	0.138	0.134303934626822	0.147	0.546667436569286	0.53	nc-Tm
A3	C1	h2-0	LAT	env-0.0	LAT	1.89108881018085	0.417994258449501	0.421	0.417994258449501	0.441	0.169079165777021	0.146	c-ID
A3	C1	h2-0	LAT	env-0.0	LAT	1.89108881018085	0.417994258449501	0.408	0.417994258449501	0.423	0.169079165777021	0.171	c.p-ID
A3	C1	h2-0	LAT	env-0.0	LAT	0.713946937678244	0.806961342586178	0.798	0.806961342586178	0.774	0.398136629949865	0.39	nc-ID
A4	C1	h2-0	LAT	env-0.0	LAT	1.09971999439402	0.960773183928552	0.953	0.960773183928552	0.959	0.294327562036635	0.237	c
A4	C1	h2-0	LAT	env-0.0	LAT	1.09971999439402	0.960773183928552	0.946	0.960773183928552	0.968	0.294327562036635	0.239	c.p
A4	C1	h2-0	LAT	env-0.0	LAT	0.102814362882744	0.3841530524662	0.339	0.3841530524662	0.332	0.748478076262372	0.724	nc
A4	C1	h2-0	LAT	env-0.0	LAT	1.07702665762263	0.670450534864289	0.633	0.670450534864289	0.636	0.299363666452325	0.232	c-Tm
A4	C1	h2-0	LAT	env-0.0	LAT	1.07702665762263	0.670450534864289	0.628	0.670450534864289	0.633	0.299363666452325	0.253	c.p-Tm
A4	C1	h2-0	LAT	env-0.0	LAT	0.0445408604713335	0.979624483452106	0.98	0.979624483452106	0.984	0.832850551668374	0.819	nc-Tm
A4	C1	h2-0	LAT	env-0.0	LAT	1.1051347122289	0.927961255664024	0.925	0.927961255664024	0.925	0.293142004738528	0.243	c-ID
A4	C1	h2-0	LAT	env-0.0	LAT	1.1051347122289	0.927961255664024	0.917	0.927961255664024	0.913	0.293142004738528	0.237	c.p-ID
A4	C1	h2-0	LAT	env-0.0	LAT	0.237445331899816	0.401367060975871	0.366	0.401367060975871	0.364	0.626057349908074	0.62	nc-ID
A5	C1	h2-0	LAT	env-0.0	LAT	0.0372972122673103	0.702478318362225	0.731	0.702478318362225	0.741	0.846861182219944	0.873	c
A5	C1	h2-0	LAT	env-0.0	LAT	0.0372972122673103	0.702478318362225	0.693	0.702478318362225	0.723	0.846861182219944	0.827	c.p
A5	C1	h2-0	LAT	env-0.0	LAT	0.0130564410459409	0.460760121154679	0.477	0.460760121154679	0.456	0.909027897276087	0.919	nc
A5	C1	h2-0	LAT	env-0.0	LAT	0.0323043550154199	0.784990214649712	0.785	0.784990214649712	0.761	0.857361303278849	0.877	c-Tm
A5	C1	h2-0	LAT	env-0.0	LAT	0.0323043550154199	0.784990214649712	0.788	0.784990214649712	0.786	0.857361303278849	0.868	c.p-Tm
A5	C1	h2-0	LAT	env-0.0	LAT	0.0438051136912427	0.528396099424534	0.56	0.528396099424534	0.535	0.834216618315623	0.823	nc-Tm
A5	C1	h2-0	LAT	env-0.0	LAT	0.0345515439615798	0.686681971226341	0.697	0.686681971226341	0.715	0.852538508865657	0.856	c-ID
A5	C1	h2-0	LAT	env-0.0	LAT	0.0345515439615798	0.686681971226341	0.705	0.686681971226341	0.711	0.852538508865657	0.857	c.p-ID
A5	C1	h2-0	LAT	env-0.0	LAT	0.0456127166225453	0.415213796490273	0.418	0.415213796490273	0.431	0.830881352261622	0.832	nc-ID
A6	C1	h2-0	LAT	env-0.0	LAT	1.30768011968168	0.11011915871464	0.09	0.11011915871464	0.079	0.252815112229841	0.228	c
A6	C1	h2-0	LAT	env-0.0	LAT	1.30768011968168	0.11011915871464	0.096	0.11011915871464	0.086	0.252815112229841	0.219	c.p
A6	C1	h2-0	LAT	env-0.0	LAT	3.78490414074987	0.902319318995474	0.88	0.902319318995474	0.91	0.0517168726538619	0.036	nc
A6	C1	h2-0	LAT	env-0.0	LAT	1.29035393201211	0.12144851011334	0.083	0.12144851011334	0.091	0.255982735747495	0.223	c-Tm
A6	C1	h2-0	LAT	env-0.0	LAT	1.29035393201211	0.12144851011334	0.086	0.12144851011334	0.085	0.255982735747495	0.244	c.p-Tm
A6	C1	h2-0	LAT	env-0.0	LAT	3.69092123592124	0.856194495795898	0.836	0.856194495795898	0.843	0.0547093911603099	0.049	nc-Tm
A6	C1	h2-0	LAT	env-0.0	LAT	1.33697257477496	0.0918366059276094	0.056	0.0918366059276094	0.066	0.247568567157358	0.195	c-ID
A6	C1	h2-0	LAT	env-0.0	LAT	1.33697257477496	0.0918366059276094	0.06	0.0918366059276094	0.062	0.247568567157358	0.219	c.p-ID
A6	C1	h2-0	LAT	env-0.0	LAT	2.95647450809903	0.768784169597705	0.756	0.768784169597705	0.765	0.0855342525787007	0.092	nc-ID
A7	C1	h2-0	LAT	env-0.0	LAT	0.000876048216772865	0.717485809181757	0.684	0.717485809181757	0.697	0.976387571292676	0.979	c
A7	C1	h2-0	LAT	env-0.0	LAT	0.000876048216772865	0.717485809181757	0.715	0.717485809181757	0.702	0.976387571292676	0.973	c.p
A7	C1	h2-0	LAT	env-0.0	LAT	0.0302454446219845	0.837211440342655	0.841	0.837211440342655	0.813	0.86193448415494	0.816	nc
A7	C1	h2-0	LAT	env-0.0	LAT	0.000161120422543206	0.472959471977172	0.458	0.472959471977172	0.49	0.989872466337174	0.989	c-Tm
A7	C1	h2-0	LAT	env-0.0	LAT	0.000161120422543206	0.472959471977172	0.433	0.472959471977172	0.443	0.989872466337174	0.994	c.p-Tm
A7	C1	h2-0	LAT	env-0.0	LAT	0.228368595557645	0.166537309372293	0.122	0.166537309372293	0.106	0.632736137530555	0.602	nc-Tm
A7	C1	h2-0	LAT	env-0.0	LAT	0.000453145655926736	0.707896419531659	0.681	0.707896419531659	0.697	0.983016539980855	0.981	c-ID
A7	C1	h2-0	LAT	env-0.0	LAT	0.000453145655926736	0.707896419531659	0.702	0.707896419531659	0.691	0.983016539980855	0.98	c.p-ID
