rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
F1	C1	seed-0	env-0.0	0.0617739583552743	0.803713782213025	0.82	-0.047182736325872	0.0348642100582837	c
F1	C1	seed-0	env-0.0	0.0617739583552743	0.803713782213025	0.801	-0.047182736325872	0.0348642100582837	c.p
F1	C1	seed-0	env-0.0	2.49888633300093	0.113926835221867	0.17	0.286165432815815	5.29764638619594e-39	nc
F1	C1	seed-0	env-0.0	0.205511381901551	0.650308518642364	0.667	-0.0858501828432218	0.000121027694098878	c-Tm
F1	C1	seed-0	env-0.0	0.205511381901551	0.650308518642364	0.666	-0.0858501828432218	0.000121027694098878	c.p-Tm
F1	C1	seed-0	env-0.0	2.15553996603733	0.142056495746104	0.207	0.268461671324591	2.32741391172554e-34	nc-Tm
F2	C1	seed-0	env-0.0	0.244495171905738	0.620978150145164	0.606	0.0964530646249083	1.55399151013753e-05	c
F2	C1	seed-0	env-0.0	0.244495171905738	0.620978150145164	0.581	0.0964530646249083	1.55399151013753e-05	c.p
F2	C1	seed-0	env-0.0	0.330945423186035	0.565102918258833	0.58	0.110682339573094	6.97629631101315e-07	nc
F2	C1	seed-0	env-0.0	0.106655524245505	0.743984382107712	0.704	0.0638085047949953	0.00430736440473428	c-Tm
F2	C1	seed-0	env-0.0	0.106655524245505	0.743984382107712	0.736	0.0638085047949953	0.00430736440473428	c.p-Tm
F2	C1	seed-0	env-0.0	0.769155836277681	0.38047832786699	0.398	0.166444769610937	6.81973473020717e-14	nc-Tm
F3	C1	seed-0	env-0.0	2.7259484484771	0.0987294572818714	0.14	0.299024751255375	1.3629699861268e-42	c
F3	C1	seed-0	env-0.0	2.7259484484771	0.0987294572818714	0.122	0.299024751255375	1.3629699861268e-42	c.p
F3	C1	seed-0	env-0.0	0.324265097929941	0.569055680934278	0.515	-0.109896668192302	8.36795979585087e-07	nc
F3	C1	seed-0	env-0.0	2.14943242237245	0.14262260526267	0.202	0.267671274569254	3.68317975446497e-34	c-Tm
F3	C1	seed-0	env-0.0	2.14943242237245	0.14262260526267	0.203	0.267671274569254	3.68317975446497e-34	c.p-Tm
F3	C1	seed-0	env-0.0	0.87339568448571	0.350016951836326	0.307	-0.177916052330898	1.09507606593564e-15	nc-Tm
F4	C1	seed-0	env-0.0	0.0243833902224525	0.875913354525211	0.883	-0.0312136036069859	0.162900652474399	c
F4	C1	seed-0	env-0.0	0.0243833902224525	0.875913354525211	0.882	-0.0312136036069859	0.162900652474399	c.p
F4	C1	seed-0	env-0.0	5.840219514671	0.0156638723165128	0.05	-0.43870343090331	7.32847786264186e-95	nc
F4	C1	seed-0	env-0.0	0.00942776222060305	0.922649629839617	0.929	-0.0194195654483089	0.385389806779108	c-Tm
F4	C1	seed-0	env-0.0	0.00942776222060305	0.922649629839617	0.918	-0.0194195654483089	0.385389806779108	c.p-Tm
F4	C1	seed-0	env-0.0	4.5028173873248	0.0338390561226353	0.096	-0.392514496619989	1.16106397107682e-74	nc-Tm
F5	C1	seed-0	env-0.0	0.236569645574735	0.626694750254188	0.752	-0.0937919038618345	2.65571213832812e-05	c
F5	C1	seed-0	env-0.0	0.236569645574735	0.626694750254188	0.746	-0.0937919038618345	2.65571213832812e-05	c.p
F5	C1	seed-0	env-0.0	5.340657967484	0.0208336081803096	0.033	-0.400878393017917	4.35464162660044e-78	nc
F5	C1	seed-0	env-0.0	0.0497393107584218	0.82351751474245	0.889	-0.0431212282285562	0.0538388133892664	c-Tm
F5	C1	seed-0	env-0.0	0.0497393107584218	0.82351751474245	0.905	-0.0431212282285562	0.0538388133892664	c.p-Tm
F5	C1	seed-0	env-0.0	3.28494487018814	0.069917976431258	0.075	-0.324194535170076	3.63638389118365e-50	nc-Tm
F6	C1	seed-0	env-0.0	1.76132733462028	0.184459041894443	0.185	-0.248750436471963	1.38107692222822e-29	c
F6	C1	seed-0	env-0.0	1.76132733462028	0.184459041894443	0.189	-0.248750436471963	1.38107692222822e-29	c.p
F6	C1	seed-0	env-0.0	0.015950661902575	0.899497677953322	0.869	0.024087598506774	0.281608545468428	nc
F6	C1	seed-0	env-0.0	1.70919270322941	0.191090146633333	0.185	-0.245307778227475	8.55218515780969e-29	c-Tm
F6	C1	seed-0	env-0.0	1.70919270322941	0.191090146633333	0.184	-0.245307778227475	8.55218515780969e-29	c.p-Tm
F6	C1	seed-0	env-0.0	0.00985455551222224	0.920923806841516	0.898	0.0188296870113117	0.399990971128223	nc-Tm
