rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
F1	C1	h2-0.8	env-0.5	0.0108893885006109	0.916889828312868	0.928	0.0541843547845431	0.0153732994845826	c
F1	C1	h2-0.8	env-0.5	0.0108893885006109	0.916889828312868	0.935	0.0541843547845431	0.0153732994845826	c.p
F1	C1	h2-0.8	env-0.5	5.28792714022529	0.0214737653360949	0.035	0.446046712215357	2.25501233981407e-98	nc
F1	C1	h2-0.8	env-0.5	0.0662955018621438	0.796808924972676	0.835	-0.137651888839162	6.34640137774259e-10	c-Tm
F1	C1	h2-0.8	env-0.5	0.0662955018621438	0.796808924972676	0.812	-0.137651888839162	6.34640137774259e-10	c.p-Tm
F1	C1	h2-0.8	env-0.5	2.97402555902089	0.0846110660092207	0.111	0.360409942032132	2.11484505687538e-62	nc-Tm
F2	C1	h2-0.8	env-0.5	0.96529118333998	0.325857358544847	0.49	0.474140085506295	1.24265125208332e-112	c
F2	C1	h2-0.8	env-0.5	0.96529118333998	0.325857358544847	0.512	0.474140085506295	1.24265125208332e-112	c.p
F2	C1	h2-0.8	env-0.5	10.7005583544157	0.00107103206046512	0.004	0.592948703107416	3.29043873605602e-190	nc
F2	C1	h2-0.8	env-0.5	0.0093789401180792	0.922849544053259	0.947	0.0569717638402465	0.0108239485136533	c-Tm
F2	C1	h2-0.8	env-0.5	0.0093789401180792	0.922849544053259	0.947	0.0569717638402465	0.0108239485136533	c.p-Tm
F2	C1	h2-0.8	env-0.5	0.011908842756133	0.913101248822774	0.923	-0.0263864375991508	0.2381971533726	nc-Tm
F3	C1	h2-0.8	env-0.5	0.529953615235816	0.466626361251593	0.925	0.335507670576933	8.17358447907651e-54	c
F3	C1	h2-0.8	env-0.5	0.529953615235816	0.466626361251593	0.902	0.335507670576933	8.17358447907651e-54	c.p
F3	C1	h2-0.8	env-0.5	3.04647461836113	0.0809126018871431	0.388	0.357826025192098	1.78970858720711e-61	nc
F3	C1	h2-0.8	env-0.5	0.417160899924197	0.518357110305922	0.929	0.306969539155836	6.655819740236e-45	c-Tm
F3	C1	h2-0.8	env-0.5	0.417160899924197	0.518357110305922	0.916	0.306969539155836	6.655819740236e-45	c.p-Tm
F3	C1	h2-0.8	env-0.5	2.67422969159728	0.101984661574235	0.409	0.342912338705206	2.75483542073858e-56	nc-Tm
F4	C1	h2-0.8	env-0.5	0.0175006762863442	0.894754820485943	0.969	0.0661799045584962	0.00306590702769842	c
F4	C1	h2-0.8	env-0.5	0.0175006762863442	0.894754820485943	0.961	0.0661799045584962	0.00306590702769842	c.p
F4	C1	h2-0.8	env-0.5	1.58995965815237	0.207331897637927	0.397	-0.257320869443687	1.30376684454339e-31	nc
F4	C1	h2-0.8	env-0.5	8.38279437210197e-07	0.99926947613634	1	-0.000465852138323488	0.98338883077054	c-Tm
F4	C1	h2-0.8	env-0.5	8.38279437210197e-07	0.99926947613634	1	-0.000465852138323488	0.98338883077054	c.p-Tm
F4	C1	h2-0.8	env-0.5	2.30839234221479	0.128677076378828	0.31	-0.310852235268727	4.64784667270429e-46	nc-Tm
F5	C1	h2-0.8	env-0.5	0.0493695629371213	0.824163934450687	0.838	0.0945832670697713	2.26779836037577e-05	c
F5	C1	h2-0.8	env-0.5	0.0493695629371213	0.824163934450687	0.829	0.0945832670697713	2.26779836037577e-05	c.p
F5	C1	h2-0.8	env-0.5	1.3738581292346	0.241150108226952	0.392	0.250076130810799	6.79212146439022e-30	nc
F5	C1	h2-0.8	env-0.5	0.00798734097290861	0.92878633479501	0.953	-0.0385942550209751	0.0844281548286339	c-Tm
F5	C1	h2-0.8	env-0.5	0.00798734097290861	0.92878633479501	0.929	-0.0385942550209751	0.0844281548286339	c.p-Tm
F5	C1	h2-0.8	env-0.5	0.416597439272211	0.518639757340503	0.65	-0.13874532051627	4.62995547474005e-10	nc-Tm
F6	C1	h2-0.8	env-0.5	0.474804165001226	0.490785290706925	0.729	0.277229807732714	1.28880604520552e-36	c
F6	C1	h2-0.8	env-0.5	0.474804165001226	0.490785290706925	0.708	0.277229807732714	1.28880604520552e-36	c.p
F6	C1	h2-0.8	env-0.5	3.17097916080676	0.0749574954863031	0.187	0.363340181495304	1.83240977680377e-63	nc
F6	C1	h2-0.8	env-0.5	0.186069503459647	0.666208269706446	0.82	0.184400990468601	9.33978569680683e-17	c-Tm
F6	C1	h2-0.8	env-0.5	0.186069503459647	0.666208269706446	0.807	0.184400990468601	9.33978569680683e-17	c.p-Tm
F6	C1	h2-0.8	env-0.5	0.925121183799891	0.336133899676438	0.505	0.211032434167345	1.43683966667772e-21	nc-Tm
F7	C1	h2-0.8	env-0.5	0.823448137653185	0.364173936516003	0.869	0.416169335613079	1.30609043148326e-84	c
F7	C1	h2-0.8	env-0.5	0.823448137653185	0.364173936516003	0.852	0.416169335613079	1.30609043148326e-84	c.p
F7	C1	h2-0.8	env-0.5	5.43888568723329	0.0196932291825726	0.151	0.45360094739682	4.45922796796418e-102	nc
F7	C1	h2-0.8	env-0.5	0.078164609313599	0.77980025684412	0.962	0.152073652497268	8.11592153032304e-12	c-Tm
F7	C1	h2-0.8	env-0.5	0.078164609313599	0.77980025684412	0.968	0.152073652497268	8.11592153032304e-12	c.p-Tm
F7	C1	h2-0.8	env-0.5	1.02359529699797	0.311667710017806	0.667	-0.222181579893416	8.64446473559581e-24	nc-Tm
F8	C1	h2-0.8	env-0.5	0.00202895084069289	0.964072335766115	0.969	-0.0236625564547919	0.290188493978801	c
F8	C1	h2-0.8	env-0.5	0.00202895084069289	0.964072335766115	0.974	-0.0236625564547919	0.290188493978801	c.p
F8	C1	h2-0.8	env-0.5	6.13530927743902	0.0132508367419287	0.042	0.490579480127969	1.2922233195708e-121	nc
F8	C1	h2-0.8	env-0.5	0.158945344031117	0.690129374559088	0.781	-0.208807357845533	3.85387968136071e-21	c-Tm
F8	C1	h2-0.8	env-0.5	0.158945344031117	0.690129374559088	0.74	-0.208807357845533	3.85387968136071e-21	c.p-Tm
F8	C1	h2-0.8	env-0.5	0.268232649911595	0.604519796983643	0.653	0.1171652494249	1.48330094434848e-07	nc-Tm
F9	C1	h2-0.8	env-0.5	0.00552609817846371	0.940741655459528	0.945	0.0361886418514191	0.105679104612749	c
F9	C1	h2-0.8	env-0.5	0.00552609817846371	0.940741655459528	0.951	0.0361886418514191	0.105679104612749	c.p
F9	C1	h2-0.8	env-0.5	0.00862821852996939	0.925992376698968	0.938	0.0195197168004723	0.382943496035341	nc
F9	C1	h2-0.8	env-0.5	0.00668253545253014	0.934848080614256	0.943	-0.0409393874094408	0.0671770232577773	c-Tm
F9	C1	h2-0.8	env-0.5	0.00668253545253014	0.934848080614256	0.942	-0.0409393874094408	0.0671770232577773	c.p-Tm
F9	C1	h2-0.8	env-0.5	0.0283702854265329	0.866241224381542	0.867	-0.0358762038053158	0.10872598321868	nc-Tm
F10	C1	h2-0.8	env-0.5	0.0947270898607976	0.758251519402437	0.855	0.149587544816505	1.77486330711483e-11	c
F10	C1	h2-0.8	env-0.5	0.0947270898607976	0.758251519402437	0.841	0.149587544816505	1.77486330711483e-11	c.p
F10	C1	h2-0.8	env-0.5	0.0887063469263201	0.76582825466853	0.817	0.06494055128326	0.00366688776444497	nc
F10	C1	h2-0.8	env-0.5	0.114195992701904	0.735416711178638	0.841	0.167642516350592	4.48913809546311e-14	c-Tm
F10	C1	h2-0.8	env-0.5	0.114195992701904	0.735416711178638	0.824	0.167642516350592	4.48913809546311e-14	c.p-Tm
F10	C1	h2-0.8	env-0.5	0.232613504247036	0.629592689518378	0.7	0.105827458031445	2.10458538905236e-06	nc-Tm
F11	C1	h2-0.8	env-0.5	0.584566111350589	0.444528096090812	0.472	0.355486711508499	1.21643629532137e-60	c
F11	C1	h2-0.8	env-0.5	0.584566111350589	0.444528096090812	0.458	0.355486711508499	1.21643629532137e-60	c.p
F11	C1	h2-0.8	env-0.5	0.577108506531767	0.44744793112964	0.517	-0.166165687747797	7.51433992749118e-14	nc
F11	C1	h2-0.8	env-0.5	0.302954408944941	0.582036172517798	0.62	0.26998944341993	9.54210309462131e-35	c-Tm
F11	C1	h2-0.8	env-0.5	0.302954408944941	0.582036172517798	0.596	0.26998944341993	9.54210309462131e-35	c.p-Tm
F11	C1	h2-0.8	env-0.5	1.29220646926201	0.255641724342705	0.29	-0.248874399516039	1.29263252998469e-29	nc-Tm
F12	C1	h2-0.8	env-0.5	0.176125871066656	0.674723965276612	0.747	0.228311514925041	4.60245886883702e-25	c
F12	C1	h2-0.8	env-0.5	0.176125871066656	0.674723965276612	0.753	0.228311514925041	4.60245886883702e-25	c.p
F12	C1	h2-0.8	env-0.5	0.00708825686373189	0.932903948665003	0.944	0.0188749724610977	0.398858386395646	nc
F12	C1	h2-0.8	env-0.5	0.0907117584901519	0.763274244756714	0.821	0.16903226936826	2.75278986585498e-14	c-Tm
F12	C1	h2-0.8	env-0.5	0.0907117584901519	0.763274244756714	0.833	0.16903226936826	2.75278986585498e-14	c.p-Tm
F12	C1	h2-0.8	env-0.5	0.121559080424465	0.727349654409429	0.769	0.080012026249692	0.000341296327010835	nc-Tm
F13	C1	h2-0.8	env-0.5	0.0116577628204449	0.914018600913407	0.963	0.0542322219268578	0.0152827871658404	c
F13	C1	h2-0.8	env-0.5	0.0116577628204449	0.914018600913407	0.969	0.0542322219268578	0.0152827871658404	c.p
F13	C1	h2-0.8	env-0.5	1.18443618023427	0.276454724378436	0.53	0.239274783034617	1.95081502184148e-27	nc
F13	C1	h2-0.8	env-0.5	0.00162511190610298	0.967843847416477	0.985	0.0206999167278061	0.354836503219329	c-Tm
F13	C1	h2-0.8	env-0.5	0.00162511190610298	0.967843847416477	0.983	0.0206999167278061	0.354836503219329	c.p-Tm
F13	C1	h2-0.8	env-0.5	1.29091145169881	0.255880049656784	0.53	0.254791776581158	5.25753795965665e-31	nc-Tm
F14	C1	h2-0.8	env-0.5	0.0749008760396936	0.784330361189974	0.833	0.138456403595751	5.03347320445005e-10	c
F14	C1	h2-0.8	env-0.5	0.0749008760396936	0.784330361189974	0.817	0.138456403595751	5.03347320445005e-10	c.p
F14	C1	h2-0.8	env-0.5	5.83488418461767	0.015711443930622	0.023	0.476889818240429	4.2243872066421e-114	nc
F14	C1	h2-0.8	env-0.5	0.00655341336083893	0.935479206788047	0.953	-0.0421516322671777	0.0594652948832894	c-Tm
F14	C1	h2-0.8	env-0.5	0.00655341336083893	0.935479206788047	0.951	-0.0421516322671777	0.0594652948832894	c.p-Tm
F14	C1	h2-0.8	env-0.5	0.535689112797576	0.464224809547449	0.519	0.165320965634936	1.0068125453107e-13	nc-Tm
F15	C1	h2-0.8	env-0.5	0.796378749989607	0.372178273923429	0.459	0.412162260210567	7.21753059363061e-83	c
F15	C1	h2-0.8	env-0.5	0.796378749989607	0.372178273923429	0.424	0.412162260210567	7.21753059363061e-83	c.p
F15	C1	h2-0.8	env-0.5	9.74839161384306	0.00179479680985564	0.006	0.556353561608022	6.48443289422369e-163	nc
F15	C1	h2-0.8	env-0.5	0.0331925639511454	0.855434981945366	0.891	0.0940312252655395	2.53220404435477e-05	c-Tm
F15	C1	h2-0.8	env-0.5	0.0331925639511454	0.855434981945366	0.879	0.0940312252655395	2.53220404435477e-05	c.p-Tm
