rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
F1	C1	scale-0	env-0.0	0.0501123282848389	0.82286792937726	0.84	-0.0425067688818582	0.0573503531536633	c
F1	C1	scale-0	env-0.0	0.0501123282848389	0.82286792937726	0.829	-0.0425067688818582	0.0573503531536633	c.p
F1	C1	scale-0	env-0.0	2.52269466276158	0.112218675980692	0.154	0.287403818447362	2.43467932601117e-39	nc
F1	C1	scale-0	env-0.0	0.205462334287912	0.650347469320089	0.672	-0.0858402114157801	0.000121249016614647	c-Tm
F1	C1	scale-0	env-0.0	0.205462334287912	0.650347469320089	0.63	-0.0858402114157801	0.000121249016614647	c.p-Tm
F1	C1	scale-0	env-0.0	2.15569979771271	0.142041714878812	0.2	0.268470699566883	2.31522231036421e-34	nc-Tm
F2	C1	scale-0	env-0.0	0.212209103008012	0.645041414380317	0.647	0.089907617816187	5.66292233564528e-05	c
F2	C1	scale-0	env-0.0	0.212209103008012	0.645041414380317	0.623	0.089907617816187	5.66292233564528e-05	c.p
F2	C1	scale-0	env-0.0	0.152826211265559	0.695849028939965	0.691	0.0754109541677574	0.000737677806047773	nc
F2	C1	scale-0	env-0.0	0.106683114983215	0.7439524306506	0.729	0.0638166042913711	0.00430244276536981	c-Tm
F2	C1	scale-0	env-0.0	0.106683114983215	0.7439524306506	0.752	0.0638166042913711	0.00430244276536981	c.p-Tm
F2	C1	scale-0	env-0.0	0.76915207179383	0.380479493573459	0.378	0.166444534152707	6.82029330161875e-14	nc-Tm
F3	C1	scale-0	env-0.0	2.46285875499947	0.116566457265242	0.165	0.285398520463677	8.55708900618561e-39	c
F3	C1	scale-0	env-0.0	2.46285875499947	0.116566457265242	0.167	0.285398520463677	8.55708900618561e-39	c.p
F3	C1	scale-0	env-0.0	0.52001879678089	0.470833663929885	0.411	-0.138554483771505	4.89278687389212e-10	nc
F3	C1	scale-0	env-0.0	2.14949706501715	0.142616600253425	0.211	0.26767607146789	3.67295063770618e-34	c-Tm
F3	C1	scale-0	env-0.0	2.14949706501715	0.142616600253425	0.198	0.26767607146789	3.67295063770618e-34	c.p-Tm
F3	C1	scale-0	env-0.0	0.873297492502551	0.350044038030123	0.318	-0.177906464550542	1.09899450055632e-15	nc-Tm
F4	C1	scale-0	env-0.0	0.0470742160096917	0.828234894201194	0.824	-0.0433541405279284	0.0525554952477905	c
F4	C1	scale-0	env-0.0	0.0470742160096917	0.828234894201194	0.829	-0.0433541405279284	0.0525554952477905	c.p
F4	C1	scale-0	env-0.0	5.93651686917296	0.014830298883044	0.051	-0.4423587985693	1.34171252095997e-96	nc
F4	C1	scale-0	env-0.0	0.0094002932785828	0.92276204377389	0.912	-0.0193911999131918	0.38608439752961	c-Tm
F4	C1	scale-0	env-0.0	0.0094002932785828	0.92276204377389	0.926	-0.0193911999131918	0.38608439752961	c.p-Tm
F4	C1	scale-0	env-0.0	4.50329615440335	0.0338295838479831	0.104	-0.392532459594125	1.14183630639153e-74	nc-Tm
F5	C1	scale-0	env-0.0	0.34304344190385	0.558077735465296	0.716	-0.112748506822384	4.29848337253231e-07	c
F5	C1	scale-0	env-0.0	0.34304344190385	0.558077735465296	0.7	-0.112748506822384	4.29848337253231e-07	c.p
F5	C1	scale-0	env-0.0	8.02104372838802	0.00462369163573211	0.006	-0.470902392961737	6.40369277835257e-111	nc
F5	C1	scale-0	env-0.0	0.0498482999734132	0.823327453566753	0.884	-0.0431685539690344	0.0535759592045809	c-Tm
F5	C1	scale-0	env-0.0	0.0498482999734132	0.823327453566753	0.891	-0.0431685539690344	0.0535759592045809	c.p-Tm
F5	C1	scale-0	env-0.0	3.28618853724895	0.069865027484955	0.092	-0.324249028407843	3.49514938487958e-50	nc-Tm
F6	C1	scale-0	env-0.0	1.72604541168309	0.188916723943544	0.185	-0.246394186742546	4.82520141443864e-29	c
F6	C1	scale-0	env-0.0	1.72604541168309	0.188916723943544	0.165	-0.246394186742546	4.82520141443864e-29	c.p
F6	C1	scale-0	env-0.0	0.0226037887511678	0.880491986261158	0.862	0.0286271605758109	0.200648055588521	nc
F6	C1	scale-0	env-0.0	1.70918049199098	0.191091732000588	0.188	-0.245306943619601	8.55593697698377e-29	c-Tm
F6	C1	scale-0	env-0.0	1.70918049199098	0.191091732000588	0.192	-0.245306943619601	8.55593697698377e-29	c.p-Tm
F6	C1	scale-0	env-0.0	0.00985800372211846	0.920910018660078	0.892	0.0188329630229384	0.399908973617811	nc-Tm
F7	C1	scale-0	env-0.0	0.949646969865385	0.329809174370445	0.354	-0.186877534042806	3.56067453481206e-17	c
F7	C1	scale-0	env-0.0	0.949646969865385	0.329809174370445	0.398	-0.186877534042806	3.56067453481206e-17	c.p
F7	C1	scale-0	env-0.0	8.02833489376395	0.00460511555587264	0.002	-0.469993283738837	1.92247448642687e-110	nc
F7	C1	scale-0	env-0.0	0.849355089892557	0.356734843730142	0.368	-0.177220336541406	1.41834269173849e-15	c-Tm
F7	C1	scale-0	env-0.0	0.849355089892557	0.356734843730142	0.395	-0.177220336541406	1.41834269173849e-15	c.p-Tm
F7	C1	scale-0	env-0.0	10.2660887931204	0.00135497748483296	0	-0.515413398105206	3.76232690488903e-136	nc-Tm
F8	C1	scale-0	env-0.0	0.897807497726325	0.343370282614855	0.388	0.181840624701272	2.49570186859471e-16	c
F8	C1	scale-0	env-0.0	0.897807497726325	0.343370282614855	0.42	0.181840624701272	2.49570186859471e-16	c.p
F8	C1	scale-0	env-0.0	2.41805131872257	0.119944053872721	0.107	0.297578750938283	3.52706653238643e-42	nc
F8	C1	scale-0	env-0.0	0.836476511578492	0.360406438562811	0.407	0.175693560452934	2.49294373761661e-15	c-Tm
F8	C1	scale-0	env-0.0	0.836476511578492	0.360406438562811	0.41	0.175693560452934	2.49294373761661e-15	c.p-Tm
F8	C1	scale-0	env-0.0	3.14284701864619	0.0762605827954103	0.079	0.335747648900986	6.81307986978738e-54	nc-Tm
F9	C1	scale-0	env-0.0	0.539601820411259	0.462597791826553	0.429	0.136912923396189	7.84283941985406e-10	c
F9	C1	scale-0	env-0.0	0.539601820411259	0.462597791826553	0.42	0.136912923396189	7.84283941985406e-10	c.p
F9	C1	scale-0	env-0.0	0.629707395812962	0.427462663335112	0.44	0.146430546873586	4.70525673249939e-11	nc
F9	C1	scale-0	env-0.0	0.720743867440986	0.395900015515119	0.342	0.157829207955988	1.26157279385777e-12	c-Tm
F9	C1	scale-0	env-0.0	0.720743867440986	0.395900015515119	0.353	0.157829207955988	1.26157279385777e-12	c.p-Tm
F9	C1	scale-0	env-0.0	0.49361652509846	0.482318475523214	0.487	0.128855598145809	7.33283416081885e-09	nc-Tm
F10	C1	scale-0	env-0.0	0.035216439858878	0.851142845383749	0.864	-0.0356516136387503	0.110958762002482	c
F10	C1	scale-0	env-0.0	0.035216439858878	0.851142845383749	0.88	-0.0356516136387503	0.110958762002482	c.p
F10	C1	scale-0	env-0.0	1.36062588158548e-05	0.997056876811212	1	0.000703367239383325	0.974921928991072	nc
F10	C1	scale-0	env-0.0	0.0792703647653464	0.778288635263721	0.808	-0.0534308496066589	0.0168615234148397	c-Tm
F10	C1	scale-0	env-0.0	0.0792703647653464	0.778288635263721	0.821	-0.0534308496066589	0.0168615234148397	c.p-Tm
F10	C1	scale-0	env-0.0	0.0187175067601944	0.891179446117593	0.907	-0.026020424010122	0.244773450917149	nc-Tm
F11	C1	scale-0	env-0.0	0.493698666787222	0.482282036695492	0.545	0.135182378586364	1.28197132307575e-09	c
F11	C1	scale-0	env-0.0	0.493698666787222	0.482282036695492	0.481	0.135182378586364	1.28197132307575e-09	c.p
F11	C1	scale-0	env-0.0	0.451715732883015	0.501521304335567	0.519	0.129352171392452	6.41382838877956e-09	nc
F11	C1	scale-0	env-0.0	0.122493349897346	0.726345827434027	0.752	0.0677082259660923	0.00244887644309976	c-Tm
F11	C1	scale-0	env-0.0	0.122493349897346	0.726345827434027	0.756	0.0677082259660923	0.00244887644309976	c.p-Tm
F11	C1	scale-0	env-0.0	0.0488502392263069	0.825076157784448	0.858	0.042754440458686	0.0559126994395332	nc-Tm
F12	C1	scale-0	env-0.0	0.813235779588528	0.367165317508886	0.381	-0.168525988872878	3.29119776544937e-14	c
F12	C1	scale-0	env-0.0	0.813235779588528	0.367165317508886	0.357	-0.168525988872878	3.29119776544937e-14	c.p
F12	C1	scale-0	env-0.0	0.490724119838368	0.483604468894519	0.433	-0.132021864496658	3.09527353337962e-09	nc
F12	C1	scale-0	env-0.0	0.88608690867704	0.346539926088363	0.369	-0.17582202062233	2.37787402328331e-15	c-Tm
F12	C1	scale-0	env-0.0	0.88608690867704	0.346539926088363	0.331	-0.17582202062233	2.37787402328331e-15	c.p-Tm
F12	C1	scale-0	env-0.0	0.981474896210762	0.32183494912772	0.298	-0.184963840778619	7.51045542303961e-17	nc-Tm
F13	C1	scale-0	env-0.0	0.81468054638347	0.366740054035412	0.338	-0.167071965305757	5.48071604765044e-14	c
F13	C1	scale-0	env-0.0	0.81468054638347	0.366740054035412	0.353	-0.167071965305757	5.48071604765044e-14	c.p
F13	C1	scale-0	env-0.0	0.0861958692839859	0.76907020132437	0.784	-0.0553303054243466	0.0133312525569785	nc
F13	C1	scale-0	env-0.0	0.867203636986425	0.351730625122879	0.363	-0.172283331584686	8.62762778048575e-15	c-Tm
F13	C1	scale-0	env-0.0	0.867203636986425	0.351730625122879	0.318	-0.172283331584686	8.62762778048575e-15	c.p-Tm
F13	C1	scale-0	env-0.0	0.363382204855491	0.546633819422588	0.576	-0.11362401468941	3.49200846512738e-07	nc-Tm
F14	C1	scale-0	env-0.0	4.05963715684759	0.0439199356213823	0.044	-0.364794349902714	5.39167065061987e-64	c
F14	C1	scale-0	env-0.0	4.05963715684759	0.0439199356213823	0.054	-0.364794349902714	5.39167065061987e-64	c.p
F14	C1	scale-0	env-0.0	2.5905913575135	0.107500192707504	0.132	0.295095007552437	1.78304435345049e-41	nc
F14	C1	scale-0	env-0.0	4.22485093813652	0.0398361181821801	0.065	-0.371609751065306	1.60212778202246e-66	c-Tm
F14	C1	scale-0	env-0.0	4.22485093813652	0.0398361181821801	0.054	-0.371609751065306	1.60212778202246e-66	c.p-Tm
F14	C1	scale-0	env-0.0	3.22976796959861	0.0723109334106471	0.104	0.328456222208453	1.60135719455725e-51	nc-Tm
F15	C1	scale-0	env-0.0	5.27021624954977	0.0216933176123398	0.042	0.403176958859197	4.78683654599823e-79	c
F15	C1	scale-0	env-0.0	5.27021624954977	0.0216933176123398	0.059	0.403176958859197	4.78683654599823e-79	c.p
F15	C1	scale-0	env-0.0	0.122450424280824	0.726391854572123	0.733	0.0653449913663819	0.0034599256919505	nc
F15	C1	scale-0	env-0.0	6.24465385561817	0.0124568723578246	0.035	0.432490342231835	5.88257169505897e-92	c-Tm
F15	C1	scale-0	env-0.0	6.24465385561817	0.0124568723578246	0.042	0.432490342231835	5.88257169505897e-92	c.p-Tm
F15	C1	scale-0	env-0.0	1.21387210289024	0.270566615448676	0.334	0.204321577192377	2.72265882922005e-20	nc-Tm
F16	C1	scale-0	env-0.0	2.54020197995371	0.110980588746125	0.1	-0.296610102288226	6.64815950201918e-42	c
F16	C1	scale-0	env-0.0	2.54020197995371	0.110980588746125	0.111	-0.296610102288226	6.64815950201918e-42	c.p
F16	C1	scale-0	env-0.0	0.563949051897897	0.452673471159205	0.577	-0.140943646458152	2.43771290532246e-10	nc
F16	C1	scale-0	env-0.0	2.05217545336065	0.151988879772242	0.147	-0.268741165794865	1.97797378236994e-34	c-Tm
F16	C1	scale-0	env-0.0	2.05217545336065	0.151988879772242	0.16	-0.268741165794865	1.97797378236994e-34	c.p-Tm
F16	C1	scale-0	env-0.0	0.032311964628819	0.857344684430652	0.903	-0.0340043177755465	0.128458652909664	nc-Tm
F17	C1	scale-0	env-0.0	0.0544682737216516	0.815462933130377	0.868	-0.0451800612993999	0.0433541232259476	c
F17	C1	scale-0	env-0.0	0.0544682737216516	0.815462933130377	0.864	-0.0451800612993999	0.0433541232259476	c.p
F17	C1	scale-0	env-0.0	0.412302518781065	0.520803145295904	0.442	-0.121419146295283	5.12848201460633e-08	nc
F17	C1	scale-0	env-0.0	0.0819568148957691	0.774662903961461	0.805	-0.0553744573830955	0.0132576101993864	c-Tm
F17	C1	scale-0	env-0.0	0.0819568148957691	0.774662903961461	0.821	-0.0553744573830955	0.0132576101993864	c.p-Tm
F17	C1	scale-0	env-0.0	0.438200396137708	0.507992328815986	0.425	-0.12519919876301	1.93522287545481e-08	nc-Tm
F18	C1	scale-0	env-0.0	0.778949714989992	0.377462546841722	0.448	0.162876432878539	2.32761872154315e-13	c
F18	C1	scale-0	env-0.0	0.778949714989992	0.377462546841722	0.456	0.162876432878539	2.32761872154315e-13	c.p
F18	C1	scale-0	env-0.0	2.35746479798537	0.124684673375886	0.165	0.277223234964821	1.29392908822535e-36	nc
F18	C1	scale-0	env-0.0	0.740354405954753	0.389547372905944	0.459	0.159113490493944	8.24843239904059e-13	c-Tm
F18	C1	scale-0	env-0.0	0.740354405954753	0.389547372905944	0.468	0.159113490493944	8.24843239904059e-13	c.p-Tm
F18	C1	scale-0	env-0.0	3.53010707184638	0.0602638963411128	0.106	0.330672573578625	3.0942519081548e-52	nc-Tm
F19	C1	scale-0	env-0.0	0.227149260801135	0.633645712594987	0.657	-0.0943216771789361	2.38963733623851e-05	c
F19	C1	scale-0	env-0.0	0.227149260801135	0.633645712594987	0.666	-0.0943216771789361	2.38963733623851e-05	c.p
