rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
F1	C1	h2-0.001	env-0.0	5.58094567221995	0.018156915778856	0.012	0.405457723297882	5.26106070692142e-80	c
F1	C1	h2-0.001	env-0.0	5.58094567221995	0.018156915778856	0.022	0.405457723297882	5.26106070692142e-80	c.p
F1	C1	h2-0.001	env-0.0	0.22865307716534	0.632524354876542	0.613	-0.0919191749785015	3.84005144975983e-05	nc
F1	C1	h2-0.001	env-0.0	6.93214693515269	0.00846600018495435	0.005	0.443247335549576	5.0364400852016e-97	c-Tm
F1	C1	h2-0.001	env-0.0	6.93214693515269	0.00846600018495435	0.003	0.443247335549576	5.0364400852016e-97	c.p-Tm
F1	C1	h2-0.001	env-0.0	0.156401922959446	0.692491018009072	0.67	0.0761844359916605	0.000649871911914151	nc-Tm
F2	C1	h2-0.001	env-0.0	0.391455526686389	0.531535305800305	0.495	-0.11946034051076	8.40149078391113e-08	c
F2	C1	h2-0.001	env-0.0	0.391455526686389	0.531535305800305	0.493	-0.11946034051076	8.40149078391113e-08	c.p
F2	C1	h2-0.001	env-0.0	0.000112989222440634	0.991518934972985	0.99	-0.00204675943283355	0.927113791342833	nc
F2	C1	h2-0.001	env-0.0	0.441423338600988	0.506436269305148	0.456	-0.126754257504324	1.28509735541021e-08	c-Tm
F2	C1	h2-0.001	env-0.0	0.441423338600988	0.506436269305148	0.469	-0.126754257504324	1.28509735541021e-08	c.p-Tm
F2	C1	h2-0.001	env-0.0	1.42744090516666e-05	0.996985480502245	0.999	-0.000727827219073675	0.974050127546587	nc-Tm
F3	C1	h2-0.001	env-0.0	2.12858789676787	0.144573889766161	0.236	-0.269045525364301	1.65648035681452e-34	c
F3	C1	h2-0.001	env-0.0	2.12858789676787	0.144573889766161	0.236	-0.269045525364301	1.65648035681452e-34	c.p
F3	C1	h2-0.001	env-0.0	4.08419250016481	0.0432861297991485	0.036	-0.360944781390736	1.35587893466609e-62	nc
F3	C1	h2-0.001	env-0.0	0.553754756078692	0.456787548483432	0.621	-0.141472082508647	2.08623991836334e-10	c-Tm
F3	C1	h2-0.001	env-0.0	0.553754756078692	0.456787548483432	0.616	-0.141472082508647	2.08623991836334e-10	c.p-Tm
F3	C1	h2-0.001	env-0.0	0.273588854973195	0.600934434985812	0.612	-0.100783549167908	6.3059886422311e-06	nc-Tm
F4	C1	h2-0.001	env-0.0	0.200057891219971	0.654674121954334	0.615	0.0863430198444035	0.000110551123958564	c
F4	C1	h2-0.001	env-0.0	0.200057891219971	0.654674121954334	0.59	0.0863430198444035	0.000110551123958564	c.p
F4	C1	h2-0.001	env-0.0	1.22187478901725	0.26899303749694	0.324	0.208017504653659	5.45549551066643e-21	nc
F4	C1	h2-0.001	env-0.0	0.400679371317767	0.526738609690123	0.455	0.12183543664036	4.6131223341862e-08	c-Tm
F4	C1	h2-0.001	env-0.0	0.400679371317767	0.526738609690123	0.475	0.12183543664036	4.6131223341862e-08	c.p-Tm
F4	C1	h2-0.001	env-0.0	1.59097514983076	0.207186867434637	0.254	0.235217898617972	1.52228522840255e-26	nc-Tm
F5	C1	h2-0.001	env-0.0	0.446492045896101	0.504005550579384	0.505	0.126249367548805	1.46857763634649e-08	c
F5	C1	h2-0.001	env-0.0	0.446492045896101	0.504005550579384	0.488	0.126249367548805	1.46857763634649e-08	c.p
F5	C1	h2-0.001	env-0.0	0.101429704001725	0.750120632660659	0.746	-0.0591952097929073	0.00809797386617909	nc
F5	C1	h2-0.001	env-0.0	0.680131626087514	0.409541402842256	0.392	0.155081511094625	3.09486758372218e-12	c-Tm
F5	C1	h2-0.001	env-0.0	0.680131626087514	0.409541402842256	0.438	0.155081511094625	3.09486758372218e-12	c.p-Tm
F5	C1	h2-0.001	env-0.0	0.079214632336616	0.778364550976152	0.787	0.0528687068650035	0.018052672968954	nc-Tm
F6	C1	h2-0.001	env-0.0	0.118347381333374	0.730833845622724	0.767	-0.0644299764500832	0.0039442035053305	c
F6	C1	h2-0.001	env-0.0	0.118347381333374	0.730833845622724	0.694	-0.0644299764500832	0.0039442035053305	c.p
F6	C1	h2-0.001	env-0.0	0.0143894277698254	0.904518049884731	0.935	-0.0227612436350395	0.308958816712409	nc
F6	C1	h2-0.001	env-0.0	8.36050356458913e-05	0.992704581197179	0.994	-0.00171571458614294	0.938877179937206	c-Tm
F6	C1	h2-0.001	env-0.0	8.36050356458913e-05	0.992704581197179	0.992	-0.00171571458614294	0.938877179937206	c.p-Tm
F6	C1	h2-0.001	env-0.0	0.106070833971096	0.744662560972248	0.827	0.0615240206067834	0.00591737232054273	nc-Tm
F7	C1	h2-0.001	env-0.0	0.10513413190164	0.745753358989709	0.78	0.0624636928330355	0.0051989068000477	c
F7	C1	h2-0.001	env-0.0	0.10513413190164	0.745753358989709	0.772	0.0624636928330355	0.0051989068000477	c.p
F7	C1	h2-0.001	env-0.0	2.94036491685752	0.0863912136690026	0.12	0.311338048648076	3.32189807874318e-46	nc
F7	C1	h2-0.001	env-0.0	0.089983277153166	0.76419841633204	0.785	0.0579169557469681	0.00957863871000851	c-Tm
