rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
F1	C1	rerun5H2-0.8	env-0.0	0.634365165260535	0.425758648934726	0.466	0.155371055742895	2.81773458210189e-12	c
F1	C1	rerun5H2-0.8	env-0.0	0.634365165260535	0.425758648934726	0.471	0.155371055742895	2.81773458210189e-12	c.p
F1	C1	rerun5H2-0.8	env-0.0	0.505956564888843	0.47689448656947	0.493	0.135724215496936	1.09989104749064e-09	nc
F1	C1	rerun5H2-0.8	env-0.0	0.549839494191917	0.458383284129412	0.5	0.145189118319573	6.86442846102394e-11	c-Tm
F1	C1	rerun5H2-0.8	env-0.0	0.549839494191917	0.458383284129412	0.507	0.145189118319573	6.86442846102394e-11	c.p-Tm
F1	C1	rerun5H2-0.8	env-0.0	0.716605770646414	0.397259539849935	0.447	0.161693796464126	3.4754228874305e-13	nc-Tm
F2	C1	rerun5H2-0.8	env-0.0	0.978973848923812	0.322452277697974	0.345	0.190686972007718	7.86883507619768e-18	c
F2	C1	rerun5H2-0.8	env-0.0	0.978973848923812	0.322452277697974	0.35	0.190686972007718	7.86883507619768e-18	c.p
F2	C1	rerun5H2-0.8	env-0.0	0.231422580733696	0.630471006739668	0.659	0.0955658437055154	1.86085927431988e-05	nc
F2	C1	rerun5H2-0.8	env-0.0	0.683772256986606	0.408290779669269	0.402	0.160230616315575	5.68347738867363e-13	c-Tm
F2	C1	rerun5H2-0.8	env-0.0	0.683772256986606	0.408290779669269	0.404	0.160230616315575	5.68347738867363e-13	c.p-Tm
F2	C1	rerun5H2-0.8	env-0.0	0.270353188322321	0.603094948971278	0.605	-0.102491197065942	4.37382283647822e-06	nc-Tm
F3	C1	rerun5H2-0.8	env-0.0	0.176023837075205	0.674812797822664	0.657	-0.0788033556081496	0.000419540990989306	c
F3	C1	rerun5H2-0.8	env-0.0	0.176023837075205	0.674812797822664	0.677	-0.0788033556081496	0.000419540990989306	c.p
F3	C1	rerun5H2-0.8	env-0.0	1.99973189572798	0.157327032871168	0.139	-0.259784283502565	3.30261687389526e-32	nc
F3	C1	rerun5H2-0.8	env-0.0	0.154543768579721	0.694230445144463	0.715	-0.0738951759155282	0.000942508216035727	c-Tm
F3	C1	rerun5H2-0.8	env-0.0	0.154543768579721	0.694230445144463	0.725	-0.0738951759155282	0.000942508216035727	c.p-Tm
F3	C1	rerun5H2-0.8	env-0.0	1.04032485029689	0.307745932365483	0.296	-0.189954520692736	1.05449718739977e-17	nc-Tm
F4	C1	rerun5H2-0.8	env-0.0	0.887528199329296	0.346148022539101	0.473	-0.179697675138567	5.61935565339123e-16	c
