rep	case	h2	env	ts	Qx	P-Chi	P-EN
L1	C1	same-0.3	env-0.0	p-0.50	0.330999053683836	0.565071400422034	0.563
L2	C1	same-0.3	env-0.0	p-0.50	0.203939162312942	0.651559880557218	0.598
L3	C1	same-0.3	env-0.0	p-0.50	0.00527927481836474	0.942077779252795	0.94
L4	C1	same-0.3	env-0.0	p-0.50	1.06446371151217	0.30219931923101	0.336
L5	C1	same-0.3	env-0.0	p-0.50	0.0123664639149232	0.911454100944002	0.92
L6	C1	same-0.3	env-0.0	p-0.50	0.118811215924841	0.730327415163199	0.705
L7	C1	same-0.3	env-0.0	p-0.50	0.209402224661027	0.647236338092018	0.693
L8	C1	same-0.3	env-0.0	p-0.50	4.46956453999485	0.0345037841858349	0.037
L9	C1	same-0.3	env-0.0	p-0.50	0.67008815150521	0.413020875100158	0.314
L10	C1	same-0.3	env-0.0	p-0.50	1.65794799459303	0.19788060939324	0.18
L11	C1	same-0.3	env-0.0	p-0.50	0.922455802404376	0.336830983887162	0.303
L12	C1	same-0.3	env-0.0	p-0.50	0.135811506854467	0.712480966730644	0.71
L13	C1	same-0.3	env-0.0	p-0.50	0.0289739586700042	0.864839178792382	0.87
L14	C1	same-0.3	env-0.0	p-0.50	1.89286428623426	0.168879212021952	0.19
L15	C1	same-0.3	env-0.0	p-0.50	0.407248688371385	0.52336927605823	0.521
L16	C1	same-0.3	env-0.0	p-0.50	0.455467126717303	0.499750072330213	0.54
L17	C1	same-0.3	env-0.0	p-0.50	1.80492145594079	0.179118651771632	0.227
L18	C1	same-0.3	env-0.0	p-0.50	0.33884808532001	0.560494884707508	0.578
L19	C1	same-0.3	env-0.0	p-0.50	0.765990393091422	0.381460321612897	0.38
L20	C1	same-0.3	env-0.0	p-0.50	0.663316835273265	0.415391412138814	0.495
L21	C1	same-0.3	env-0.0	p-0.50	0.845057585238468	0.357954293552744	0.398
L22	C1	same-0.3	env-0.0	p-0.50	0.0141128510330874	0.905435772607765	0.884
L23	C1	same-0.3	env-0.0	p-0.50	0.194709852103479	0.659025219808976	0.664
L24	C1	same-0.3	env-0.0	p-0.50	5.60374553405116	0.0179221221653307	0.012
L25	C1	same-0.3	env-0.0	p-0.50	0.329230579070832	0.566112502599682	0.606
L26	C1	same-0.3	env-0.0	p-0.50	3.63890255247274	0.0564441288037684	0.085
L27	C1	same-0.3	env-0.0	p-0.50	1.03809370491122	0.308265240505215	0.269
L28	C1	same-0.3	env-0.0	p-0.50	0.434896196086719	0.509596187299989	0.54
L29	C1	same-0.3	env-0.0	p-0.50	0.259105873938072	0.610735097757997	0.598
L30	C1	same-0.3	env-0.0	p-0.50	1.29330549905859	0.255439681773228	0.338
L31	C1	same-0.3	env-0.0	p-0.50	1.89407741009875	0.168742746183067	0.229
L32	C1	same-0.3	env-0.0	p-0.50	0.000117139643228602	0.99136457868702	0.994
L33	C1	same-0.3	env-0.0	p-0.50	0.204390776293917	0.651199838655629	0.65
L34	C1	same-0.3	env-0.0	p-0.50	0.186788894160864	0.665602739848577	0.672
L35	C1	same-0.3	env-0.0	p-0.50	0.439139416397932	0.507538115113043	0.572
L36	C1	same-0.3	env-0.0	p-0.50	0.19320204145699	0.660264841763416	0.656
L37	C1	same-0.3	env-0.0	p-0.50	0.0663004215110401	0.796801551065479	0.759
L38	C1	same-0.3	env-0.0	p-0.50	2.3141947440084	0.12819767457343	0.145
L39	C1	same-0.3	env-0.0	p-0.50	1.11791979148932	0.290366817928485	0.321
L40	C1	same-0.3	env-0.0	p-0.50	0.311067109570979	0.577026101368287	0.515
L41	C1	same-0.3	env-0.0	p-0.50	0.00668502809809733	0.934835957670173	0.936
L42	C1	same-0.3	env-0.0	p-0.50	0.430186626810909	0.511897387526089	0.569
L43	C1	same-0.3	env-0.0	p-0.50	0.0148508773698805	0.903006587596953	0.893
L44	C1	same-0.3	env-0.0	p-0.50	0.63609761394131	0.425127450544009	0.365
L45	C1	same-0.3	env-0.0	p-0.50	0.470487767109263	0.492762858430129	0.442
L46	C1	same-0.3	env-0.0	p-0.50	1.61444029495179	0.203868755029843	0.211
L47	C1	same-0.3	env-0.0	p-0.50	0.00774195977201894	0.929885890252359	0.915
L48	C1	same-0.3	env-0.0	p-0.50	1.86035203255497	0.172584176159915	0.181
L49	C1	same-0.3	env-0.0	p-0.50	0.0671731415576229	0.795498044844482	0.817
L50	C1	same-0.3	env-0.0	p-0.50	1.02868722881929	0.310467199398548	0.261
L51	C1	same-0.3	env-0.0	p-0.50	0.0138472054742324	0.90632585010781	0.899
L52	C1	same-0.3	env-0.0	p-0.50	0.129471050091277	0.718981103821733	0.779
L53	C1	same-0.3	env-0.0	p-0.50	0.39316258057789	0.53064168217675	0.567
L54	C1	same-0.3	env-0.0	p-0.50	0.437399186254686	0.508380435956752	0.548
L55	C1	same-0.3	env-0.0	p-0.50	0.961670645736845	0.326766318440156	0.322
L56	C1	same-0.3	env-0.0	p-0.50	0.0637686246857981	0.800635676897934	0.76
L57	C1	same-0.3	env-0.0	p-0.50	0.187158961163377	0.665291783741554	0.566
L58	C1	same-0.3	env-0.0	p-0.50	2.22949276967672	0.135398290784255	0.091
L59	C1	same-0.3	env-0.0	p-0.50	0.0142714441734187	0.90490843307492	0.901
L60	C1	same-0.3	env-0.0	p-0.50	2.30668820253672	0.128818253602812	0.113
L61	C1	same-0.3	env-0.0	p-0.50	1.05002821752943	0.305500588201216	0.324
L62	C1	same-0.3	env-0.0	p-0.50	1.38009622386339	0.240084757592322	0.247
