rep	case	h2	env	ts	Qx	P-Chi	P-EN	Ax	P-Ax	type
L1	C1	diff-0.3	env-1.0	p-0.50	0.111164757355139	0.738821952929034	0.741	-0.031414109700245	0.160214659558838	c
L1	C1	diff-0.3	env-1.0	p-0.50	0.111164757355139	0.738821952929034	0.744	-0.031414109700245	0.160214659558838	c.p
L1	C1	diff-0.3	env-1.0	p-0.50	1.98518944272352	0.158844775594021	0.168	0.129742101068487	5.77162545183277e-09	nc
L1	C1	diff-0.3	env-1.0	p-0.50	0.720483363694524	0.395985402868394	0.438	-0.0796242213796165	0.00036477644172202	c-Tm
L1	C1	diff-0.3	env-1.0	p-0.50	0.720483363694524	0.395985402868394	0.426	-0.0796242213796165	0.00036477644172202	c.p-Tm
L1	C1	diff-0.3	env-1.0	p-0.50	0.244911446158379	0.6206810977267	0.635	-0.0462294947704185	0.038709794351731	nc-Tm
L1	C1	diff-0.3	env-1.0	p-0.50	0.625176407579455	0.42913017952777	0.448	-0.0741813082047719	0.000900207250481523	c-ID
L1	C1	diff-0.3	env-1.0	p-0.50	0.625176407579455	0.42913017952777	0.457	-0.0741813082047719	0.000900207250481523	c.p-ID
L1	C1	diff-0.3	env-1.0	p-0.50	0.191682127271343	0.661520269750558	0.707	-0.0408521842030869	0.0677621095752576	nc-ID
L2	C1	diff-0.3	env-1.0	p-0.50	1.62658777389165	0.202175657699693	0.199	0.121203749439177	5.41660218504859e-08	c
L2	C1	diff-0.3	env-1.0	p-0.50	1.62658777389165	0.202175657699693	0.189	0.121203749439177	5.41660218504859e-08	c.p
L2	C1	diff-0.3	env-1.0	p-0.50	72.0406080662372	2.10814157333658e-17	0	0.630801316265498	2.1523037391821e-222	nc
L2	C1	diff-0.3	env-1.0	p-0.50	0.021387692374345	0.883727733311439	0.883	-0.0139235694163135	0.533730268827954	c-Tm
L2	C1	diff-0.3	env-1.0	p-0.50	0.021387692374345	0.883727733311439	0.884	-0.0139235694163135	0.533730268827954	c.p-Tm
L2	C1	diff-0.3	env-1.0	p-0.50	0.0114271735470191	0.914869932735164	0.911	0.0100787390739071	0.652375499864449	nc-Tm
L2	C1	diff-0.3	env-1.0	p-0.50	0.00287535333959861	0.95723607228364	0.957	-0.00510244202442623	0.819609725534655	c-ID
L2	C1	diff-0.3	env-1.0	p-0.50	0.00287535333959861	0.95723607228364	0.952	-0.00510244202442623	0.819609725534655	c.p-ID
L2	C1	diff-0.3	env-1.0	p-0.50	0.0226985092284165	0.880243735589894	0.883	-0.0141813854136829	0.526181191293943	nc-ID
L3	C1	diff-0.3	env-1.0	p-0.50	1.06390272372245	0.302326748980663	0.257	-0.10209945977066	4.7591947513498e-06	c
L3	C1	diff-0.3	env-1.0	p-0.50	1.06390272372245	0.302326748980663	0.234	-0.10209945977066	4.7591947513498e-06	c.p
L3	C1	diff-0.3	env-1.0	p-0.50	0.331851958967687	0.564570617067167	0.529	0.0572169306431272	0.010487837305043	nc
L3	C1	diff-0.3	env-1.0	p-0.50	1.54544458078793	0.213809206117321	0.16	-0.122707155014004	3.69136895085487e-08	c-Tm
L3	C1	diff-0.3	env-1.0	p-0.50	1.54544458078793	0.213809206117321	0.17	-0.122707155014004	3.69136895085487e-08	c.p-Tm
L3	C1	diff-0.3	env-1.0	p-0.50	0.00838526520597612	0.927038818795728	0.912	-0.00906651689974726	0.685314481764295	nc-Tm
L3	C1	diff-0.3	env-1.0	p-0.50	2.07203838748318	0.150020894585989	0.075	-0.141578154383447	2.02190617399526e-10	c-ID
L3	C1	diff-0.3	env-1.0	p-0.50	2.07203838748318	0.150020894585989	0.113	-0.141578154383447	2.02190617399526e-10	c.p-ID
L3	C1	diff-0.3	env-1.0	p-0.50	0.44561276000815	0.504425781737867	0.445	-0.0658074783276159	0.00323631810620177	nc-ID
L4	C1	diff-0.3	env-1.0	p-0.50	0.0276709607985833	0.86788474065075	0.88	-0.0165188024944049	0.460312827629868	c
L4	C1	diff-0.3	env-1.0	p-0.50	0.0276709607985833	0.86788474065075	0.873	-0.0165188024944049	0.460312827629868	c.p
L4	C1	diff-0.3	env-1.0	p-0.50	20.762028062659	5.20039191764471e-06	0	0.411454515458319	1.45773858232277e-82	nc
L4	C1	diff-0.3	env-1.0	p-0.50	1.96047148405034	0.161462903076564	0.184	-0.137598182261046	6.44505325706433e-10	c-Tm
L4	C1	diff-0.3	env-1.0	p-0.50	1.96047148405034	0.161462903076564	0.146	-0.137598182261046	6.44505325706433e-10	c.p-Tm
L4	C1	diff-0.3	env-1.0	p-0.50	0.658701092124808	0.417018881428414	0.463	-0.0796662661583836	0.000362159702149144	nc-Tm
L4	C1	diff-0.3	env-1.0	p-0.50	2.50464283777396	0.113511216809463	0.143	-0.154912496158783	3.26880286127433e-12	c-ID
L4	C1	diff-0.3	env-1.0	p-0.50	2.50464283777396	0.113511216809463	0.143	-0.154912496158783	3.26880286127433e-12	c.p-ID
L4	C1	diff-0.3	env-1.0	p-0.50	2.5218044679438	0.112282033997331	0.165	-0.153490604807161	5.16569450408716e-12	nc-ID
L5	C1	diff-0.3	env-1.0	p-0.50	0.000390909549179185	0.984225706867669	0.979	0.00197771135700254	0.929566126856626	c
L5	C1	diff-0.3	env-1.0	p-0.50	0.000390909549179185	0.984225706867669	0.986	0.00197771135700254	0.929566126856626	c.p
L5	C1	diff-0.3	env-1.0	p-0.50	8.57474330232581	0.00340858008758726	0.004	0.280167261831709	2.16506305557693e-37	nc
L5	C1	diff-0.3	env-1.0	p-0.50	0.773993097485941	0.378984583334415	0.389	-0.0874456899878165	9.01243397916232e-05	c-Tm
L5	C1	diff-0.3	env-1.0	p-0.50	0.773993097485941	0.378984583334415	0.383	-0.0874456899878165	9.01243397916232e-05	c.p-Tm
L5	C1	diff-0.3	env-1.0	p-0.50	0.0312294791434948	0.859729395554298	0.859	-0.017451316749988	0.435380228681886	nc-Tm
L5	C1	diff-0.3	env-1.0	p-0.50	0.980347411081341	0.322113051015438	0.314	-0.0982828518355608	1.06636842559386e-05	c-ID
L5	C1	diff-0.3	env-1.0	p-0.50	0.980347411081341	0.322113051015438	0.285	-0.0982828518355608	1.06636842559386e-05	c.p-ID
