rep	case	h2	env	ts	Qx	P-Chi	P-EN	Ax	P-Ax	type
L1	C1	same-0.3	env-1.0	p-0.50	11.8279211167451	0.000583491032766432	0	0.310334102051967	6.64537028382021e-46	c
L1	C1	same-0.3	env-1.0	p-0.50	11.8279211167451	0.000583491032766432	0	0.310334102051967	6.64537028382021e-46	c.p
L1	C1	same-0.3	env-1.0	p-0.50	67.8489090890906	1.7651621633594e-16	0	0.622549448129352	5.34588237358122e-215	nc
L1	C1	same-0.3	env-1.0	p-0.50	1.66251370397903	0.197264270104312	0.146	0.122170003843378	4.23564366624461e-08	c-Tm
L1	C1	same-0.3	env-1.0	p-0.50	1.66251370397903	0.197264270104312	0.165	0.122170003843378	4.23564366624461e-08	c.p-Tm
L1	C1	same-0.3	env-1.0	p-0.50	2.20406409917714	0.137647410671168	0.112	0.141434225253477	2.10968113175337e-10	nc-Tm
L1	C1	same-0.3	env-1.0	p-0.50	1.43854987673722	0.230374146101802	0.176	0.113907215969999	3.26393763537559e-07	c-ID
L1	C1	same-0.3	env-1.0	p-0.50	1.43854987673722	0.230374146101802	0.183	0.113907215969999	3.26393763537559e-07	c.p-ID
L1	C1	same-0.3	env-1.0	p-0.50	1.65283311594345	0.198573767110784	0.157	0.12332321622462	3.1504071707142e-08	nc-ID
L2	C1	same-0.3	env-1.0	p-0.50	38.1091840983398	6.68945210737814e-10	0	0.517054475152721	3.73148163460363e-137	c
L2	C1	same-0.3	env-1.0	p-0.50	38.1091840983398	6.68945210737814e-10	0	0.517054475152721	3.73148163460363e-137	c.p
L2	C1	same-0.3	env-1.0	p-0.50	171.943841280332	2.78372247543718e-39	0	0.780386084907259	0	nc
L2	C1	same-0.3	env-1.0	p-0.50	14.0681231845719	0.00017630664290073	0.001	0.343248069661469	2.1202857227394e-56	c-Tm
L2	C1	same-0.3	env-1.0	p-0.50	14.0681231845719	0.00017630664290073	0.001	0.343248069661469	2.1202857227394e-56	c.p-Tm
L2	C1	same-0.3	env-1.0	p-0.50	17.5131163269717	2.85332434733938e-05	0	0.372731711880008	6.06478906236108e-67	nc-Tm
L2	C1	same-0.3	env-1.0	p-0.50	12.8755843283291	0.000332896768748782	0	0.329522548078137	7.27348502765721e-52	c-ID
L2	C1	same-0.3	env-1.0	p-0.50	12.8755843283291	0.000332896768748782	0.001	0.329522548078137	7.27348502765721e-52	c.p-ID
L2	C1	same-0.3	env-1.0	p-0.50	9.49374643046106	0.00206173398352329	0.001	0.2865314386166	4.21182205786369e-39	nc-ID
L3	C1	same-0.3	env-1.0	p-0.50	0.036764006150294	0.847946324163657	0.837	0.0185077271913413	0.408098710956052	c
L3	C1	same-0.3	env-1.0	p-0.50	0.036764006150294	0.847946324163657	0.829	0.0185077271913413	0.408098710956052	c.p
