rep	case	h2	env	ts	ts_magnitude
L1	C1	same-0.3	env-0.0	p-0.50	0.00967992723057431
L2	C1	same-0.3	env-0.0	p-0.50	-0.0456696924561246
L3	C1	same-0.3	env-0.0	p-0.50	-0.00773810255434404
L4	C1	same-0.3	env-0.0	p-0.50	-0.108949347992729
L5	C1	same-0.3	env-0.0	p-0.50	0.0115926207246
L6	C1	same-0.3	env-0.0	p-0.50	-0.0337046016728641
L7	C1	same-0.3	env-0.0	p-0.50	-0.0484651279884704
L8	C1	same-0.3	env-0.0	p-0.50	0.214739857590488
L9	C1	same-0.3	env-0.0	p-0.50	-0.0901908685244138
L10	C1	same-0.3	env-0.0	p-0.50	0.122298054004283
L11	C1	same-0.3	env-0.0	p-0.50	0.11266059586843
L12	C1	same-0.3	env-0.0	p-0.50	-0.0401668970720089
L13	C1	same-0.3	env-0.0	p-0.50	0.0180939270833028
L14	C1	same-0.3	env-0.0	p-0.50	-0.132529351344076
L15	C1	same-0.3	env-0.0	p-0.50	0.0695822345315696
L16	C1	same-0.3	env-0.0	p-0.50	-0.0684253024173158
L17	C1	same-0.3	env-0.0	p-0.50	-0.152686652310483
L18	C1	same-0.3	env-0.0	p-0.50	-0.0603586326391485
L19	C1	same-0.3	env-0.0	p-0.50	0.100428645130724
L20	C1	same-0.3	env-0.0	p-0.50	-0.0846320583792436
L21	C1	same-0.3	env-0.0	p-0.50	0.0968081221018627
L22	C1	same-0.3	env-0.0	p-0.50	0.0131656505811639
L23	C1	same-0.3	env-0.0	p-0.50	0.0438318718478814
L24	C1	same-0.3	env-0.0	p-0.50	0.250177451952686
L25	C1	same-0.3	env-0.0	p-0.50	-0.0576198807492978
L26	C1	same-0.3	env-0.0	p-0.50	-0.217783327141325
L27	C1	same-0.3	env-0.0	p-0.50	0.110921234011662
L28	C1	same-0.3	env-0.0	p-0.50	0.0760493668033961
L29	C1	same-0.3	env-0.0	p-0.50	-0.0527527425682585
L30	C1	same-0.3	env-0.0	p-0.50	-0.124844108290902
L31	C1	same-0.3	env-0.0	p-0.50	0.166698102191772
L32	C1	same-0.3	env-0.0	p-0.50	0.0011230175898812
L33	C1	same-0.3	env-0.0	p-0.50	-0.0491037297555589
L34	C1	same-0.3	env-0.0	p-0.50	0.0485415693367469
L35	C1	same-0.3	env-0.0	p-0.50	-0.0682618074700193
L36	C1	same-0.3	env-0.0	p-0.50	-0.0418090971581402
L37	C1	same-0.3	env-0.0	p-0.50	0.0288438096704312
L38	C1	same-0.3	env-0.0	p-0.50	0.166220668692122
L39	C1	same-0.3	env-0.0	p-0.50	-0.117691740351384
L40	C1	same-0.3	env-0.0	p-0.50	-0.062535418934278
L41	C1	same-0.3	env-0.0	p-0.50	0.00881894102554548
L42	C1	same-0.3	env-0.0	p-0.50	-0.06413032091081
L43	C1	same-0.3	env-0.0	p-0.50	0.0118568716764939
L44	C1	same-0.3	env-0.0	p-0.50	0.0875300782013535
L45	C1	same-0.3	env-0.0	p-0.50	-0.0703212199544913
L46	C1	same-0.3	env-0.0	p-0.50	-0.132758563364861
L47	C1	same-0.3	env-0.0	p-0.50	0.00907426876285777
L48	C1	same-0.3	env-0.0	p-0.50	-0.121108690556675
L49	C1	same-0.3	env-0.0	p-0.50	0.0266745201357344
L50	C1	same-0.3	env-0.0	p-0.50	0.114984927985799
L51	C1	same-0.3	env-0.0	p-0.50	0.0132554119290096
L52	C1	same-0.3	env-0.0	p-0.50	0.0409750472225634
L53	C1	same-0.3	env-0.0	p-0.50	0.0606979876032354
L54	C1	same-0.3	env-0.0	p-0.50	0.0732869979567037
L55	C1	same-0.3	env-0.0	p-0.50	0.100855721859463
L56	C1	same-0.3	env-0.0	p-0.50	-0.026362819497859
L57	C1	same-0.3	env-0.0	p-0.50	0.0476216191303003
L58	C1	same-0.3	env-0.0	p-0.50	0.14136295482607
L59	C1	same-0.3	env-0.0	p-0.50	0.0123814733650769
L60	C1	same-0.3	env-0.0	p-0.50	0.177631047127669
L61	C1	same-0.3	env-0.0	p-0.50	-0.102582136164905
L62	C1	same-0.3	env-0.0	p-0.50	0.125964100577349
L63	C1	same-0.3	env-0.0	p-0.50	-0.130480060977426
L64	C1	same-0.3	env-0.0	p-0.50	0.158569271409327
L65	C1	same-0.3	env-0.0	p-0.50	-0.171031104260889
L66	C1	same-0.3	env-0.0	p-0.50	-0.0444960963612003
L67	C1	same-0.3	env-0.0	p-0.50	0.0794114714443043
L68	C1	same-0.3	env-0.0	p-0.50	0.140051496760614
L69	C1	same-0.3	env-0.0	p-0.50	0.121732349604315
L70	C1	same-0.3	env-0.0	p-0.50	-0.104550471119836
L71	C1	same-0.3	env-0.0	p-0.50	0.149362274357559
L72	C1	same-0.3	env-0.0	p-0.50	0.124867292595179
L73	C1	same-0.3	env-0.0	p-0.50	0.123822686245007
L74	C1	same-0.3	env-0.0	p-0.50	-0.0729127235489597
L75	C1	same-0.3	env-0.0	p-0.50	0.112405202034629
L76	C1	same-0.3	env-0.0	p-0.50	-0.022022485512798
L77	C1	same-0.3	env-0.0	p-0.50	-0.0153159955098654
L78	C1	same-0.3	env-0.0	p-0.50	0.0445568147351219
L79	C1	same-0.3	env-0.0	p-0.50	-0.0995641228939911
L80	C1	same-0.3	env-0.0	p-0.50	0.00264180231967384
L81	C1	same-0.3	env-0.0	p-0.50	0.060507614817823
L82	C1	same-0.3	env-0.0	p-0.50	-0.104161454129564
L83	C1	same-0.3	env-0.0	p-0.50	-0.0166788012199375
L84	C1	same-0.3	env-0.0	p-0.50	0.0594126930070036
L85	C1	same-0.3	env-0.0	p-0.50	0.0505878815919433
L86	C1	same-0.3	env-0.0	p-0.50	0.0264296905955397
L87	C1	same-0.3	env-0.0	p-0.50	0.0131110174086863
L88	C1	same-0.3	env-0.0	p-0.50	0.0294514263329374
L89	C1	same-0.3	env-0.0	p-0.50	-0.0680772198684556
L90	C1	same-0.3	env-0.0	p-0.50	0.0329162572006355
L91	C1	same-0.3	env-0.0	p-0.50	-0.178462194289974
L92	C1	same-0.3	env-0.0	p-0.50	0.119026988485404
L93	C1	same-0.3	env-0.0	p-0.50	0.0158507286545879
L94	C1	same-0.3	env-0.0	p-0.50	0.0633281656754514
L95	C1	same-0.3	env-0.0	p-0.50	0.137870526180435
L96	C1	same-0.3	env-0.0	p-0.50	0.150732716630511
L97	C1	same-0.3	env-0.0	p-0.50	-0.0635005512043985
L98	C1	same-0.3	env-0.0	p-0.50	0.0311272751644285
L99	C1	same-0.3	env-0.0	p-0.50	0.00955533218976368
L100	C1	same-0.3	env-0.0	p-0.50	-0.0316924325592863
L1	C1	diff-0.3	env-0.0	p-0.50	
L2	C1	diff-0.3	env-0.0	p-0.50	
L3	C1	diff-0.3	env-0.0	p-0.50	
L4	C1	diff-0.3	env-0.0	p-0.50	
L5	C1	diff-0.3	env-0.0	p-0.50	
L6	C1	diff-0.3	env-0.0	p-0.50	
L7	C1	diff-0.3	env-0.0	p-0.50	
L8	C1	diff-0.3	env-0.0	p-0.50	
L9	C1	diff-0.3	env-0.0	p-0.50	
L10	C1	diff-0.3	env-0.0	p-0.50	
L11	C1	diff-0.3	env-0.0	p-0.50	
L12	C1	diff-0.3	env-0.0	p-0.50	
L13	C1	diff-0.3	env-0.0	p-0.50	
L14	C1	diff-0.3	env-0.0	p-0.50	
L15	C1	diff-0.3	env-0.0	p-0.50	
L16	C1	diff-0.3	env-0.0	p-0.50	
L17	C1	diff-0.3	env-0.0	p-0.50	
L18	C1	diff-0.3	env-0.0	p-0.50	
L19	C1	diff-0.3	env-0.0	p-0.50	
L20	C1	diff-0.3	env-0.0	p-0.50	
L21	C1	diff-0.3	env-0.0	p-0.50	
L22	C1	diff-0.3	env-0.0	p-0.50	
L23	C1	diff-0.3	env-0.0	p-0.50	
L24	C1	diff-0.3	env-0.0	p-0.50	
L25	C1	diff-0.3	env-0.0	p-0.50	
