rep	case	h2	env	ts	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C1	diff-0.3	env-5.0	p-0.50	6.51879400485331	0.0106740360497235	0.006	0.237663966218983	4.43114678319135e-27	c
T1	C1	diff-0.3	env-5.0	p-0.50	6.51879400485331	0.0106740360497235	0.004	0.237663966218983	4.43114678319135e-27	c.p
T1	C1	diff-0.3	env-5.0	p-0.50	61.4427722915003	4.55800455185007e-15	0	0.599898409867069	8.5024945395439e-196	nc
T1	C1	diff-0.3	env-5.0	p-0.50	1.1390381705542	0.285855658673258	0.279	0.10180982139445	5.06480493866339e-06	c-Tm
T1	C1	diff-0.3	env-5.0	p-0.50	1.1390381705542	0.285855658673258	0.252	0.10180982139445	5.06480493866339e-06	c.p-Tm
T1	C1	diff-0.3	env-5.0	p-0.50	6.99017049169584	0.00819585465591213	0.014	0.243335030834583	2.4005210086104e-28	nc-Tm
T2	C1	diff-0.3	env-5.0	p-0.50	2.39564455283081	0.121673590893153	0.073	0.148585246080313	2.42424205944721e-11	c
T2	C1	diff-0.3	env-5.0	p-0.50	2.39564455283081	0.121673590893153	0.069	0.148585246080313	2.42424205944721e-11	c.p
T2	C1	diff-0.3	env-5.0	p-0.50	57.4043213649619	3.54826828291209e-14	0	0.593294992999863	1.74603600832841e-190	nc
T2	C1	diff-0.3	env-5.0	p-0.50	0.0529164461591734	0.818063990237155	0.802	-0.0224049914694489	0.316594337759757	c-Tm
T2	C1	diff-0.3	env-5.0	p-0.50	0.0529164461591734	0.818063990237155	0.822	-0.0224049914694489	0.316594337759757	c.p-Tm
T2	C1	diff-0.3	env-5.0	p-0.50	0.421450364619482	0.516214226341781	0.521	0.0644408020250568	0.00393813140507694	nc-Tm
T3	C1	diff-0.3	env-5.0	p-0.50	1.65360190906216	0.198469400172783	0.176	0.125991339312424	1.57192192011749e-08	c
T3	C1	diff-0.3	env-5.0	p-0.50	1.65360190906216	0.198469400172783	0.168	0.125991339312424	1.57192192011749e-08	c.p
T3	C1	diff-0.3	env-5.0	p-0.50	49.2719644665754	2.22824376652981e-12	0	0.56727677180434	1.05168595609982e-170	nc
T3	C1	diff-0.3	env-5.0	p-0.50	0.217845812882484	0.640686225692003	0.597	-0.0465148994348544	0.0375223314752028	c-Tm
T3	C1	diff-0.3	env-5.0	p-0.50	0.217845812882484	0.640686225692003	0.611	-0.0465148994348544	0.0375223314752028	c.p-Tm
T3	C1	diff-0.3	env-5.0	p-0.50	0.0361145267890008	0.849279177427615	0.887	0.018706502810246	0.403081557449599	nc-Tm
T4	C1	diff-0.3	env-5.0	p-0.50	0.240233480793008	0.62403753349169	0.626	0.0465944345323328	0.0371969868693408	c
T4	C1	diff-0.3	env-5.0	p-0.50	0.240233480793008	0.62403753349169	0.633	0.0465944345323328	0.0371969868693408	c.p
T4	C1	diff-0.3	env-5.0	p-0.50	23.4926157942117	1.2539411498036e-06	0	0.434516153727515	6.74799530112729e-93	nc
T4	C1	diff-0.3	env-5.0	p-0.50	1.13734127074662	0.286214832138996	0.28	-0.101629186362172	5.26481466428167e-06	c-Tm
T4	C1	diff-0.3	env-5.0	p-0.50	1.13734127074662	0.286214832138996	0.331	-0.101629186362172	5.26481466428167e-06	c.p-Tm
T4	C1	diff-0.3	env-5.0	p-0.50	0.659434132717666	0.416759786794502	0.484	0.0797819786368237	0.000355048381682747	nc-Tm
T5	C1	diff-0.3	env-5.0	p-0.50	6.36317586134788	0.0116512812266857	0.004	0.239877840687951	1.43265159481625e-27	c
T5	C1	diff-0.3	env-5.0	p-0.50	6.36317586134788	0.0116512812266857	0.005	0.239877840687951	1.43265159481625e-27	c.p
T5	C1	diff-0.3	env-5.0	p-0.50	63.6771298415285	1.46576406685187e-15	0	0.60872520519255	4.28127903894281e-203	nc
T5	C1	diff-0.3	env-5.0	p-0.50	0.967808313292596	0.325227388112556	0.271	0.0959864377724462	1.70881647130812e-05	c-Tm
T5	C1	diff-0.3	env-5.0	p-0.50	0.967808313292596	0.325227388112556	0.251	0.0959864377724462	1.70881647130812e-05	c.p-Tm
T5	C1	diff-0.3	env-5.0	p-0.50	1.74017399977421	0.187116781331421	0.192	0.126572101168933	1.34856998183738e-08	nc-Tm
T6	C1	diff-0.3	env-5.0	p-0.50	20.5881642722422	5.69470975301507e-06	0	0.399165577276127	2.23146859687761e-77	c
T6	C1	diff-0.3	env-5.0	p-0.50	20.5881642722422	5.69470975301507e-06	0	0.399165577276127	2.23146859687761e-77	c.p
T6	C1	diff-0.3	env-5.0	p-0.50	96.7444134239896	7.88798468023918e-23	0	0.690742227117321	1.23497966962106e-283	nc
T6	C1	diff-0.3	env-5.0	p-0.50	2.3761706501661	0.123199213288893	0.138	0.148046222669007	2.86431150729001e-11	c-Tm
T6	C1	diff-0.3	env-5.0	p-0.50	2.3761706501661	0.123199213288893	0.149	0.148046222669007	2.86431150729001e-11	c.p-Tm
T6	C1	diff-0.3	env-5.0	p-0.50	1.2535323698787	0.262878884675489	0.218	0.106397545543842	1.85317534207366e-06	nc-Tm
T7	C1	diff-0.3	env-5.0	p-0.50	2.4753544097584	0.115643373508294	0.142	0.148071364821947	2.84215030078513e-11	c
T7	C1	diff-0.3	env-5.0	p-0.50	2.4753544097584	0.115643373508294	0.146	0.148071364821947	2.84215030078513e-11	c.p
T7	C1	diff-0.3	env-5.0	p-0.50	56.1411560879068	6.74503195735348e-14	0	0.583415393899628	9.20391515087573e-183	nc
T7	C1	diff-0.3	env-5.0	p-0.50	0.0179339739972185	0.893467584035686	0.905	-0.0126713303957208	0.57115752062426	c-Tm
T7	C1	diff-0.3	env-5.0	p-0.50	0.0179339739972185	0.893467584035686	0.901	-0.0126713303957208	0.57115752062426	c.p-Tm
T7	C1	diff-0.3	env-5.0	p-0.50	0.896815955501481	0.343636907617468	0.381	0.0919946739429781	3.78388700289636e-05	nc-Tm
