rep	case	h2	env	ts	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C1	diff_large-0.3	env-1.0	p-0.50	0.0702264527980486	0.791007350184661	0.773	-0.0250538081837001	0.262749701035449	c
T1	C1	diff_large-0.3	env-1.0	p-0.50	0.0702264527980486	0.791007350184661	0.777	-0.0250538081837001	0.262749701035449	c.p
T1	C1	diff_large-0.3	env-1.0	p-0.50	2.15203704763454	0.142380872310955	0.164	0.139225689406606	4.0278310831095e-10	nc
T1	C1	diff_large-0.3	env-1.0	p-0.50	0.68226717847654	0.408807120963416	0.434	-0.0779624987320004	0.00048352396752497	c-Tm
T1	C1	diff_large-0.3	env-1.0	p-0.50	0.68226717847654	0.408807120963416	0.434	-0.0779624987320004	0.00048352396752497	c.p-Tm
T1	C1	diff_large-0.3	env-1.0	p-0.50	0.136924790242918	0.711357530701506	0.735	-0.0353533115549316	0.113980099829422	nc-Tm
T1	C1	diff_large-0.3	env-1.0	p-0.50	0.489579860295096	0.484114779008291	0.49	-0.0661008723435662	0.00310137092032791	c-ID
T1	C1	diff_large-0.3	env-1.0	p-0.50	0.489579860295096	0.484114779008291	0.516	-0.0661008723435662	0.00310137092032791	c.p-ID
T1	C1	diff_large-0.3	env-1.0	p-0.50	0.0276893257231355	0.867841309194953	0.875	0.0158892789300656	0.477585862444927	nc-ID
T2	C1	diff_large-0.3	env-1.0	p-0.50	0.000386577906819052	0.984313335943451	0.983	0.00193038632394996	0.931247326742037	c
T2	C1	diff_large-0.3	env-1.0	p-0.50	0.000386577906819052	0.984313335943451	0.984	0.00193038632394996	0.931247326742037	c.p
T2	C1	diff_large-0.3	env-1.0	p-0.50	3.20128222198901	0.0735805610039624	0.11	-0.174215538234042	4.2828822530128e-15	nc
T2	C1	diff_large-0.3	env-1.0	p-0.50	0.095015905662251	0.757894770876115	0.798	0.0302431822991403	0.17638174337392	c-Tm
