rep	case	h2	env	ts	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C1	same-0.3	env-1.0	p-0.50	0.911232278316659	0.339787670321124	0.297	0.0920308966386564	3.75721801689756e-05	c
T1	C1	same-0.3	env-1.0	p-0.50	0.911232278316659	0.339787670321124	0.31	0.0920308966386564	3.75721801689756e-05	c.p
T1	C1	same-0.3	env-1.0	p-0.50	4.2669809329738	0.0388599155070417	0.072	0.199233927345213	2.3674602347549e-19	nc
T1	C1	same-0.3	env-1.0	p-0.50	0.27326185920892	0.601152035170909	0.574	0.0504883776168454	0.0239495665873225	c-Tm
T1	C1	same-0.3	env-1.0	p-0.50	0.27326185920892	0.601152035170909	0.566	0.0504883776168454	0.0239495665873225	c.p-Tm
T1	C1	same-0.3	env-1.0	p-0.50	0.493203620111877	0.482501712688941	0.506	0.0689075647402871	0.00204664458285753	nc-Tm
T1	C1	same-0.3	env-1.0	p-0.50	0.125348941580066	0.723304016837056	0.712	0.0341819342796154	0.126474448176747	c-ID
T1	C1	same-0.3	env-1.0	p-0.50	0.125348941580066	0.723304016837056	0.669	0.0341819342796154	0.126474448176747	c.p-ID
T1	C1	same-0.3	env-1.0	p-0.50	0.139688352016059	0.708591029278641	0.726	0.0366676315853431	0.101139884192864	nc-ID
T2	C1	same-0.3	env-1.0	p-0.50	1.31699216317782	0.251132577574568	0.202	0.108015214298219	1.287079490716e-06	c
T2	C1	same-0.3	env-1.0	p-0.50	1.31699216317782	0.251132577574568	0.195	0.108015214298219	1.287079490716e-06	c.p
T2	C1	same-0.3	env-1.0	p-0.50	12.1676213209093	0.000486262786685156	0	0.322017229442903	1.75860606662186e-49	nc
T2	C1	same-0.3	env-1.0	p-0.50	0.175951376052431	0.674875902022246	0.624	0.0397913087600698	0.0752211559884333	c-Tm
T2	C1	same-0.3	env-1.0	p-0.50	0.175951376052431	0.674875902022246	0.605	0.0397913087600698	0.0752211559884333	c.p-Tm
T2	C1	same-0.3	env-1.0	p-0.50	0.0268209603070897	0.869911374299628	0.874	-0.0159328576872265	0.476378834374957	nc-Tm
T2	C1	same-0.3	env-1.0	p-0.50	0.0874092003971245	0.767497026176319	0.754	0.0280738480508419	0.209492163562378	c-ID
T2	C1	same-0.3	env-1.0	p-0.50	0.0874092003971245	0.767497026176319	0.736	0.0280738480508419	0.209492163562378	c.p-ID
T2	C1	same-0.3	env-1.0	p-0.50	0.362580625938136	0.547076503426465	0.517	-0.0586735624715702	0.00867553385462122	nc-ID
T3	C1	same-0.3	env-1.0	p-0.50	4.23635204407098	0.0395670972020322	0.016	0.197530117782141	4.82206451065468e-19	c
T3	C1	same-0.3	env-1.0	p-0.50	4.23635204407098	0.0395670972020322	0.023	0.197530117782141	4.82206451065468e-19	c.p
