rep	case	h2	env	ts	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C1	same_large-0.3	env-0.0	p-0.50	1.19890984840333	0.273539673372948	0.299	0.10428375599038	2.96047580224131e-06	c
T1	C1	same_large-0.3	env-0.0	p-0.50	1.19890984840333	0.273539673372948	0.311	0.10428375599038	2.96047580224131e-06	c.p
T1	C1	same_large-0.3	env-0.0	p-0.50	5.45791871034463	0.019479836186044	0.033	0.215448443867737	1.96139363274045e-22	nc
T1	C1	same_large-0.3	env-0.0	p-0.50	0.0187969607012169	0.890950165005536	0.884	-0.0131671530001504	0.556189785450812	c-Tm
T1	C1	same_large-0.3	env-0.0	p-0.50	0.0187969607012169	0.890950165005536	0.889	-0.0131671530001504	0.556189785450812	c.p-Tm
T1	C1	same_large-0.3	env-0.0	p-0.50	0.000188201531918094	0.98905443923682	0.993	-0.00130566397225305	0.953466186691017	nc-Tm
T1	C1	same_large-0.3	env-0.0	p-0.50	0.023891413798218	0.87716152370787	0.913	-0.0148586544033713	0.50661321962339	c-ID
T1	C1	same_large-0.3	env-0.0	p-0.50	0.023891413798218	0.87716152370787	0.875	-0.0148586544033713	0.50661321962339	c.p-ID
T1	C1	same_large-0.3	env-0.0	p-0.50	0.0163381211888286	0.898290899656038	0.916	-0.0121797697101765	0.586183089070136	nc-ID
T2	C1	same_large-0.3	env-0.0	p-0.50	7.33022556146796	0.00678045443649637	0.006	-0.25177464591001	2.71917705050138e-30	c
T2	C1	same_large-0.3	env-0.0	p-0.50	7.33022556146796	0.00678045443649637	0.007	-0.25177464591001	2.71917705050138e-30	c.p
T2	C1	same_large-0.3	env-0.0	p-0.50	27.3521145931351	1.69578902516917e-07	0	-0.453280885263682	6.42821921706527e-102	nc
T2	C1	same_large-0.3	env-0.0	p-0.50	3.85009328086573	0.049743224145325	0.046	-0.18399596128557	1.09213439665954e-16	c-Tm
T2	C1	same_large-0.3	env-0.0	p-0.50	3.85009328086573	0.049743224145325	0.04	-0.18399596128557	1.09213439665954e-16	c.p-Tm
T2	C1	same_large-0.3	env-0.0	p-0.50	2.53404745602205	0.111414103992835	0.071	-0.151779180301932	8.91012637483064e-12	nc-Tm
T2	C1	same_large-0.3	env-0.0	p-0.50	3.82508352255712	0.0504908314077705	0.042	-0.183258731997242	1.45056945251611e-16	c-ID
T2	C1	same_large-0.3	env-0.0	p-0.50	3.82508352255712	0.0504908314077705	0.038	-0.183258731997242	1.45056945251611e-16	c.p-ID
T2	C1	same_large-0.3	env-0.0	p-0.50	1.53734243254249	0.215013812607057	0.203	-0.118899925085705	9.66196010845441e-08	nc-ID
T3	C1	same_large-0.3	env-0.0	p-0.50	1.10925430205909	0.292244104157027	0.301	-0.102815306180884	4.07774238641557e-06	c
T3	C1	same_large-0.3	env-0.0	p-0.50	1.10925430205909	0.292244104157027	0.32	-0.102815306180884	4.07774238641557e-06	c.p
T3	C1	same_large-0.3	env-0.0	p-0.50	7.20345711485062	0.00727632769048345	0.012	-0.258078931018868	8.55799124781164e-32	nc
T3	C1	same_large-0.3	env-0.0	p-0.50	0.102065248784948	0.749365191255739	0.762	-0.031312472766499	0.16157198364487	c-Tm
T3	C1	same_large-0.3	env-0.0	p-0.50	0.102065248784948	0.749365191255739	0.764	-0.031312472766499	0.16157198364487	c.p-Tm
