rep	case	h2	env	ts	Qx	P-Chi	P-EN
T1	C1	same-0.3	env-0.0	p-0.50	-7.95232033543178	1	0.797
T2	C1	same-0.3	env-0.0	p-0.50	-0.123497187202418	1	0.238
T3	C1	same-0.3	env-0.0	p-0.50	6.43614622703559	0.0111820977122812	0.245
T4	C1	same-0.3	env-0.0	p-0.50	129.070633437646	6.54474050296994e-30	0.087
T5	C1	same-0.3	env-0.0	p-0.50	0.500525097249906	0.47926948984826	0.606
T6	C1	same-0.3	env-0.0	p-0.50	0.414107547450853	0.519892004733984	0.775
T7	C1	same-0.3	env-0.0	p-0.50	2.37934773750289	0.122948872541603	0.623
T8	C1	same-0.3	env-0.0	p-0.50	1.85036460313372	0.173740994812437	0.508
T9	C1	same-0.3	env-0.0	p-0.50	-0.00167540784812168	1	0.021
T10	C1	same-0.3	env-0.0	p-0.50	3.32075950006564	0.0684102184456646	0.36
T11	C1	same-0.3	env-0.0	p-0.50	0.0341997795581414	0.853282509482266	0.896
T12	C1	same-0.3	env-0.0	p-0.50	-0.821882915283042	1	0.546
T13	C1	same-0.3	env-0.0	p-0.50	-0.116397217793668	1	0.246
T14	C1	same-0.3	env-0.0	p-0.50	3.83686955185417	0.0501370476131498	0.285
T15	C1	same-0.3	env-0.0	p-0.50	-2.51116906323525	1	0.552
T16	C1	same-0.3	env-0.0	p-0.50	-1.90150523919845	1	0.865
T17	C1	same-0.3	env-0.0	p-0.50	3.17342478020653	0.0748453495172978	0.18
T18	C1	same-0.3	env-0.0	p-0.50	-3.88187911187379	1	0.61
T19	C1	same-0.3	env-0.0	p-0.50	-0.776126906450727	1	0.445
T20	C1	same-0.3	env-0.0	p-0.50	2.44204533390597	0.118122117015107	0.561
T21	C1	same-0.3	env-0.0	p-0.50	-6.64935594673543	1	0.642
T22	C1	same-0.3	env-0.0	p-0.50	25.1939980735438	5.18432872041889e-07	0.181
T23	C1	same-0.3	env-0.0	p-0.50	7.51283406061884	0.00612609055218848	0.279
T24	C1	same-0.3	env-0.0	p-0.50	1.1344820228594	0.286821330604586	0.5
T25	C1	same-0.3	env-0.0	p-0.50	-0.0121701929401699	1	0.055
T26	C1	same-0.3	env-0.0	p-0.50	-13.141919531006	1	0.266
T27	C1	same-0.3	env-0.0	p-0.50	-1.34936926306693	1	0.625
T28	C1	same-0.3	env-0.0	p-0.50	-0.256389649728207	1	0.257
T29	C1	same-0.3	env-0.0	p-0.50	-0.377762676873543	1	0.141
T30	C1	same-0.3	env-0.0	p-0.50	0.936118478842653	0.333278072773288	0.709
T31	C1	same-0.3	env-0.0	p-0.50	12.2953220098888	0.000454095018019991	0.376
T32	C1	same-0.3	env-0.0	p-0.50	1.93857633684182	0.163823196625896	0.332
T33	C1	same-0.3	env-0.0	p-0.50	-14.6237526944418	1	0.861
T34	C1	same-0.3	env-0.0	p-0.50	43.0198964532884	5.41859900406145e-11	0.099
T35	C1	same-0.3	env-0.0	p-0.50	-20.493932113441	1	0.824
T36	C1	same-0.3	env-0.0	p-0.50	-0.50144622594263	1	0.259
T37	C1	same-0.3	env-0.0	p-0.50	-1.74467831085996	1	0.489
T38	C1	same-0.3	env-0.0	p-0.50	0.94288116604909	0.331537979326778	0.599
T39	C1	same-0.3	env-0.0	p-0.50	0.0189126100044869	0.890617315019818	0.95
T40	C1	same-0.3	env-0.0	p-0.50	-3.69828111701863	1	0.471
T41	C1	same-0.3	env-0.0	p-0.50	-57.2893172618923	1	0.723
T42	C1	same-0.3	env-0.0	p-0.50	-2.31640420742901	1	0.19
T43	C1	same-0.3	env-0.0	p-0.50	-7.94906329133411	1	0.884
T44	C1	same-0.3	env-0.0	p-0.50	0.365167566508081	0.545650214290234	0.77
T45	C1	same-0.3	env-0.0	p-0.50	24.0868337529014	9.20877837843739e-07	0.27
T46	C1	same-0.3	env-0.0	p-0.50	-22.9684625332432	1	0.891
T47	C1	same-0.3	env-0.0	p-0.50	-1.06651095850594	1	0.318
T48	C1	same-0.3	env-0.0	p-0.50	-5.65459239642018	1	0.906
T49	C1	same-0.3	env-0.0	p-0.50	-19.1391458377459	1	0.863
T50	C1	same-0.3	env-0.0	p-0.50	2.82463798239152	0.0928278210068408	0.166
T51	C1	same-0.3	env-0.0	p-0.50	-3.26386422723488	1	0.65
T52	C1	same-0.3	env-0.0	p-0.50	0.00427834647153297	0.947848302528118	0.965
T53	C1	same-0.3	env-0.0	p-0.50	-42.76387155191	1	0.945
T54	C1	same-0.3	env-0.0	p-0.50	1.51213152247841	0.218814122849802	0.347
T55	C1	same-0.3	env-0.0	p-0.50	2.36385176346638	0.124175250926014	0.501
T56	C1	same-0.3	env-0.0	p-0.50	0.0610933088007741	0.804776192142884	0.833
T57	C1	same-0.3	env-0.0	p-0.50	-1.64653027707298	1	0.559
T58	C1	same-0.3	env-0.0	p-0.50	-0.123319026477242	1	0.198
T59	C1	same-0.3	env-0.0	p-0.50	52.1175908682553	5.2274534739674e-13	0.127
T60	C1	same-0.3	env-0.0	p-0.50	-1.84149103882691	1	0.69
T61	C1	same-0.3	env-0.0	p-0.50	0.908067635902949	0.340627652146291	0.409
T62	C1	same-0.3	env-0.0	p-0.50	0.111647406613762	0.73827632573152	0.846
T63	C1	same-0.3	env-0.0	p-0.50	-18.2087060654508	1	0.837
T64	C1	same-0.3	env-0.0	p-0.50	2.33418680028781	0.126561067590546	0.265
T65	C1	same-0.3	env-0.0	p-0.50	-0.514163840503588	1	0.295
T66	C1	same-0.3	env-0.0	p-0.50	-0.0461040920347825	1	0.107
