rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
F1	C1	h2-0	env-0.0	0.306074692497477	0.580098959553714	0.64	0.121021409688277	0.0878121262945682	c
F1	C1	h2-0	env-0.0	0.306074692497477	0.580098959553714	0.668	0.121021409688277	0.0878121262945682	c.p
F1	C1	h2-0	env-0.0	0.857819935045835	0.354349487189628	0.377	0.181910602012413	0.00993666720994387	nc
F1	C1	h2-0	env-0.0	0.314739723569247	0.5747861612637	0.617	0.122621750255357	0.0836664400896722	c-Tm
F1	C1	h2-0	env-0.0	0.314739723569247	0.5747861612637	0.644	0.122621750255357	0.0836664400896722	c.p-Tm
F1	C1	h2-0	env-0.0	0.0151436788434963	0.902059858534207	0.903	-0.0249311981006759	0.72601986098881	nc-Tm
F2	C1	h2-0	env-0.0	1.36455909415604	0.24274891086841	0.236	0.218824368199422	0.00185156358321887	c
F2	C1	h2-0	env-0.0	1.36455909415604	0.24274891086841	0.251	0.218824368199422	0.00185156358321887	c.p
F2	C1	h2-0	env-0.0	4.33138353066782	0.0374158213790989	0.062	-0.376417073550183	3.94350608222516e-08	nc
F2	C1	h2-0	env-0.0	2.11212157524023	0.14613659265932	0.158	0.267413161568329	0.000129168603828982	c-Tm
F2	C1	h2-0	env-0.0	2.11212157524023	0.14613659265932	0.168	0.267413161568329	0.000129168603828982	c.p-Tm
F2	C1	h2-0	env-0.0	4.08409556915544	0.0432886127130921	0.08	-0.356630404249939	2.17930122732361e-07	nc-Tm
F3	C1	h2-0	env-0.0	4.57277724396896	0.0324838623765695	0.024	0.370434446119922	6.69337172940248e-08	c
F3	C1	h2-0	env-0.0	4.57277724396896	0.0324838623765695	0.02	0.370434446119922	6.69337172940248e-08	c.p
F3	C1	h2-0	env-0.0	1.56683025977146	0.210667934573285	0.199	-0.241185994949801	0.000580776990299509	nc
F3	C1	h2-0	env-0.0	6.09259165036833	0.0135749825216103	0.008	0.418001423992556	7.3354143832055e-10	c-Tm
F3	C1	h2-0	env-0.0	6.09259165036833	0.0135749825216103	0.005	0.418001423992556	7.3354143832055e-10	c.p-Tm
F3	C1	h2-0	env-0.0	0.011686358406547	0.913913622301142	0.905	0.0212300104456695	0.765405963719066	nc-Tm
F4	C1	h2-0	env-0.0	0.0872137490866966	0.767749637966629	0.817	-0.0631505277585915	0.374340392366532	c
