rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
F1	C1	h2-0	env-0.0	0.459703938463305	0.497762370422505	0.523	-0.0546417935139273	0.355507325219759	c
F1	C1	h2-0	env-0.0	0.459703938463305	0.497762370422505	0.492	-0.0546417935139273	0.355507325219759	c.p
F1	C1	h2-0	env-0.0	30.0681597557022	4.17124003565623e-08	0	-0.258849146921356	8.59575060539729e-06	nc
F1	C1	h2-0	env-0.0	0.139132880620588	0.709144572386645	0.699	-0.0301898969363805	0.609891939160522	c-Tm
F1	C1	h2-0	env-0.0	0.139132880620588	0.709144572386645	0.699	-0.0301898969363805	0.609891939160522	c.p-Tm
F1	C1	h2-0	env-0.0	10.2513545166256	0.00136584275066805	0.003	-0.165170128761036	0.00495159084249055	nc-Tm
F2	C1	h2-0	env-0.0	1.57690474333204	0.209207104164394	0.279	-0.101396322937334	0.0858515750392503	c
F2	C1	h2-0	env-0.0	1.57690474333204	0.209207104164394	0.259	-0.101396322937334	0.0858515750392503	c.p
F2	C1	h2-0	env-0.0	6.57367903230353	0.0103497788321364	0.004	-0.16129269130339	0.00608235749723871	nc
F2	C1	h2-0	env-0.0	1.20480451364884	0.272363521090644	0.343	-0.0888768792162488	0.132398561873038	c-Tm
F2	C1	h2-0	env-0.0	1.20480451364884	0.272363521090644	0.367	-0.0888768792162488	0.132398561873038	c.p-Tm
F2	C1	h2-0	env-0.0	4.5344993913187	0.0332181714039279	0.029	-0.134359726359192	0.0225724721222405	nc-Tm
F3	C1	h2-0	env-0.0	4.96749558622197	0.0258280191706681	0.033	-0.190758829717026	0.00114141511382555	c
F3	C1	h2-0	env-0.0	4.96749558622197	0.0258280191706681	0.032	-0.190758829717026	0.00114141511382555	c.p
F3	C1	h2-0	env-0.0	0.789953488025892	0.374114190067137	0.42	0.0352497961722403	0.551313868680233	nc
F3	C1	h2-0	env-0.0	5.08996081283672	0.0240647354408742	0.033	-0.193091438216251	0.000988886543170785	c-Tm
F3	C1	h2-0	env-0.0	5.08996081283672	0.0240647354408742	0.025	-0.193091438216251	0.000988886543170785	c.p-Tm
F3	C1	h2-0	env-0.0	0.611466260849029	0.434236270580046	0.471	0.0309692386289548	0.600692231610055	nc-Tm
F4	C1	h2-0	env-0.0	0.021789406094859	0.882648707395426	0.889	-0.0117046429610459	0.843219308854751	c
F4	C1	h2-0	env-0.0	0.021789406094859	0.882648707395426	0.877	-0.0117046429610459	0.843219308854751	c.p
F4	C1	h2-0	env-0.0	0.107076392775178	0.743497491491991	0.758	-0.0194013648015582	0.743024298276094	nc
F4	C1	h2-0	env-0.0	0.246774151374231	0.6193557120045	0.593	-0.0394639869975461	0.504725271699872	c-Tm
F4	C1	h2-0	env-0.0	0.246774151374231	0.6193557120045	0.593	-0.0394639869975461	0.504725271699872	c.p-Tm
F4	C1	h2-0	env-0.0	3.72172431569384	0.053708879006948	0.062	-0.116602954840629	0.0480460887291267	nc-Tm
F5	C1	h2-0	env-0.0	0.370289095232245	0.542846728639362	0.598	0.0564698022372239	0.339618763550417	c
F5	C1	h2-0	env-0.0	0.370289095232245	0.542846728639362	0.59	0.0564698022372239	0.339618763550417	c.p
F5	C1	h2-0	env-0.0	0.000268380760398464	0.986929375887734	0.988	0.000911795820228423	0.987707960196938	nc
F5	C1	h2-0	env-0.0	0.0812063065974926	0.775669269049862	0.804	0.0263878483013316	0.655635703446315	c-Tm
F5	C1	h2-0	env-0.0	0.0812063065974926	0.775669269049862	0.814	0.0263878483013316	0.655635703446315	c.p-Tm
F5	C1	h2-0	env-0.0	1.00290799728011	0.316607879275515	0.274	-0.0565614983157535	0.338833881459801	nc-Tm
F6	C1	h2-0	env-0.0	5.69778060695009e-05	0.993977333728595	0.992	0.000657413451976351	0.991137155026678	c
F6	C1	h2-0	env-0.0	5.69778060695009e-05	0.993977333728595	0.994	0.000657413451976351	0.991137155026678	c.p
F6	C1	h2-0	env-0.0	0.00626019111444508	0.936936086377704	0.934	0.00482581667440553	0.935011614865368	nc
F6	C1	h2-0	env-0.0	0.029620612551272	0.863353882214583	0.86	-0.0149770340619569	0.800208309749335	c-Tm
F6	C1	h2-0	env-0.0	0.029620612551272	0.863353882214583	0.836	-0.0149770340619569	0.800208309749335	c.p-Tm
F6	C1	h2-0	env-0.0	0.0219525608627372	0.882213368749649	0.888	-0.00895197907078584	0.87976868325758	nc-Tm
F7	C1	h2-0	env-0.0	0.069857941829908	0.791543728889435	0.781	0.0219363932974289	0.710862071754283	c
F7	C1	h2-0	env-0.0	0.069857941829908	0.791543728889435	0.801	0.0219363932974289	0.710862071754283	c.p
F7	C1	h2-0	env-0.0	2.73196702232798	0.0983580760418415	0.107	-0.101621607813555	0.0851537776113239	nc
F7	C1	h2-0	env-0.0	0.0827999018836381	0.773538327069532	0.792	0.0238891350598056	0.686428512783675	c-Tm
F7	C1	h2-0	env-0.0	0.0827999018836381	0.773538327069532	0.785	0.0238891350598056	0.686428512783675	c.p-Tm
F7	C1	h2-0	env-0.0	2.41313328203198	0.120321322824074	0.133	-0.0956401922747268	0.105291548137985	nc-Tm
F8	C1	h2-0	env-0.0	5.83022504721552	0.0157531081428812	0.03	0.214681167222474	0.000242265578989639	c
F8	C1	h2-0	env-0.0	5.83022504721552	0.0157531081428812	0.031	0.214681167222474	0.000242265578989639	c.p
F8	C1	h2-0	env-0.0	21.476758756667	3.5814313834157e-06	0	-0.24641073475512	2.34805074320124e-05	nc
F8	C1	h2-0	env-0.0	4.73768938163265	0.0295086785377217	0.054	0.194780412952722	0.000890416888195813	c-Tm
F8	C1	h2-0	env-0.0	4.73768938163265	0.0295086785377217	0.036	0.194780412952722	0.000890416888195813	c.p-Tm
F8	C1	h2-0	env-0.0	29.1807587815645	6.5930705301219e-08	0	-0.287130330119218	7.18378897016767e-07	nc-Tm
F9	C1	h2-0	env-0.0	1.43091643603623	0.231614933869744	0.288	0.0979435341892812	0.0971321065749703	c
F9	C1	h2-0	env-0.0	1.43091643603623	0.231614933869744	0.282	0.0979435341892812	0.0971321065749703	c.p
F9	C1	h2-0	env-0.0	0.0558754866118523	0.81313784338799	0.779	0.0120934568549771	0.838081804606839	nc
F9	C1	h2-0	env-0.0	0.732615299538474	0.392036779446742	0.46	0.070391288554477	0.233707641960755	c-Tm
F9	C1	h2-0	env-0.0	0.732615299538474	0.392036779446742	0.458	0.070391288554477	0.233707641960755	c.p-Tm
F9	C1	h2-0	env-0.0	0.163114304677963	0.686305288369703	0.675	-0.0208219617659164	0.724941903362252	nc-Tm
F10	C1	h2-0	env-0.0	0.507801162656598	0.476092268273428	0.412	-0.0552379129950145	0.350275519563412	c
F10	C1	h2-0	env-0.0	0.507801162656598	0.476092268273428	0.406	-0.0552379129950145	0.350275519563412	c.p
F10	C1	h2-0	env-0.0	1.70026695299553	0.192253069184267	0.237	-0.0823344402790056	0.163452866920818	nc
F10	C1	h2-0	env-0.0	0.366065295081716	0.545156870384004	0.485	-0.0468876295544307	0.427961362548399	c-Tm
F10	C1	h2-0	env-0.0	0.366065295081716	0.545156870384004	0.514	-0.0468876295544307	0.427961362548399	c.p-Tm
F10	C1	h2-0	env-0.0	0.589264741657133	0.442703579471852	0.459	-0.0495741009934991	0.401942488787486	nc-Tm
F11	C1	h2-0	env-0.0	0.459115635427204	0.498037572366269	0.465	-0.0564396104367789	0.339877446985571	c
F11	C1	h2-0	env-0.0	0.459115635427204	0.498037572366269	0.47	-0.0564396104367789	0.339877446985571	c.p
F11	C1	h2-0	env-0.0	5.44556514032143	0.0196180671060387	0.012	-0.152331960782203	0.00962429746144576	nc
F11	C1	h2-0	env-0.0	0.58960327478762	0.442572570907799	0.418	-0.0639772565791393	0.279200461111482	c-Tm
F11	C1	h2-0	env-0.0	0.58960327478762	0.442572570907799	0.446	-0.0639772565791393	0.279200461111482	c.p-Tm
F11	C1	h2-0	env-0.0	6.73801508970985	0.0094379578379115	0.006	-0.169040318130535	0.00401519570010054	nc-Tm
F12	C1	h2-0	env-0.0	3.64435175910462	0.0562597009331847	0.017	-0.16986342141143	0.00383797255429646	c
F12	C1	h2-0	env-0.0	3.64435175910462	0.0562597009331847	0.017	-0.16986342141143	0.00383797255429646	c.p
F12	C1	h2-0	env-0.0	6.60980146135333	0.0101418968430281	0.029	0.165844982182599	0.00477535472532066	nc
F12	C1	h2-0	env-0.0	5.34267779888776	0.0208094836798525	0.003	-0.203633431931221	0.000506587453257603	c-Tm
F12	C1	h2-0	env-0.0	5.34267779888776	0.0208094836798525	0.008	-0.203633431931221	0.000506587453257603	c.p-Tm
F12	C1	h2-0	env-0.0	2.42233685473498	0.119616372433223	0.15	0.0992610449343865	0.0926960149632357	nc-Tm
F13	C1	h2-0	env-0.0	2.07197011020687	0.150027609816532	0.136	-0.124664006127747	0.0344577735904917	c
