rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
K1	C1	h2-0	env-0.0	0.326251827639423	0.567874527802719	0.585	0.0843404999109782	0.0920785829551243	c
K1	C1	h2-0	env-0.0	0.326251827639423	0.567874527802719	0.613	0.0843404999109782	0.0920785829551243	c.p
K1	C1	h2-0	env-0.0	0.320164448604205	0.571508834131397	0.602	-0.0837288618361343	0.0944702744628962	nc
K1	C1	h2-0	env-0.0	0.166939881692058	0.682845875678301	0.685	0.060388963663799	0.228164845594655	c-Tm
K1	C1	h2-0	env-0.0	0.166939881692058	0.682845875678301	0.716	0.060388963663799	0.228164845594655	c.p-Tm
K1	C1	h2-0	env-0.0	0.590561980708325	0.442201886515596	0.487	-0.110660849009832	0.0268913189756283	nc-Tm
K2	C1	h2-0	env-0.0	0.574047012767746	0.448655208038172	0.58	0.10426753335134	0.0371138592386201	c
K2	C1	h2-0	env-0.0	0.574047012767746	0.448655208038172	0.59	0.10426753335134	0.0371138592386201	c.p
K2	C1	h2-0	env-0.0	1.15606394499213	0.282283341833272	0.315	-0.154238220361771	0.00197715363191813	nc
K2	C1	h2-0	env-0.0	0.571811916747204	0.449539805986443	0.572	0.10408774084458	0.0374434908492937	c-Tm
K2	C1	h2-0	env-0.0	0.571811916747204	0.449539805986443	0.572	0.10408774084458	0.0374434908492937	c.p-Tm
K2	C1	h2-0	env-0.0	1.81477798641332	0.177936126770716	0.211	-0.192609475195645	0.000105973494004763	nc-Tm
K3	C1	h2-0	env-0.0	0.00938287033424419	0.922833431398789	0.923	0.0138077323440687	0.78308304096938	c
K3	C1	h2-0	env-0.0	0.00938287033424419	0.922833431398789	0.909	0.0138077323440687	0.78308304096938	c.p
K3	C1	h2-0	env-0.0	0.701432983911426	0.402302609429967	0.462	-0.126014910138891	0.0116532605532015	nc
K3	C1	h2-0	env-0.0	0.0608859619611789	0.805101081810565	0.791	0.0352057945803767	0.482598066195322	c-Tm
K3	C1	h2-0	env-0.0	0.0608859619611789	0.805101081810565	0.804	0.0352057945803767	0.482598066195322	c.p-Tm
K3	C1	h2-0	env-0.0	0.100097974815858	0.75171209211371	0.754	0.0481498166091218	0.33678358229902	nc-Tm
K4	C1	h2-0	env-0.0	0.104372160940606	0.746644648637418	0.739	-0.0441493644743062	0.378505421028717	c
K4	C1	h2-0	env-0.0	0.104372160940606	0.746644648637418	0.75	-0.0441493644743062	0.378505421028717	c.p
K4	C1	h2-0	env-0.0	5.80510562157126	0.0159797079398039	0.023	0.323830807094576	3.22308207822641e-11	nc
K4	C1	h2-0	env-0.0	0.267184106638816	0.605226982825084	0.584	-0.070420337389009	0.159799916493294	c-Tm
K4	C1	h2-0	env-0.0	0.267184106638816	0.605226982825084	0.602	-0.070420337389009	0.159799916493294	c.p-Tm
K4	C1	h2-0	env-0.0	1.87750255641878	0.170618270175855	0.215	0.194107039105451	9.3365765783556e-05	nc-Tm
K5	C1	h2-0	env-0.0	0.802243887014258	0.370423329871838	0.383	-0.13598186177278	0.00645377622082025	c
K5	C1	h2-0	env-0.0	0.802243887014258	0.370423329871838	0.393	-0.13598186177278	0.00645377622082025	c.p
K5	C1	h2-0	env-0.0	2.18660701943054	0.13921569079686	0.174	0.215048022051003	1.43548157802024e-05	nc
K5	C1	h2-0	env-0.0	0.950085075217345	0.329697643095311	0.339	-0.147876190475264	0.00303093323435921	c-Tm
K5	C1	h2-0	env-0.0	0.950085075217345	0.329697643095311	0.342	-0.147876190475264	0.00303093323435921	c.p-Tm
K5	C1	h2-0	env-0.0	1.48681602525755	0.222711129369898	0.278	0.18093917243485	0.000275269025833053	nc-Tm
K6	C1	h2-0	env-0.0	0.031045938080115	0.86013793970627	0.873	-0.02579906537907	0.606935885244882	c
K6	C1	h2-0	env-0.0	0.031045938080115	0.86013793970627	0.865	-0.02579906537907	0.606935885244882	c.p
K6	C1	h2-0	env-0.0	0.0604626663882675	0.805766166242828	0.833	-0.0361960723197592	0.470360560830914	nc
K6	C1	h2-0	env-0.0	0.0270197225685849	0.869434549550684	0.872	-0.024129840470145	0.630405213789478	c-Tm
K6	C1	h2-0	env-0.0	0.0270197225685849	0.869434549550684	0.874	-0.024129840470145	0.630405213789478	c.p-Tm
K6	C1	h2-0	env-0.0	0.237632894272725	0.625921014938374	0.685	-0.0715494738302321	0.153193344311686	nc-Tm
K7	C1	h2-0	env-0.0	2.89235851953894	0.0890005486662758	0.123	0.253124406716373	2.89077100958436e-07	c
K7	C1	h2-0	env-0.0	2.89235851953894	0.0890005486662758	0.123	0.253124406716373	2.89077100958436e-07	c.p
K7	C1	h2-0	env-0.0	8.90313606907518	0.00284681315036647	0.005	0.418654101408581	2.09323487647909e-18	nc
K7	C1	h2-0	env-0.0	2.97762589247671	0.0844230231625796	0.109	0.256715120492474	1.93235254963332e-07	c-Tm
K7	C1	h2-0	env-0.0	2.97762589247671	0.0844230231625796	0.122	0.256715120492474	1.93235254963332e-07	c.p-Tm
K7	C1	h2-0	env-0.0	6.05969318751064	0.0138301709890997	0.023	0.349518295352639	6.1678492855525e-13	nc-Tm
K8	C1	h2-0	env-0.0	0.0985051350288835	0.753630958841948	0.801	-0.0467257925762691	0.35128460241312	c
K8	C1	h2-0	env-0.0	0.0985051350288835	0.753630958841948	0.8	-0.0467257925762691	0.35128460241312	c.p
K8	C1	h2-0	env-0.0	0.431357371003446	0.511323657565796	0.488	-0.0996337126688987	0.0464374037256074	nc
K8	C1	h2-0	env-0.0	0.149019267128657	0.699474348917551	0.758	-0.0574333785612311	0.251787297437768	c-Tm
K8	C1	h2-0	env-0.0	0.149019267128657	0.699474348917551	0.774	-0.0574333785612311	0.251787297437768	c.p-Tm
K8	C1	h2-0	env-0.0	0.390643422578592	0.531961385342021	0.515	-0.0946100031986466	0.0586883224877377	nc-Tm
K9	C1	h2-0	env-0.0	2.2056952414458	0.137501889575981	0.173	0.210428083394394	2.20559050252094e-05	c
K9	C1	h2-0	env-0.0	2.2056952414458	0.137501889575981	0.157	0.210428083394394	2.20559050252094e-05	c.p
K9	C1	h2-0	env-0.0	0.104721127445837	0.74623601237023	0.737	0.0472177059737617	0.346231439322609	nc
K9	C1	h2-0	env-0.0	1.83914381278374	0.175051330778784	0.22	0.193353730487127	9.95200521779622e-05	c-Tm
K9	C1	h2-0	env-0.0	1.83914381278374	0.175051330778784	0.197	0.193353730487127	9.95200521779622e-05	c.p-Tm
K9	C1	h2-0	env-0.0	0.03603688509727	0.849439341078809	0.847	-0.0276727889549621	0.581065222937193	nc-Tm
K10	C1	h2-0	env-0.0	0.967910727071818	0.325201790805914	0.419	0.129327439560659	0.00961609927520477	c
K10	C1	h2-0	env-0.0	0.967910727071818	0.325201790805914	0.38	0.129327439560659	0.00961609927520477	c.p
K10	C1	h2-0	env-0.0	0.972201331086463	0.324131786263905	0.314	0.139291414057293	0.00525898460666828	nc
K10	C1	h2-0	env-0.0	0.95021856132909	0.329663670650522	0.394	0.128500608294271	0.0100925172120156	c-Tm
K10	C1	h2-0	env-0.0	0.95021856132909	0.329663670650522	0.404	0.128500608294271	0.0100925172120156	c.p-Tm
K10	C1	h2-0	env-0.0	1.90729618021821	0.167263912879553	0.204	0.192390727401661	0.000107943810292898	nc-Tm
K11	C1	h2-0	env-0.0	0.794788468489694	0.372656113886006	0.395	-0.128570294868831	0.0100515709323765	c
K11	C1	h2-0	env-0.0	0.794788468489694	0.372656113886006	0.402	-0.128570294868831	0.0100515709323765	c.p
K11	C1	h2-0	env-0.0	0.00100398005715348	0.974722743297486	0.966	0.00443865244007276	0.929482726331519	nc
K11	C1	h2-0	env-0.0	0.721290296237249	0.39572099450225	0.426	-0.12266834926112	0.0140897418351984	c-Tm
K11	C1	h2-0	env-0.0	0.721290296237249	0.39572099450225	0.412	-0.12266834926112	0.0140897418351984	c.p-Tm
K11	C1	h2-0	env-0.0	0.0103460715291516	0.918982387186562	0.929	-0.0143962024320948	0.77408332713945	nc-Tm
K12	C1	h2-0	env-0.0	0.734676958902982	0.391371391993181	0.381	-0.120133940622211	0.0162224742773083	c
K12	C1	h2-0	env-0.0	0.734676958902982	0.391371391993181	0.374	-0.120133940622211	0.0162224742773083	c.p
K12	C1	h2-0	env-0.0	0.136280044849846	0.712007520610638	0.752	0.05197472392394	0.299762717102565	nc
K12	C1	h2-0	env-0.0	0.930610983223593	0.334704211787169	0.357	-0.134912287029116	0.00688893945456069	c-Tm
K12	C1	h2-0	env-0.0	0.930610983223593	0.334704211787169	0.318	-0.134912287029116	0.00688893945456069	c.p-Tm
K12	C1	h2-0	env-0.0	0.4811035762044	0.487922866758067	0.519	-0.09877294955646	0.048369638689268	nc-Tm
K13	C1	h2-0	env-0.0	0.57469560324803	0.448399018643064	0.397	0.107805748531336	0.0311107413886969	c
K13	C1	h2-0	env-0.0	0.57469560324803	0.448399018643064	0.39	0.107805748531336	0.0311107413886969	c.p
K13	C1	h2-0	env-0.0	1.74348348511616	0.186698050777951	0.256	0.190100723035605	0.00013074420250482	nc
K13	C1	h2-0	env-0.0	0.534103386462067	0.464886801113894	0.401	0.103634881641935	0.0382847800986563	c-Tm
K13	C1	h2-0	env-0.0	0.534103386462067	0.464886801113894	0.393	0.103634881641935	0.0382847800986563	c.p-Tm
K13	C1	h2-0	env-0.0	0.73899764322411	0.389982158022184	0.46	0.123144680601481	0.013717654706854	nc-Tm
K14	C1	h2-0	env-0.0	6.68780445204265	0.00970746860785227	0.006	0.360547422355413	1.00614393280853e-13	c
K14	C1	h2-0	env-0.0	6.68780445204265	0.00970746860785227	0.008	0.360547422355413	1.00614393280853e-13	c.p
K14	C1	h2-0	env-0.0	0.105667580922803	0.745131497322653	0.759	-0.0459785260439456	0.359049448321856	nc
K14	C1	h2-0	env-0.0	7.25874534059608	0.0070556566897998	0.008	0.373417779686659	1.10773359037437e-14	c-Tm
K14	C1	h2-0	env-0.0	7.25874534059608	0.0070556566897998	0.003	0.373417779686659	1.10773359037437e-14	c.p-Tm
K14	C1	h2-0	env-0.0	0.107177035029774	0.743381218385954	0.749	0.0466144565151132	0.352434726861553	nc-Tm
K15	C1	h2-0	env-0.0	2.05457754977512	0.151749338012835	0.102	0.19620087966109	7.80869727876856e-05	c
K15	C1	h2-0	env-0.0	2.05457754977512	0.151749338012835	0.118	0.19620087966109	7.80869727876856e-05	c.p
K15	C1	h2-0	env-0.0	3.61266428204129	0.0573411878256978	0.096	-0.24892609919898	4.59409351890359e-07	nc
K15	C1	h2-0	env-0.0	2.32132583131539	0.127611216639409	0.096	0.207980390062296	2.75868711012969e-05	c-Tm
K15	C1	h2-0	env-0.0	2.32132583131539	0.127611216639409	0.105	0.207980390062296	2.75868711012969e-05	c.p-Tm
K15	C1	h2-0	env-0.0	4.47418884642054	0.034410532599364	0.052	-0.274799365559426	2.31422955606752e-08	nc-Tm
K16	C1	h2-0	env-0.0	0.161909285344628	0.687404733304159	0.737	0.0587435541543634	0.241114032638093	c
K16	C1	h2-0	env-0.0	0.161909285344628	0.687404733304159	0.735	0.0587435541543634	0.241114032638093	c.p
K16	C1	h2-0	env-0.0	0.0680322220279804	0.794223707214225	0.802	0.0392966665631594	0.433171246402607	nc
K16	C1	h2-0	env-0.0	0.159463277654498	0.689651145300608	0.733	0.0583235340796153	0.244500567307907	c-Tm
K16	C1	h2-0	env-0.0	0.159463277654498	0.689651145300608	0.726	0.0583235340796153	0.244500567307907	c.p-Tm
K16	C1	h2-0	env-0.0	0.0250997949244348	0.87411864706097	0.884	0.0233008689320597	0.642202129567688	nc-Tm
K17	C1	h2-0	env-0.0	0.742695408513259	0.38879880841536	0.376	-0.118912021974464	0.0173481356101239	c
K17	C1	h2-0	env-0.0	0.742695408513259	0.38879880841536	0.37	-0.118912021974464	0.0173481356101239	c.p
K17	C1	h2-0	env-0.0	0.103006993904567	0.748250535423555	0.746	-0.0464235002867795	0.354412864966328	nc
K17	C1	h2-0	env-0.0	1.03605483679827	0.308740790915381	0.315	-0.139943754789372	0.00504844358591384	c-Tm
K17	C1	h2-0	env-0.0	1.03605483679827	0.308740790915381	0.335	-0.139943754789372	0.00504844358591384	c.p-Tm
K17	C1	h2-0	env-0.0	0.844241474088774	0.358186517933054	0.326	-0.130306698759953	0.00907777042671797	nc-Tm
K18	C1	h2-0	env-0.0	0.53427582737134	0.464814739355425	0.463	-0.0990274970241099	0.0477913490788818	c
K18	C1	h2-0	env-0.0	0.53427582737134	0.464814739355425	0.464	-0.0990274970241099	0.0477913490788818	c.p
K18	C1	h2-0	env-0.0	0.211610889731634	0.645507724504969	0.697	0.0726954421216256	0.146702029660363	nc
K18	C1	h2-0	env-0.0	0.596875375686159	0.43977270135287	0.428	-0.104657822862046	0.0364067657133065	c-Tm
K18	C1	h2-0	env-0.0	0.596875375686159	0.43977270135287	0.476	-0.104657822862046	0.0364067657133065	c.p-Tm
K18	C1	h2-0	env-0.0	0.381135224820501	0.53699630861792	0.58	0.0955572521544408	0.056193011577448	nc-Tm
K19	C1	h2-0	env-0.0	0.684924227099286	0.407896223872022	0.462	0.121873156155538	0.0147307017549679	c
K19	C1	h2-0	env-0.0	0.684924227099286	0.407896223872022	0.458	0.121873156155538	0.0147307017549679	c.p
K19	C1	h2-0	env-0.0	0.180120312427098	0.671269866335716	0.674	0.0563266930494397	0.26105509861457	nc
K19	C1	h2-0	env-0.0	0.735445856983627	0.39112364950236	0.402	0.126282411671015	0.0114756259875992	c-Tm
K19	C1	h2-0	env-0.0	0.735445856983627	0.39112364950236	0.428	0.126282411671015	0.0114756259875992	c.p-Tm
K19	C1	h2-0	env-0.0	0.20616033264849	0.649793687567183	0.666	0.0622972633139269	0.213774268336678	nc-Tm
K20	C1	h2-0	env-0.0	0.0128316764762055	0.909810959083204	0.926	-0.016117627161101	0.74793409406818	c
K20	C1	h2-0	env-0.0	0.0128316764762055	0.909810959083204	0.906	-0.016117627161101	0.74793409406818	c.p
K20	C1	h2-0	env-0.0	0.718037492818607	0.396788402506696	0.444	-0.124628805619894	0.0126131789917904	nc
