rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
K1	C1	h2-0	env-0.0	0.664959930799076	0.41481434292824	0.398	0.149733216657876	0.00268005196970761	c
K1	C1	h2-0	env-0.0	0.664959930799076	0.41481434292824	0.422	0.149733216657876	0.00268005196970761	c.p
K1	C1	h2-0	env-0.0	7.04315251201444	0.00795688556888432	0.018	-0.431228963473503	1.51725655488906e-19	nc
K1	C1	h2-0	env-0.0	1.47975479962175	0.223812890114882	0.225	0.220446799576749	8.58700748410403e-06	c-Tm
K1	C1	h2-0	env-0.0	1.47975479962175	0.223812890114882	0.209	0.220446799576749	8.58700748410403e-06	c.p-Tm
K1	C1	h2-0	env-0.0	0.951133041752099	0.329431058896761	0.379	-0.17738559836593	0.000363966848778428	nc-Tm
K2	C1	h2-0	env-0.0	1.46603592712701	0.225972178052375	0.236	0.239002354758227	1.32917673586335e-06	c
K2	C1	h2-0	env-0.0	1.46603592712701	0.225972178052375	0.277	0.239002354758227	1.32917673586335e-06	c.p
K2	C1	h2-0	env-0.0	0.336806396573877	0.561678456593346	0.548	-0.114009672518613	0.0225781679519564	nc
K2	C1	h2-0	env-0.0	0.42589209160492	0.514011551432499	0.555	0.1321188616209	0.00815184242495784	c-Tm
K2	C1	h2-0	env-0.0	0.42589209160492	0.514011551432499	0.573	0.1321188616209	0.00815184242495784	c.p-Tm
K2	C1	h2-0	env-0.0	2.72480335608149	0.0988002892885477	0.091	-0.314832108478386	1.18324795674991e-10	nc-Tm
K3	C1	h2-0	env-0.0	0.555190507199092	0.456204577278079	0.503	0.154638343259158	0.00192369882717477	c
K3	C1	h2-0	env-0.0	0.555190507199092	0.456204577278079	0.502	0.154638343259158	0.00192369882717477	c.p
K3	C1	h2-0	env-0.0	0.478945066091721	0.488900547270761	0.53	0.136466163534566	0.00626496678055393	nc
K3	C1	h2-0	env-0.0	0.206771811275059	0.649309477740562	0.676	0.0947712537325061	0.0582571839338604	c-Tm
K3	C1	h2-0	env-0.0	0.206771811275059	0.649309477740562	0.679	0.0947712537325061	0.0582571839338604	c.p-Tm
K3	C1	h2-0	env-0.0	0.0467782282813335	0.828767353766029	0.842	0.0430747418138663	0.390231490509896	nc-Tm
K4	C1	h2-0	env-0.0	0.253968810406036	0.614294276702405	0.646	0.100165888849426	0.0452754773680461	c
K4	C1	h2-0	env-0.0	0.253968810406036	0.614294276702405	0.637	0.100165888849426	0.0452754773680461	c.p
K4	C1	h2-0	env-0.0	4.90108544994316	0.0268398199374613	0.012	0.384914106352433	1.41804748873001e-15	nc
