rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
K1	C1	h2-0	env-0.0	0.664959930799076	0.41481434292824	0.429	0.149733216657876	0.00268005196970761	c
K1	C1	h2-0	env-0.0	0.664959930799076	0.41481434292824	0.422	0.149733216657876	0.00268005196970761	c.p
K1	C1	h2-0	env-0.0	0.145111570877956	0.703251386645408	0.722	-0.0714099014821591	0.153998589007006	nc
K1	C1	h2-0	env-0.0	1.47975479962175	0.223812890114882	0.247	0.220446799576749	8.58700748410403e-06	c-Tm
K1	C1	h2-0	env-0.0	1.47975479962175	0.223812890114882	0.22	0.220446799576749	8.58700748410403e-06	c.p-Tm
K1	C1	h2-0	env-0.0	0.264147043624178	0.607285288211471	0.689	0.101009706795745	0.0434832216412059	nc-Tm
K2	C1	h2-0	env-0.0	1.46603592712701	0.225972178052375	0.251	0.239002354758227	1.32917673586335e-06	c
K2	C1	h2-0	env-0.0	1.46603592712701	0.225972178052375	0.267	0.239002354758227	1.32917673586335e-06	c.p
K2	C1	h2-0	env-0.0	0.0841963867575802	0.771689141418772	0.765	-0.057557471087579	0.25076253460208	nc
K2	C1	h2-0	env-0.0	0.42589209160492	0.514011551432499	0.576	0.1321188616209	0.00815184242495784	c-Tm
K2	C1	h2-0	env-0.0	0.42589209160492	0.514011551432499	0.587	0.1321188616209	0.00815184242495784	c.p-Tm
K2	C1	h2-0	env-0.0	0.251089221723242	0.61630916512209	0.585	0.102729507026575	0.0400147820369684	nc-Tm
K3	C1	h2-0	env-0.0	0.555190507199092	0.456204577278079	0.482	0.154638343259158	0.00192369882717477	c
K3	C1	h2-0	env-0.0	0.555190507199092	0.456204577278079	0.466	0.154638343259158	0.00192369882717477	c.p
K3	C1	h2-0	env-0.0	0.289936074447017	0.590261498177737	0.608	-0.0970708674353769	0.0523887909629143	nc
K3	C1	h2-0	env-0.0	0.206771811275059	0.649309477740562	0.664	0.0947712537325061	0.0582571839338604	c-Tm
