rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
K1	C1	h2-0	env-0.0	0.326251827639423	0.567874527802719	0.59	0.0843404999109782	0.0920785829551243	c
K1	C1	h2-0	env-0.0	0.326251827639423	0.567874527802719	0.594	0.0843404999109782	0.0920785829551243	c.p
K1	C1	h2-0	env-0.0	1.83820288478494	0.175161726269511	0.259	-0.195085143261202	8.5908285828468e-05	nc
K1	C1	h2-0	env-0.0	0.166939881692058	0.682845875678301	0.708	0.060388963663799	0.228164845594655	c-Tm
K1	C1	h2-0	env-0.0	0.166939881692058	0.682845875678301	0.705	0.060388963663799	0.228164845594655	c.p-Tm
K1	C1	h2-0	env-0.0	3.31119917159448	0.0688092635470386	0.097	-0.262970168359085	9.44096861685488e-08	nc-Tm
K2	C1	h2-0	env-0.0	0.574047012767746	0.448655208038172	0.574	0.10426753335134	0.0371138592386201	c
K2	C1	h2-0	env-0.0	0.574047012767746	0.448655208038172	0.588	0.10426753335134	0.0371138592386201	c.p
K2	C1	h2-0	env-0.0	1.00886746920225	0.315174311274961	0.378	-0.144265048585958	0.00383515906343492	nc
K2	C1	h2-0	env-0.0	0.571811916747204	0.449539805986443	0.573	0.10408774084458	0.0374434908492937	c-Tm
K2	C1	h2-0	env-0.0	0.571811916747204	0.449539805986443	0.572	0.10408774084458	0.0374434908492937	c.p-Tm
K2	C1	h2-0	env-0.0	1.52346827100544	0.217095394010117	0.27	-0.177720594520542	0.000354587872579292	nc-Tm
K3	C1	h2-0	env-0.0	0.00938287033424419	0.922833431398789	0.934	0.0138077323440687	0.78308304096938	c
K3	C1	h2-0	env-0.0	0.00938287033424419	0.922833431398789	0.923	0.0138077323440687	0.78308304096938	c.p
K3	C1	h2-0	env-0.0	0.657305420320303	0.417512846060355	0.453	-0.118777298628382	0.0174763279005746	nc
K3	C1	h2-0	env-0.0	0.0608859619611789	0.805101081810565	0.809	0.0352057945803767	0.482598066195322	c-Tm
K3	C1	h2-0	env-0.0	0.0608859619611789	0.805101081810565	0.763	0.0352057945803767	0.482598066195322	c.p-Tm
K3	C1	h2-0	env-0.0	0.614301520998975	0.433172793153485	0.519	0.112888071219879	0.0239507876369144	nc-Tm
K4	C1	h2-0	env-0.0	0.104372160940606	0.746644648637418	0.74	-0.0441493644743062	0.378505421028717	c
K4	C1	h2-0	env-0.0	0.104372160940606	0.746644648637418	0.737	-0.0441493644743062	0.378505421028717	c.p
K4	C1	h2-0	env-0.0	6.81947121713315	0.00901692623610123	0.023	0.357818936212058	1.58609644055129e-13	nc
K4	C1	h2-0	env-0.0	0.267184106638816	0.605226982825084	0.609	-0.070420337389009	0.159799916493294	c-Tm
K4	C1	h2-0	env-0.0	0.267184106638816	0.605226982825084	0.59	-0.070420337389009	0.159799916493294	c.p-Tm
K4	C1	h2-0	env-0.0	2.10653338132017	0.146671249659659	0.223	0.208068728417386	2.7366233404528e-05	nc-Tm
K5	C1	h2-0	env-0.0	0.802243887014258	0.370423329871838	0.381	-0.13598186177278	0.00645377622082025	c
K5	C1	h2-0	env-0.0	0.802243887014258	0.370423329871838	0.371	-0.13598186177278	0.00645377622082025	c.p
K5	C1	h2-0	env-0.0	5.50831699095624	0.0189262504245963	0.034	0.332435696297653	8.92097229655213e-12	nc
K5	C1	h2-0	env-0.0	0.950085075217345	0.329697643095311	0.308	-0.147876190475264	0.00303093323435921	c-Tm
K5	C1	h2-0	env-0.0	0.950085075217345	0.329697643095311	0.301	-0.147876190475264	0.00303093323435921	c.p-Tm
K5	C1	h2-0	env-0.0	9.67610168767835	0.00186680297675786	0.003	0.415655683063188	3.85128407300785e-18	nc-Tm
K6	C1	h2-0	env-0.0	0.031045938080115	0.86013793970627	0.86	-0.02579906537907	0.606935885244882	c
K6	C1	h2-0	env-0.0	0.031045938080115	0.86013793970627	0.87	-0.02579906537907	0.606935885244882	c.p
K6	C1	h2-0	env-0.0	0.936348422719013	0.33321870656274	0.37	-0.138633638104667	0.00547924827093531	nc
K6	C1	h2-0	env-0.0	0.0270197225685849	0.869434549550684	0.885	-0.024129840470145	0.630405213789478	c-Tm
K6	C1	h2-0	env-0.0	0.0270197225685849	0.869434549550684	0.876	-0.024129840470145	0.630405213789478	c.p-Tm
K6	C1	h2-0	env-0.0	1.37644538721099	0.240707556338495	0.242	-0.168546590223684	0.000712749404030958	nc-Tm
K7	C1	h2-0	env-0.0	2.89235851953894	0.0890005486662758	0.129	0.253124406716373	2.89077100958436e-07	c
K7	C1	h2-0	env-0.0	2.89235851953894	0.0890005486662758	0.128	0.253124406716373	2.89077100958436e-07	c.p
K7	C1	h2-0	env-0.0	1.55023347283242	0.213100977273762	0.122	0.188025717983565	0.000155238673943369	nc
K7	C1	h2-0	env-0.0	2.97762589247671	0.0844230231625796	0.135	0.256715120492474	1.93235254963332e-07	c-Tm
K7	C1	h2-0	env-0.0	2.97762589247671	0.0844230231625796	0.114	0.256715120492474	1.93235254963332e-07	c.p-Tm
K7	C1	h2-0	env-0.0	1.08991681552014	0.296489640591683	0.23	0.155764480164544	0.00178026964203567	nc-Tm
K8	C1	h2-0	env-0.0	0.0985051350288835	0.753630958841948	0.818	-0.0467257925762691	0.35128460241312	c
K8	C1	h2-0	env-0.0	0.0985051350288835	0.753630958841948	0.777	-0.0467257925762691	0.35128460241312	c.p
K8	C1	h2-0	env-0.0	1.23133407737466	0.267147748597975	0.215	-0.167005073315442	0.000798749950918351	nc
K8	C1	h2-0	env-0.0	0.149019267128657	0.699474348917551	0.756	-0.0574333785612311	0.251787297437768	c-Tm
K8	C1	h2-0	env-0.0	0.149019267128657	0.699474348917551	0.77	-0.0574333785612311	0.251787297437768	c.p-Tm
K8	C1	h2-0	env-0.0	0.580918737862489	0.445952430195317	0.412	-0.114907657744108	0.0215288242318689	nc-Tm
K9	C1	h2-0	env-0.0	2.2056952414458	0.137501889575981	0.164	0.210428083394394	2.20559050252094e-05	c
K9	C1	h2-0	env-0.0	2.2056952414458	0.137501889575981	0.163	0.210428083394394	2.20559050252094e-05	c.p
K9	C1	h2-0	env-0.0	0.596219244617143	0.440024202311755	0.426	-0.115642743939755	0.0207015819532448	nc
K9	C1	h2-0	env-0.0	1.83914381278374	0.175051330778784	0.215	0.193353730487127	9.95200521779622e-05	c-Tm
K9	C1	h2-0	env-0.0	1.83914381278374	0.175051330778784	0.222	0.193353730487127	9.95200521779622e-05	c.p-Tm
K9	C1	h2-0	env-0.0	0.753281262401238	0.385439348016651	0.394	-0.129120029954774	0.00973369254096865	nc-Tm
K10	C1	h2-0	env-0.0	0.967910727071818	0.325201790805914	0.378	0.129327439560659	0.00961609927520477	c
