rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
K1	C1	h2-0	env-0.0	0.326251827639423	0.567874527802719	0.585	0.0843404999109782	0.0920785829551243	c
K1	C1	h2-0	env-0.0	0.326251827639423	0.567874527802719	0.611	0.0843404999109782	0.0920785829551243	c.p
K1	C1	h2-0	env-0.0	2.87037539224971	0.0902238230005597	0.149	-0.253108341860994	2.89594547657882e-07	nc
K1	C1	h2-0	env-0.0	0.166939881692058	0.682845875678301	0.695	0.060388963663799	0.228164845594655	c-Tm
K1	C1	h2-0	env-0.0	0.166939881692058	0.682845875678301	0.729	0.060388963663799	0.228164845594655	c.p-Tm
K1	C1	h2-0	env-0.0	4.7161256562798	0.0298809962136056	0.069	-0.325382306496228	2.56436928530966e-11	nc-Tm
K2	C1	h2-0	env-0.0	0.574047012767746	0.448655208038172	0.56	0.10426753335134	0.0371138592386201	c
K2	C1	h2-0	env-0.0	0.574047012767746	0.448655208038172	0.598	0.10426753335134	0.0371138592386201	c.p
K2	C1	h2-0	env-0.0	5.47044119925905	0.0193407424206805	0.052	-0.315110236616613	1.1373656063623e-10	nc
K2	C1	h2-0	env-0.0	0.571811916747204	0.449539805986443	0.571	0.10408774084458	0.0374434908492937	c-Tm
K2	C1	h2-0	env-0.0	0.571811916747204	0.449539805986443	0.573	0.10408774084458	0.0374434908492937	c.p-Tm
K2	C1	h2-0	env-0.0	6.50657916784385	0.0107476070497394	0.033	-0.341431716481343	2.22975254656103e-12	nc-Tm
K3	C1	h2-0	env-0.0	0.00938287033424419	0.922833431398789	0.928	0.0138077323440687	0.78308304096938	c
K3	C1	h2-0	env-0.0	0.00938287033424419	0.922833431398789	0.936	0.0138077323440687	0.78308304096938	c.p
K3	C1	h2-0	env-0.0	2.81936887182186	0.0931330168494189	0.082	-0.239154821462448	1.30810782921994e-06	nc
K3	C1	h2-0	env-0.0	0.0608859619611789	0.805101081810565	0.809	0.0352057945803767	0.482598066195322	c-Tm
K3	C1	h2-0	env-0.0	0.0608859619611789	0.805101081810565	0.803	0.0352057945803767	0.482598066195322	c.p-Tm
K3	C1	h2-0	env-0.0	0.104037504294186	0.74703723747631	0.765	-0.0471817296729482	0.346599433747924	nc-Tm
K4	C1	h2-0	env-0.0	0.104372160940606	0.746644648637418	0.751	-0.0441493644743062	0.378505421028717	c
K4	C1	h2-0	env-0.0	0.104372160940606	0.746644648637418	0.76	-0.0441493644743062	0.378505421028717	c.p
K4	C1	h2-0	env-0.0	5.20517042090215	0.0225198071654417	0.049	0.33103831362341	1.10204849663448e-11	nc
K4	C1	h2-0	env-0.0	0.267184106638816	0.605226982825084	0.589	-0.070420337389009	0.159799916493294	c-Tm
