rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C2	h2-0	env-0.0	1.81533894287541	0.177869098351315	0.104	-0.0964550233253395	0.0096058644686924	c
T1	C2	h2-0	env-0.0	1.81533894287541	0.177869098351315	0.106	-0.0964550233253395	0.0096058644686924	c.p
T1	C2	h2-0	env-0.0	0.504869047265874	0.477368482203289	0.447	0.0492911748674477	0.186459328394275	nc
T1	C2	h2-0	env-0.0	1.51884091435691	0.217794981749818	0.135	-0.0882129786991555	0.0179083969792721	c-Tm
T1	C2	h2-0	env-0.0	1.51884091435691	0.217794981749818	0.135	-0.0882129786991555	0.0179083969792721	c.p-Tm
T1	C2	h2-0	env-0.0	1.35012984664461	0.245255418127027	0.208	0.080705767401944	0.0303621635244785	nc-Tm
T2	C2	h2-0	env-0.0	0.0771872666524274	0.781145958594994	0.786	0.0198509057659232	0.594876569866587	c
T2	C2	h2-0	env-0.0	0.0771872666524274	0.781145958594994	0.762	0.0198509057659232	0.594876569866587	c.p
T2	C2	h2-0	env-0.0	2.50274290303351	0.113648206618929	0.056	-0.106854365724024	0.00409896147590441	nc
T2	C2	h2-0	env-0.0	0.0782254930979744	0.779716726890574	0.749	0.0199834732537887	0.592418474863397	c-Tm
T2	C2	h2-0	env-0.0	0.0782254930979744	0.779716726890574	0.751	0.0199834732537887	0.592418474863397	c.p-Tm
T2	C2	h2-0	env-0.0	2.11549063116734	0.145815316363675	0.087	-0.0988127504271184	0.00797058078026761	nc-Tm
T3	C2	h2-0	env-0.0	0.236816891159564	0.626514635875336	0.664	0.036098279107233	0.333418694319689	c
T3	C2	h2-0	env-0.0	0.236816891159564	0.626514635875336	0.63	0.036098279107233	0.333418694319689	c.p
T3	C2	h2-0	env-0.0	2.41782651768674	0.119961270058748	0.102	-0.106082118240044	0.00437769322599135	nc
T3	C2	h2-0	env-0.0	0.292110283952917	0.588871373634392	0.619	0.0400683597816422	0.282952654435481	c-Tm
