rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C1	scale-0	env-0.0	0.530091864087127	0.466568240479923	0.467	-0.059453375295612	0.110949525030853	c
T1	C1	scale-0	env-0.0	0.530091864087127	0.466568240479923	0.451	-0.059453375295612	0.110949525030853	c.p
T1	C1	scale-0	env-0.0	0.093440115833333	0.759848485107829	0.747	0.0249191549930236	0.504393438869387	nc
T1	C1	scale-0	env-0.0	0.280615995225197	0.596297755657162	0.578	-0.0432989209456268	0.245903281138361	c-Tm
T1	C1	scale-0	env-0.0	0.280615995225197	0.596297755657162	0.588	-0.0432989209456268	0.245903281138361	c.p-Tm
T1	C1	scale-0	env-0.0	0.76562688539472	0.381573319498736	0.329	0.0707561630445707	0.0577399384726947	nc-Tm
T1	C1	scale-0	env-0.0	0.581115021859144	0.445875599569067	0.444	-0.0622481193278685	0.0951155995439337	c-ID
T1	C1	scale-0	env-0.0	0.581115021859144	0.445875599569067	0.469	-0.0622481193278685	0.0951155995439337	c.p-ID
T1	C1	scale-0	env-0.0	0.0768247818200486	0.78164739542001	0.759	0.0226698790791768	0.543640013056504	nc-ID
T2	C1	scale-0	env-0.0	1.19765733804346	0.273790404148289	0.263	-0.0855969482093525	0.0216168615544724	c
T2	C1	scale-0	env-0.0	1.19765733804346	0.273790404148289	0.272	-0.0855969482093525	0.0216168615544724	c.p
T2	C1	scale-0	env-0.0	1.70586356993092	0.191522931885288	0.178	-0.100315894718386	0.00706257792761324	nc
T2	C1	scale-0	env-0.0	1.20994369383519	0.271343273470913	0.298	-0.0860481374479864	0.0209332448484509	c-Tm
T2	C1	scale-0	env-0.0	1.20994369383519	0.271343273470913	0.264	-0.0860481374479864	0.0209332448484509	c.p-Tm
T2	C1	scale-0	env-0.0	2.33263173544472	0.126687532416699	0.131	-0.116249602023506	0.00178117483377679	nc-Tm
T2	C1	scale-0	env-0.0	1.08901736880587	0.296689030738683	0.338	-0.0816488707021834	0.0284719776840794	c-ID
T2	C1	scale-0	env-0.0	1.08901736880587	0.296689030738683	0.321	-0.0816488707021834	0.0284719776840794	c.p-ID
T2	C1	scale-0	env-0.0	1.80134422791015	0.179550069197304	0.163	-0.102282097121031	0.00601513216772563	nc-ID
T3	C1	scale-0	env-0.0	0.65229500597634	0.419293348188895	0.368	0.0647047865747771	0.0827384351466449	c
T3	C1	scale-0	env-0.0	0.65229500597634	0.419293348188895	0.313	0.0647047865747771	0.0827384351466449	c.p
T3	C1	scale-0	env-0.0	1.14406034685003	0.284795987802289	0.28	-0.0873762089566177	0.0190290035109567	nc
T3	C1	scale-0	env-0.0	0.807394658408597	0.36889164350549	0.317	0.0719415564821422	0.0536637147338948	c-Tm
T3	C1	scale-0	env-0.0	0.807394658408597	0.36889164350549	0.282	0.0719415564821422	0.0536637147338948	c.p-Tm
T3	C1	scale-0	env-0.0	0.33156442326007	0.564739347821222	0.578	-0.0470676531096202	0.20714227803099	nc-Tm
T3	C1	scale-0	env-0.0	0.688314320105127	0.406738335380805	0.296	0.0664503401165244	0.0747620280477613	c-ID
T3	C1	scale-0	env-0.0	0.688314320105127	0.406738335380805	0.332	0.0664503401165244	0.0747620280477613	c.p-ID
T3	C1	scale-0	env-0.0	0.770963671554072	0.379919097834596	0.427	-0.0719188005360607	0.0537396468000242	nc-ID
T4	C1	scale-0	env-0.0	0.66830500053183	0.413643185830247	0.414	0.0628382415084134	0.0920150733246992	c
T4	C1	scale-0	env-0.0	0.66830500053183	0.413643185830247	0.39	0.0628382415084134	0.0920150733246992	c.p
T4	C1	scale-0	env-0.0	0.271205093341047	0.602524528821732	0.578	0.0422762691580363	0.25724496344905	nc
T4	C1	scale-0	env-0.0	0.537928921766969	0.463292318028543	0.482	0.0564005404132253	0.130544177960484	c-Tm
T4	C1	scale-0	env-0.0	0.537928921766969	0.463292318028543	0.425	0.0564005404132253	0.130544177960484	c.p-Tm
T4	C1	scale-0	env-0.0	0.0609820565601707	0.804950439298001	0.784	0.020011230474091	0.591904383751678	nc-Tm
T4	C1	scale-0	env-0.0	0.658392862482534	0.417127897225179	0.42	0.0623930031098842	0.0943467448190569	c-ID
T4	C1	scale-0	env-0.0	0.658392862482534	0.417127897225179	0.434	0.0623930031098842	0.0943467448190569	c.p-ID
T4	C1	scale-0	env-0.0	0.173797490552569	0.676758676651719	0.68	0.0335884090648166	0.368141764330079	nc-ID
T5	C1	scale-0	env-0.0	0.378301053587243	0.538513889046428	0.552	-0.0496409049080442	0.183349882673231	c
T5	C1	scale-0	env-0.0	0.378301053587243	0.538513889046428	0.54	-0.0496409049080442	0.183349882673231	c.p
T5	C1	scale-0	env-0.0	2.56271730979264	0.109410382310142	0.119	-0.127337360085037	0.000615174484392288	nc
T5	C1	scale-0	env-0.0	0.394704653246465	0.529836744864527	0.547	-0.0506803039681302	0.174335062838259	c-Tm
T5	C1	scale-0	env-0.0	0.394704653246465	0.529836744864527	0.54	-0.0506803039681302	0.174335062838259	c.p-Tm
T5	C1	scale-0	env-0.0	2.68198130250938	0.101489387540171	0.12	-0.130127981836223	0.000464337833796686	nc-Tm
T5	C1	scale-0	env-0.0	0.548034695030414	0.459121830377565	0.469	-0.0597018116432467	0.109462835822516	c-ID
T5	C1	scale-0	env-0.0	0.548034695030414	0.459121830377565	0.492	-0.0597018116432467	0.109462835822516	c.p-ID
T5	C1	scale-0	env-0.0	4.75383880633412	0.0292330105705972	0.035	-0.173000942207336	3.02245462846109e-06	nc-ID
T6	C1	scale-0	env-0.0	0.485233312178554	0.486061355081375	0.487	0.0547171183780845	0.142440734395103	c
T6	C1	scale-0	env-0.0	0.485233312178554	0.486061355081375	0.469	0.0547171183780845	0.142440734395103	c.p
T6	C1	scale-0	env-0.0	1.58857060223356	0.207530473798631	0.237	-0.10185125803211	0.0062318943825541	nc
T6	C1	scale-0	env-0.0	0.593925318081089	0.44090522422793	0.447	0.0605313846121976	0.104612119947021	c-Tm
T6	C1	scale-0	env-0.0	0.593925318081089	0.44090522422793	0.434	0.0605313846121976	0.104612119947021	c.p-Tm
T6	C1	scale-0	env-0.0	0.671049642955587	0.412685892963474	0.454	-0.0666182754515812	0.0740288721013298	nc-Tm
T6	C1	scale-0	env-0.0	0.461923387754624	0.496726444651242	0.484	0.0533982471919931	0.152327898150024	c-ID
T6	C1	scale-0	env-0.0	0.461923387754624	0.496726444651242	0.48	0.0533982471919931	0.152327898150024	c.p-ID
T6	C1	scale-0	env-0.0	1.17041859405483	0.279315247403582	0.35	-0.088170859506463	0.0179633927566754	nc-ID
T7	C1	scale-0	env-0.0	0.0311784362950853	0.859842887309094	0.841	0.0139082720406833	0.709470224025299	c
T7	C1	scale-0	env-0.0	0.0311784362950853	0.859842887309094	0.834	0.0139082720406833	0.709470224025299	c.p
T7	C1	scale-0	env-0.0	0.407751752368957	0.523112838366895	0.468	0.0540949913954125	0.147041574753975	nc
T7	C1	scale-0	env-0.0	0.00957407230928769	0.922053636080172	0.918	-0.00771745193846726	0.836225224598967	c-Tm
T7	C1	scale-0	env-0.0	0.00957407230928769	0.922053636080172	0.917	-0.00771745193846726	0.836225224598967	c.p-Tm
T7	C1	scale-0	env-0.0	0.00620070276170969	0.937235816731472	0.933	-0.00675787389588053	0.856352045317846	nc-Tm
T7	C1	scale-0	env-0.0	0.00349474514609246	0.952859420446498	0.941	0.00465925299927261	0.900678458670161	c-ID
T7	C1	scale-0	env-0.0	0.00349474514609246	0.952859420446498	0.944	0.00465925299927261	0.900678458670161	c.p-ID
T7	C1	scale-0	env-0.0	0.0479584694755425	0.826654548340399	0.814	0.0188489336435814	0.613603755228724	nc-ID
T8	C1	scale-0	env-0.0	1.87786727823111	0.170576743578518	0.163	-0.111169405150237	0.00281666316400471	c
T8	C1	scale-0	env-0.0	1.87786727823111	0.170576743578518	0.174	-0.111169405150237	0.00281666316400471	c.p
T8	C1	scale-0	env-0.0	0.0271823207072532	0.869045819254284	0.868	0.0134009175440777	0.719613273362028	nc
T8	C1	scale-0	env-0.0	2.11933717164955	0.145449479823141	0.162	-0.118011010145681	0.00151311388555548	c-Tm
T8	C1	scale-0	env-0.0	2.11933717164955	0.145449479823141	0.172	-0.118011010145681	0.00151311388555548	c.p-Tm
T8	C1	scale-0	env-0.0	0.000410953134812238	0.983826408667244	0.985	0.00166117497265359	0.96450857379684	nc-Tm
T8	C1	scale-0	env-0.0	1.99918170904048	0.157384152793272	0.154	-0.114653306336286	0.00206104319515176	c-ID
T8	C1	scale-0	env-0.0	1.99918170904048	0.157384152793272	0.148	-0.114653306336286	0.00206104319515176	c.p-ID
T8	C1	scale-0	env-0.0	0.0368929966759313	0.847683067836543	0.849	0.015717710197138	0.673723215824241	nc-ID
T9	C1	scale-0	env-0.0	0.0658098732294405	0.797538259396645	0.814	0.0200445891687382	0.591286818390533	c
T9	C1	scale-0	env-0.0	0.0658098732294405	0.797538259396645	0.814	0.0200445891687382	0.591286818390533	c.p
