rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C2	3Pop-0	env-0.0	0.658779798589889	0.416991051016207	0.445	0.035419895860394	0.342589078880106	c
T1	C2	3Pop-0	env-0.0	0.658779798589889	0.416991051016207	0.471	0.035419895860394	0.342589078880106	c.p
T1	C2	3Pop-0	env-0.0	0.00556271181021141	0.940546031500554	0.939	-0.00332410247397804	0.929049883464202	nc
T1	C2	3Pop-0	env-0.0	0.748749437047596	0.386872455445479	0.415	0.0377129161925536	0.31223425820434	c-Tm
T1	C2	3Pop-0	env-0.0	0.748749437047596	0.386872455445479	0.435	0.0377129161925536	0.31223425820434	c.p-Tm
T1	C2	3Pop-0	env-0.0	0.00273085450679405	0.958323454585977	0.954	-0.00228655776642137	0.951161496436527	nc-Tm
T2	C2	3Pop-0	env-0.0	2.49756022310439	0.114022817639006	0.171	-0.070596366222993	0.0583085861417536	c
T2	C2	3Pop-0	env-0.0	2.49756022310439	0.114022817639006	0.174	-0.070596366222993	0.0583085861417536	c.p
T2	C2	3Pop-0	env-0.0	0.0102226036414733	0.919465606936287	0.898	-0.0045624454005583	0.902731770553897	nc
T2	C2	3Pop-0	env-0.0	2.42318974564071	0.119551276823709	0.177	-0.0694157872779011	0.0626551576408987	c-Tm
T2	C2	3Pop-0	env-0.0	2.42318974564071	0.119551276823709	0.174	-0.0694157872779011	0.0626551576408987	c.p-Tm
T2	C2	3Pop-0	env-0.0	0.648472943284869	0.4206591717763	0.366	-0.035983952818113	0.334952981325738	nc-Tm
T3	C2	3Pop-0	env-0.0	0.340421184997065	0.559586206806955	0.422	-0.0256128937362398	0.492596767082512	c
T3	C2	3Pop-0	env-0.0	0.340421184997065	0.559586206806955	0.444	-0.0256128937362398	0.492596767082512	c.p
T3	C2	3Pop-0	env-0.0	0.952415932486278	0.329105103970887	0.401	-0.0426831735738814	0.252689553353965	nc
T3	C2	3Pop-0	env-0.0	0.349067964738879	0.554641207357427	0.44	-0.0259130486420214	0.487538910632139	c-Tm
T3	C2	3Pop-0	env-0.0	0.349067964738879	0.554641207357427	0.411	-0.0259130486420214	0.487538910632139	c.p-Tm
T3	C2	3Pop-0	env-0.0	1.33738783637092	0.247495154342585	0.353	-0.051680092070441	0.16597948411552	nc-Tm
T4	C2	3Pop-0	env-0.0	3.81604473588104	0.0507639379697672	0.038	-0.0877771096597692	0.0184847011413879	c
T4	C2	3Pop-0	env-0.0	3.81604473588104	0.0507639379697672	0.032	-0.0877771096597692	0.0184847011413879	c.p
T4	C2	3Pop-0	env-0.0	1.66210660929801	0.197319133590819	0.154	0.0553453059568618	0.137907806382733	nc
T4	C2	3Pop-0	env-0.0	3.98129657075996	0.046008135568087	0.033	-0.0896980783227425	0.0160610773877235	c-Tm
T4	C2	3Pop-0	env-0.0	3.98129657075996	0.046008135568087	0.034	-0.0896980783227425	0.0160610773877235	c.p-Tm
