rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C2	3Pop-0	env-0.0	0.928836477666082	0.335165448239477	0.405	0.0431902919744092	0.247091145534803	c
T1	C2	3Pop-0	env-0.0	0.928836477666082	0.335165448239477	0.374	0.0431902919744092	0.247091145534803	c.p
T1	C2	3Pop-0	env-0.0	14.4819097307576	0.000141512043124676	0.006	-0.174174032302135	2.58332297880983e-06	nc
T1	C2	3Pop-0	env-0.0	1.00461141782962	0.316197246608287	0.353	0.0448601045684434	0.22927182193567	c-Tm
T1	C2	3Pop-0	env-0.0	1.00461141782962	0.316197246608287	0.359	0.0448601045684434	0.22927182193567	c.p-Tm
T1	C2	3Pop-0	env-0.0	17.3238505557629	3.15205762333063e-05	0.007	-0.187022766004868	4.31996207597244e-07	nc-Tm
T2	C2	3Pop-0	env-0.0	0.250887574724054	0.616450801097574	0.71	-0.0232051346456578	0.534164838957038	c
T2	C2	3Pop-0	env-0.0	0.250887574724054	0.616450801097574	0.717	-0.0232051346456578	0.534164838957038	c.p
T2	C2	3Pop-0	env-0.0	0.000652386176107481	0.979622766725777	0.981	0.00119533448033475	0.974457319609625	nc
T2	C2	3Pop-0	env-0.0	0.46586159101742	0.494897216402669	0.635	-0.0315655345498708	0.397702670672969	c-Tm
T2	C2	3Pop-0	env-0.0	0.46586159101742	0.494897216402669	0.665	-0.0315655345498708	0.397702670672969	c.p-Tm
T2	C2	3Pop-0	env-0.0	0.00232048418820214	0.961579639817598	0.964	0.00223240197681296	0.952316816108803	nc-Tm
T3	C2	3Pop-0	env-0.0	0.61040581980148	0.434635052729649	0.336	-0.035302703601066	0.3441894326884	c
T3	C2	3Pop-0	env-0.0	0.61040581980148	0.434635052729649	0.349	-0.035302703601066	0.3441894326884	c.p
T3	C2	3Pop-0	env-0.0	0.012458923974264	0.911125070118493	0.891	-0.00502495202723983	0.892927992777453	nc
T3	C2	3Pop-0	env-0.0	0.482156462729868	0.487447147951951	0.382	-0.031347707441717	0.400968840619392	c-Tm
T3	C2	3Pop-0	env-0.0	0.482156462729868	0.487447147951951	0.392	-0.031347707441717	0.400968840619392	c.p-Tm
T3	C2	3Pop-0	env-0.0	0.63012645561846	0.427308932947985	0.348	0.0365137742813416	0.327880825620212	nc-Tm
T4	C2	3Pop-0	env-0.0	0.993436392678912	0.318903938016197	0.211	-0.0462698343920677	0.214954331139504	c
T4	C2	3Pop-0	env-0.0	0.993436392678912	0.318903938016197	0.19	-0.0462698343920677	0.214954331139504	c.p
T4	C2	3Pop-0	env-0.0	35.5717695962074	2.45824381052697e-09	0	-0.264519354670265	5.41897082429073e-13	nc
T4	C2	3Pop-0	env-0.0	0.919740754083136	0.337543050983146	0.212	-0.0445406913838866	0.232607854407759	c-Tm
T4	C2	3Pop-0	env-0.0	0.919740754083136	0.337543050983146	0.197	-0.0445406913838866	0.232607854407759	c.p-Tm
T4	C2	3Pop-0	env-0.0	35.6131278356876	2.40660225334631e-09	0.001	-0.265937164241991	4.03225010062674e-13	nc-Tm
T5	C2	3Pop-0	env-0.0	0.0172812017796576	0.89541302131266	0.882	-0.00603974031582357	0.871476638544658	c
T5	C2	3Pop-0	env-0.0	0.0172812017796576	0.89541302131266	0.879	-0.00603974031582357	0.871476638544658	c.p
