rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C2	3Pop-0	env-0.0	1.10782666793075	0.292554871051979	0.179	-0.0448247397551338	0.229639499409022	c
T1	C2	3Pop-0	env-0.0	1.10782666793075	0.292554871051979	0.187	-0.0448247397551338	0.229639499409022	c.p
T1	C2	3Pop-0	env-0.0	0.20641716621729	0.649590204126613	0.6	0.0197609925583247	0.596546400844428	nc
T1	C2	3Pop-0	env-0.0	1.19925713617648	0.273470203392307	0.18	-0.0465782044628702	0.211910090159793	c-Tm
T1	C2	3Pop-0	env-0.0	1.19925713617648	0.273470203392307	0.178	-0.0465782044628702	0.211910090159793	c.p-Tm
T1	C2	3Pop-0	env-0.0	0.400494737476364	0.526833864419251	0.487	0.027023153547286	0.469078234012149	nc-Tm
T2	C2	3Pop-0	env-0.0	1.38959704842111	0.238473160278686	0.207	0.051872295038734	0.164408209647703	c
T2	C2	3Pop-0	env-0.0	1.38959704842111	0.238473160278686	0.203	0.051872295038734	0.164408209647703	c.p
T2	C2	3Pop-0	env-0.0	0.768168488665675	0.380784242016338	0.334	0.0389593607235385	0.296499571497224	nc
T2	C2	3Pop-0	env-0.0	1.29445790951146	0.255228037192509	0.214	0.049977573680662	0.180392943188317	c-Tm
T2	C2	3Pop-0	env-0.0	1.29445790951146	0.255228037192509	0.226	0.049977573680662	0.180392943188317	c.p-Tm
T2	C2	3Pop-0	env-0.0	0.255381699611815	0.613310892410319	0.601	0.0222445940189683	0.55122750735673	nc-Tm
T3	C2	3Pop-0	env-0.0	0.685113334044406	0.407831507171239	0.592	0.0356290754575034	0.339744384536372	c
T3	C2	3Pop-0	env-0.0	0.685113334044406	0.407831507171239	0.583	0.0356290754575034	0.339744384536372	c.p
T3	C2	3Pop-0	env-0.0	0.00329968802418859	0.954192381377938	0.938	-0.00246350133345666	0.947387439682367	nc
T3	C2	3Pop-0	env-0.0	1.02360694406485	0.311664957126277	0.488	0.0435114052818519	0.243591316584962	c-Tm
T3	C2	3Pop-0	env-0.0	1.02360694406485	0.311664957126277	0.493	0.0435114052818519	0.243591316584962	c.p-Tm
T3	C2	3Pop-0	env-0.0	0.401919068500026	0.526099830624374	0.467	0.0277802970088147	0.45671189873362	nc-Tm
T4	C2	3Pop-0	env-0.0	0.946122223087578	0.330708320113898	0.455	0.0430607629737522	0.248512787669492	c
T4	C2	3Pop-0	env-0.0	0.946122223087578	0.330708320113898	0.466	0.0430607629737522	0.248512787669492	c.p
T4	C2	3Pop-0	env-0.0	4.92093260826815	0.0265331906017696	0.044	-0.0938228485527732	0.0117784006839902	nc
T4	C2	3Pop-0	env-0.0	1.05960475549443	0.303305348358111	0.426	0.0455907119901575	0.221769272155827	c-Tm
T4	C2	3Pop-0	env-0.0	1.05960475549443	0.303305348358111	0.397	0.0455907119901575	0.221769272155827	c.p-Tm
T4	C2	3Pop-0	env-0.0	4.24687052096416	0.039322729320962	0.069	-0.087576719039762	0.0187550476749142	nc-Tm
T5	C2	3Pop-0	env-0.0	0.243710460133656	0.621538975644574	0.57	0.0215681848298542	0.563401322822416	c
T5	C2	3Pop-0	env-0.0	0.243710460133656	0.621538975644574	0.546	0.0215681848298542	0.563401322822416	c.p
T5	C2	3Pop-0	env-0.0	0.0421268433556488	0.837378175214964	0.751	0.00827982878093612	0.824478221216401	nc
T5	C2	3Pop-0	env-0.0	0.234013872786631	0.628563442893441	0.593	0.0211588871102052	0.57083002127585	c-Tm
T5	C2	3Pop-0	env-0.0	0.234013872786631	0.628563442893441	0.572	0.0211588871102052	0.57083002127585	c.p-Tm
T5	C2	3Pop-0	env-0.0	0.00752972441472997	0.930851166834446	0.88	0.00355095723371284	0.924221952244269	nc-Tm
T6	C2	3Pop-0	env-0.0	3.20949328463601	0.0732121533687227	0.212	0.0783915025534081	0.0354616537515265	c
T6	C2	3Pop-0	env-0.0	3.20949328463601	0.0732121533687227	0.21	0.0783915025534081	0.0354616537515265	c.p
T6	C2	3Pop-0	env-0.0	0.0730197022881782	0.786989791613015	0.781	0.0116896885669322	0.754179647757574	nc
T6	C2	3Pop-0	env-0.0	3.17685015818845	0.07468857875781	0.226	0.0780758956156445	0.0362106446609372	c-Tm
T6	C2	3Pop-0	env-0.0	3.17685015818845	0.07468857875781	0.225	0.0780758956156445	0.0362106446609372	c.p-Tm
T6	C2	3Pop-0	env-0.0	0.425278439632712	0.514314887659134	0.515	0.0277260124288619	0.457592393603914	nc-Tm
T7	C2	3Pop-0	env-0.0	3.44514539406208	0.0634378399087636	0.057	0.07888931037761	0.0343070916982325	c
T7	C2	3Pop-0	env-0.0	3.44514539406208	0.0634378399087636	0.049	0.07888931037761	0.0343070916982325	c.p
T7	C2	3Pop-0	env-0.0	0.821473493340994	0.36474970299708	0.378	-0.040319539961987	0.279943452515219	nc
T7	C2	3Pop-0	env-0.0	3.3835128568179	0.0658515602181596	0.044	0.0781512760739966	0.0360305410828405	c-Tm
T7	C2	3Pop-0	env-0.0	3.3835128568179	0.0658515602181596	0.061	0.0781512760739966	0.0360305410828405	c.p-Tm
T7	C2	3Pop-0	env-0.0	0.948254599333135	0.330163972283349	0.356	-0.0438954677653322	0.23945123104596	nc-Tm
T8	C2	3Pop-0	env-0.0	0.00359557009928978	0.952185045382441	0.931	-0.00253955641987818	0.945765605944036	c
T8	C2	3Pop-0	env-0.0	0.00359557009928978	0.952185045382441	0.945	-0.00253955641987818	0.945765605944036	c.p
T8	C2	3Pop-0	env-0.0	1.43118085970805	0.231571818220095	0.075	0.0494294156118905	0.18522561616979	nc
T8	C2	3Pop-0	env-0.0	0.0057313721921176	0.939653140285884	0.918	-0.00320641622368383	0.931555524874666	c-Tm
T8	C2	3Pop-0	env-0.0	0.0057313721921176	0.939653140285884	0.926	-0.00320641622368383	0.931555524874666	c.p-Tm
T8	C2	3Pop-0	env-0.0	1.69099405873048	0.193469982184228	0.056	0.0541091356134387	0.146935728599058	nc-Tm
T9	C2	3Pop-0	env-0.0	0.0648624185875495	0.798969481899742	0.781	0.0105896599273081	0.776667398239899	c
T9	C2	3Pop-0	env-0.0	0.0648624185875495	0.798969481899742	0.774	0.0105896599273081	0.776667398239899	c.p
T9	C2	3Pop-0	env-0.0	3.11751200068552	0.0774549626349668	0.038	-0.0720362028638436	0.053348857053203	nc
T9	C2	3Pop-0	env-0.0	0.0525832875827537	0.818627623288855	0.787	0.00953296411471892	0.798446895686884	c-Tm
T9	C2	3Pop-0	env-0.0	0.0525832875827537	0.818627623288855	0.801	0.00953296411471892	0.798446895686884	c.p-Tm
T9	C2	3Pop-0	env-0.0	2.74006289209605	0.0978609152414628	0.045	-0.0674982935081863	0.0702822888729134	nc-Tm
T10	C2	3Pop-0	env-0.0	0.420275591813137	0.516799561344937	0.605	-0.026670947966964	0.474893151591399	c
T10	C2	3Pop-0	env-0.0	0.420275591813137	0.516799561344937	0.618	-0.026670947966964	0.474893151591399	c.p
T10	C2	3Pop-0	env-0.0	1.0698509806716	0.300979108160409	0.257	-0.0403544640611317	0.279526777920045	nc
T10	C2	3Pop-0	env-0.0	0.280059042611182	0.596662520729239	0.657	-0.0217274773033142	0.560522812043252	c-Tm
T10	C2	3Pop-0	env-0.0	0.280059042611182	0.596662520729239	0.679	-0.0217274773033142	0.560522812043252	c.p-Tm
T10	C2	3Pop-0	env-0.0	0.771453387999545	0.379767810334295	0.342	-0.034446448256392	0.356026409195563	nc-Tm
T11	C2	3Pop-0	env-0.0	0.0810599069446624	0.775866163409776	0.788	-0.0118465275042739	0.750989789649626	c
T11	C2	3Pop-0	env-0.0	0.0810599069446624	0.775866163409776	0.801	-0.0118465275042739	0.750989789649626	c.p
T11	C2	3Pop-0	env-0.0	0.894629473573556	0.344225840222488	0.364	0.042507764028364	0.25464638740173	nc
T11	C2	3Pop-0	env-0.0	0.0699927187108422	0.79134738193715	0.787	-0.0110112167769455	0.768026324934344	c-Tm
T11	C2	3Pop-0	env-0.0	0.0699927187108422	0.79134738193715	0.8	-0.0110112167769455	0.768026324934344	c.p-Tm
T11	C2	3Pop-0	env-0.0	3.63553231200032	0.0565585152808552	0.192	0.0849277763646485	0.0226664412980296	nc-Tm
T12	C2	3Pop-0	env-0.0	3.73602885814906e-05	0.995123115521275	0.995	-0.000252154239449617	0.994610927254319	c
T12	C2	3Pop-0	env-0.0	3.73602885814906e-05	0.995123115521275	0.995	-0.000252154239449617	0.994610927254319	c.p
T12	C2	3Pop-0	env-0.0	0.0602516622550666	0.806098619349342	0.714	0.0097236460674416	0.794504627819523	nc
T12	C2	3Pop-0	env-0.0	0.00228394027617169	0.961883137885001	0.949	-0.00197394245463345	0.957831936677925	c-Tm
T12	C2	3Pop-0	env-0.0	0.00228394027617169	0.961883137885001	0.935	-0.00197394245463345	0.957831936677925	c.p-Tm
T12	C2	3Pop-0	env-0.0	0.0821951871796781	0.774344311663016	0.683	-0.0116195954222031	0.755606590397546	nc-Tm
T13	C2	3Pop-0	env-0.0	0.165916823219204	0.683766448146674	0.663	0.0174389475140131	0.640386445776515	c
T13	C2	3Pop-0	env-0.0	0.165916823219204	0.683766448146674	0.645	0.0174389475140131	0.640386445776515	c.p
T13	C2	3Pop-0	env-0.0	0.360013569466983	0.548498699462981	0.654	-0.0265262489953604	0.477293528463126	nc
T13	C2	3Pop-0	env-0.0	0.23500270448207	0.627838955552596	0.6	0.0207622808529101	0.578072476563096	c-Tm
T13	C2	3Pop-0	env-0.0	0.23500270448207	0.627838955552596	0.589	0.0207622808529101	0.578072476563096	c.p-Tm
T13	C2	3Pop-0	env-0.0	0.502291817370094	0.47849484476417	0.425	0.0308695522740637	0.408194597852839	nc-Tm
