rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C3	h2-0	env-0.0	0.131185062173394	0.717206476462174	0.728	-0.0167645845607922	0.653366033928093	c
T1	C3	h2-0	env-0.0	0.131185062173394	0.717206476462174	0.759	-0.0167645845607922	0.653366033928093	c.p
T1	C3	h2-0	env-0.0	0.0122219227111386	0.911970974073932	0.914	0.00530318258068183	0.887038083044679	nc
T1	C3	h2-0	env-0.0	0.242405402638462	0.622474178696746	0.636	-0.0227809467634206	0.541667033897711	c-Tm
T1	C3	h2-0	env-0.0	0.242405402638462	0.622474178696746	0.656	-0.0227809467634206	0.541667033897711	c.p-Tm
T1	C3	h2-0	env-0.0	0.0263901625538272	0.87095111149253	0.865	-0.00764618440224709	0.837716533823114	nc-Tm
T2	C3	h2-0	env-0.0	1.02594158199767	0.311113783107041	0.322	-0.0478263271900392	0.199906205547625	c
T2	C3	h2-0	env-0.0	1.02594158199767	0.311113783107041	0.337	-0.0478263271900392	0.199906205547625	c.p
T2	C3	h2-0	env-0.0	0.100727776531569	0.750958015633336	0.749	0.0149582677377264	0.688642869707637	nc
T2	C3	h2-0	env-0.0	1.22979567924873	0.267446777269437	0.288	-0.0523041945522555	0.160918223440644	c-Tm
T2	C3	h2-0	env-0.0	1.22979567924873	0.267446777269437	0.297	-0.0523041945522555	0.160918223440644	c.p-Tm
T2	C3	h2-0	env-0.0	0.00738922523413779	0.931497735666288	0.935	0.00399636445827678	0.914751042778159	nc-Tm
T3	C3	h2-0	env-0.0	0.116812070478381	0.732518111141395	0.709	-0.0156113790080343	0.675804618949709	c
T3	C3	h2-0	env-0.0	0.116812070478381	0.732518111141395	0.686	-0.0156113790080343	0.675804618949709	c.p
T3	C3	h2-0	env-0.0	0.244861994684664	0.620716369736938	0.642	-0.0240229083621623	0.519850965164523	nc
T3	C3	h2-0	env-0.0	0.0798520491729277	0.777498009293737	0.728	-0.0129063316330002	0.729548718599209	c-Tm
T3	C3	h2-0	env-0.0	0.0798520491729277	0.777498009293737	0.762	-0.0129063316330002	0.729548718599209	c.p-Tm
T3	C3	h2-0	env-0.0	0.016998137001493	0.896268238836959	0.911	-0.00630697615414501	0.865842604663654	nc-Tm
T4	C3	h2-0	env-0.0	0.760405574763796	0.383201628869641	0.389	-0.0412524509502916	0.268957397656936	c
T4	C3	h2-0	env-0.0	0.760405574763796	0.383201628869641	0.385	-0.0412524509502916	0.268957397656936	c.p
T4	C3	h2-0	env-0.0	1.04231987630776	0.307282543221946	0.367	-0.049035828494327	0.188754048880509	nc
T4	C3	h2-0	env-0.0	1.07673538412727	0.299429022447406	0.302	-0.0491548836751773	0.187681563217757	c-Tm
T4	C3	h2-0	env-0.0	1.07673538412727	0.299429022447406	0.297	-0.0491548836751773	0.187681563217757	c.p-Tm
T4	C3	h2-0	env-0.0	2.58409731872817	0.107941929494342	0.117	-0.0750403101647928	0.0441269453989645	nc-Tm
T5	C3	h2-0	env-0.0	0.462055457190582	0.496664916106149	0.445	-0.0328765025109687	0.378385753779944	c
T5	C3	h2-0	env-0.0	0.462055457190582	0.496664916106149	0.472	-0.0328765025109687	0.378385753779944	c.p
T5	C3	h2-0	env-0.0	0.537003099300612	0.463677399902103	0.476	-0.0375332479138237	0.314546796070691	nc
T5	C3	h2-0	env-0.0	0.23711889948573	0.626294785441085	0.618	-0.0235172225670195	0.528678872849755	c-Tm
T5	C3	h2-0	env-0.0	0.23711889948573	0.626294785441085	0.604	-0.0235172225670195	0.528678872849755	c.p-Tm
T5	C3	h2-0	env-0.0	0.0669282748371463	0.795862864693257	0.794	0.0130960612915208	0.725731885771067	nc-Tm
T6	C3	h2-0	env-0.0	0.547498940624849	0.45934143016857	0.436	0.0341437371581961	0.360271688798946	c
T6	C3	h2-0	env-0.0	0.547498940624849	0.45934143016857	0.44	0.0341437371581961	0.360271688798946	c.p
