rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C1	scale-0	ps-0.3	0.0386113674591453	0.844220590186588	0.835	0.01503003420123	0.687227683841497	c
T1	C1	scale-0	ps-0.3	0.0386113674591453	0.844220590186588	0.841	0.01503003420123	0.687227683841497	c.p
T1	C1	scale-0	ps-0.3	0.374536832052274	0.540541632147411	0.536	0.0488629337037279	0.190319558763995	nc
T1	C1	scale-0	ps-0.3	0.0375416308349968	0.846366449316267	0.845	0.0148248854612765	0.691275965433525	c-Tm
T1	C1	scale-0	ps-0.3	0.0375416308349968	0.846366449316267	0.847	0.0148248854612765	0.691275965433525	c.p-Tm
T1	C1	scale-0	ps-0.3	0.724677566297358	0.394613855643012	0.406	0.0684374353773745	0.0664567165600485	nc-Tm
T2	C1	scale-0	ps-0.3	0.0112708998047416	0.915451841313226	0.913	-0.00858698997230819	0.81807854605967	c
T2	C1	scale-0	ps-0.3	0.0112708998047416	0.915451841313226	0.924	-0.00858698997230819	0.81807854605967	c.p
T2	C1	scale-0	ps-0.3	0.596185424669127	0.440037171789057	0.359	0.0629530810774038	0.0914212248894478	nc
T2	C1	scale-0	ps-0.3	0.183173696756705	0.668659883726944	0.662	-0.0345497918584894	0.354584334990171	c-Tm
T2	C1	scale-0	ps-0.3	0.183173696756705	0.668659883726944	0.667	-0.0345497918584894	0.354584334990171	c.p-Tm
T2	C1	scale-0	ps-0.3	0.238499159586609	0.62529220831202	0.565	-0.0392028812874342	0.293488373664644	nc-Tm
T3	C1	scale-0	ps-0.3	0.464514297610008	0.495521732883339	0.407	0.0561452700961228	0.132296969487657	c
T3	C1	scale-0	ps-0.3	0.464514297610008	0.495521732883339	0.425	0.0561452700961228	0.132296969487657	c.p
T3	C1	scale-0	ps-0.3	4.75142815783716	0.0292739890261847	0.048	0.171787602875576	3.55142628976696e-06	nc
T3	C1	scale-0	ps-0.3	0.219094201907237	0.639730959404068	0.6	0.0385922979961973	0.301077248645605	c-Tm
T3	C1	scale-0	ps-0.3	0.219094201907237	0.639730959404068	0.575	0.0385922979961973	0.301077248645605	c.p-Tm
T3	C1	scale-0	ps-0.3	2.74492392720322	0.0975637203243944	0.152	0.131165154238102	0.000417652101633403	nc-Tm
T4	C1	scale-0	ps-0.3	1.70166227692691	0.192070730958584	0.201	0.100627254967476	0.00688651242662376	c
T4	C1	scale-0	ps-0.3	1.70166227692691	0.192070730958584	0.208	0.100627254967476	0.00688651242662376	c.p
T4	C1	scale-0	ps-0.3	0.208532235535977	0.647920262984253	0.65	0.0362879984638472	0.330882616602613	nc
T4	C1	scale-0	ps-0.3	0.993652664481336	0.318851267103303	0.343	0.0769431603420092	0.0390106053395315	c-Tm
T4	C1	scale-0	ps-0.3	0.993652664481336	0.318851267103303	0.349	0.0769431603420092	0.0390106053395315	c.p-Tm
T4	C1	scale-0	ps-0.3	0.108910427844138	0.741388024112653	0.731	-0.0265709812014672	0.476550769772733	nc-Tm
T5	C1	scale-0	ps-0.3	1.03769396734108	0.308358401215029	0.328	0.0800204780302834	0.0318022273774606	c
T5	C1	scale-0	ps-0.3	1.03769396734108	0.308358401215029	0.342	0.0800204780302834	0.0318022273774606	c.p
T5	C1	scale-0	ps-0.3	7.08442928923613	0.00777565786902821	0.007	0.204623808150927	3.02793865347082e-08	nc
T5	C1	scale-0	ps-0.3	0.381112059931516	0.537008680831158	0.583	0.0486087262862341	0.192638627234307	c-Tm
T5	C1	scale-0	ps-0.3	0.381112059931516	0.537008680831158	0.582	0.0486087262862341	0.192638627234307	c.p-Tm
T5	C1	scale-0	ps-0.3	0.951423257164233	0.32935728387362	0.317	0.0760892125961321	0.0412408875342871	nc-Tm
T6	C1	scale-0	ps-0.3	0.838119293430109	0.359935208352748	0.382	0.0703844975141036	0.0590696861203584	c
T6	C1	scale-0	ps-0.3	0.838119293430109	0.359935208352748	0.375	0.0703844975141036	0.0590696861203584	c.p
T6	C1	scale-0	ps-0.3	0.0387530129600144	0.843938779292324	0.833	-0.0151795079708383	0.684283676076359	nc
T6	C1	scale-0	ps-0.3	0.243268317610545	0.621855465165631	0.647	0.0379824704458011	0.308785805254635	c-Tm
T6	C1	scale-0	ps-0.3	0.243268317610545	0.621855465165631	0.647	0.0379824704458011	0.308785805254635	c.p-Tm
T6	C1	scale-0	ps-0.3	2.31972776327706	0.127742381068662	0.093	-0.117487785045902	0.00158858942552348	nc-Tm
T7	C1	scale-0	ps-0.3	0.179309082646128	0.671967677502836	0.679	-0.0327726980120173	0.379893947286168	c
T7	C1	scale-0	ps-0.3	0.179309082646128	0.671967677502836	0.651	-0.0327726980120173	0.379893947286168	c.p
T7	C1	scale-0	ps-0.3	6.36612486466037	0.01163193341555	0.011	0.191954616548402	2.10212281006395e-07	nc
T7	C1	scale-0	ps-0.3	0.734778934737079	0.391338521977876	0.424	-0.0662395470223232	0.0756906536699752	c-Tm
T7	C1	scale-0	ps-0.3	0.734778934737079	0.391338521977876	0.418	-0.0662395470223232	0.0756906536699752	c.p-Tm
T7	C1	scale-0	ps-0.3	1.61905897993785	0.203223049321486	0.252	0.0972236083783483	0.00904266356845425	nc-Tm
T8	C1	scale-0	ps-0.3	4.01767148971941	0.0450258374863839	0.072	0.157050272290232	2.30518268787437e-05	c
T8	C1	scale-0	ps-0.3	4.01767148971941	0.0450258374863839	0.055	0.157050272290232	2.30518268787437e-05	c.p
T8	C1	scale-0	ps-0.3	0.342579365215915	0.558344133900649	0.526	0.0454518072246451	0.223181992068208	nc
T8	C1	scale-0	ps-0.3	2.56765088904207	0.10906958943899	0.143	0.126120476786487	0.000694249222564937	c-Tm
T8	C1	scale-0	ps-0.3	2.56765088904207	0.10906958943899	0.153	0.126120476786487	0.000694249222564937	c.p-Tm
T8	C1	scale-0	ps-0.3	0.241553161175563	0.623086583655887	0.606	-0.038160794676393	0.306518336392702	nc-Tm
T9	C1	scale-0	ps-0.3	0.30987721984927	0.577755537912107	0.633	-0.0429877845752132	0.24931626994261	c
T9	C1	scale-0	ps-0.3	0.30987721984927	0.577755537912107	0.585	-0.0429877845752132	0.24931626994261	c.p
T9	C1	scale-0	ps-0.3	1.06869788830643	0.301239747286352	0.256	0.0853452436012919	0.0220065936764405	nc
T9	C1	scale-0	ps-0.3	0.879369755788046	0.348374356310701	0.407	-0.0722309298430826	0.0527059052710386	c-Tm
T9	C1	scale-0	ps-0.3	0.879369755788046	0.348374356310701	0.378	-0.0722309298430826	0.0527059052710386	c.p-Tm
