rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C1	scale-0	env-0.0	0.530091864087127	0.466568240479923	0.452	-0.059453375295612	0.110949525030853	c
T1	C1	scale-0	env-0.0	0.530091864087127	0.466568240479923	0.441	-0.059453375295612	0.110949525030853	c.p
T1	C1	scale-0	env-0.0	0.093440115833333	0.759848485107829	0.744	0.0249191549930236	0.504393438869387	nc
T1	C1	scale-0	env-0.0	0.280615995225197	0.596297755657162	0.611	-0.0432989209456268	0.245903281138361	c-Tm
T1	C1	scale-0	env-0.0	0.280615995225197	0.596297755657162	0.566	-0.0432989209456268	0.245903281138361	c.p-Tm
T1	C1	scale-0	env-0.0	0.76562688539472	0.381573319498736	0.362	0.0707561630445707	0.0577399384726947	nc-Tm
T2	C1	scale-0	env-0.0	1.19765733804346	0.273790404148289	0.275	-0.0855969482093525	0.0216168615544724	c
T2	C1	scale-0	env-0.0	1.19765733804346	0.273790404148289	0.293	-0.0855969482093525	0.0216168615544724	c.p
T2	C1	scale-0	env-0.0	1.70586356993092	0.191522931885288	0.189	-0.100315894718386	0.00706257792761324	nc
T2	C1	scale-0	env-0.0	1.20994369383519	0.271343273470913	0.3	-0.0860481374479864	0.0209332448484509	c-Tm
T2	C1	scale-0	env-0.0	1.20994369383519	0.271343273470913	0.266	-0.0860481374479864	0.0209332448484509	c.p-Tm
T2	C1	scale-0	env-0.0	2.33263173544472	0.126687532416699	0.125	-0.116249602023506	0.00178117483377679	nc-Tm
T3	C1	scale-0	env-0.0	0.65229500597634	0.419293348188895	0.336	0.0647047865747771	0.0827384351466449	c
T3	C1	scale-0	env-0.0	0.65229500597634	0.419293348188895	0.341	0.0647047865747771	0.0827384351466449	c.p
T3	C1	scale-0	env-0.0	1.14406034685003	0.284795987802289	0.318	-0.0873762089566177	0.0190290035109567	nc
T3	C1	scale-0	env-0.0	0.807394658408597	0.36889164350549	0.292	0.0719415564821422	0.0536637147338948	c-Tm
T3	C1	scale-0	env-0.0	0.807394658408597	0.36889164350549	0.292	0.0719415564821422	0.0536637147338948	c.p-Tm
T3	C1	scale-0	env-0.0	0.33156442326007	0.564739347821222	0.57	-0.0470676531096202	0.20714227803099	nc-Tm
T4	C1	scale-0	env-0.0	0.66830500053183	0.413643185830247	0.378	0.0628382415084134	0.0920150733246992	c
T4	C1	scale-0	env-0.0	0.66830500053183	0.413643185830247	0.388	0.0628382415084134	0.0920150733246992	c.p
T4	C1	scale-0	env-0.0	0.271205093341047	0.602524528821732	0.553	0.0422762691580363	0.25724496344905	nc
T4	C1	scale-0	env-0.0	0.537928921766969	0.463292318028543	0.471	0.0564005404132253	0.130544177960484	c-Tm
T4	C1	scale-0	env-0.0	0.537928921766969	0.463292318028543	0.468	0.0564005404132253	0.130544177960484	c.p-Tm
T4	C1	scale-0	env-0.0	0.0609820565601707	0.804950439298001	0.777	0.020011230474091	0.591904383751678	nc-Tm
T5	C1	scale-0	env-0.0	0.378301053587243	0.538513889046428	0.542	-0.0496409049080442	0.183349882673231	c
T5	C1	scale-0	env-0.0	0.378301053587243	0.538513889046428	0.553	-0.0496409049080442	0.183349882673231	c.p
T5	C1	scale-0	env-0.0	2.56271730979264	0.109410382310142	0.117	-0.127337360085037	0.000615174484392288	nc
