rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C1	stratD-0	env-0.0	0.593065968048085	0.441235970911303	0.45	-0.0603600439270673	0.105599777630856	c
T1	C1	stratD-0	env-0.0	0.593065968048085	0.441235970911303	0.44	-0.0603600439270673	0.105599777630856	c.p
T1	C1	stratD-0	env-0.0	0.746192437008063	0.387684411754771	0.401	-0.0700827192979749	0.0601679618652879	nc
T1	C1	stratD-0	env-0.0	0.589892585217869	0.442460658352151	0.445	-0.0602172342229414	0.106428602532722	c-Tm
T1	C1	stratD-0	env-0.0	0.589892585217869	0.442460658352151	0.455	-0.0602172342229414	0.106428602532722	c.p-Tm
T1	C1	stratD-0	env-0.0	0.68561757437456	0.407659018199317	0.427	-0.0668228245402002	0.0731438045343641	nc-Tm
T2	C1	stratD-0	env-0.0	0.00150531513497136	0.969051127760911	0.97	0.00312790755625289	0.933227419897785	c
T2	C1	stratD-0	env-0.0	0.00150531513497136	0.969051127760911	0.977	0.00312790755625289	0.933227419897785	c.p
T2	C1	stratD-0	env-0.0	0.340332211910187	0.55963752566145	0.596	-0.0480815232132551	0.197514095333847	nc
T2	C1	stratD-0	env-0.0	0.00207444610600631	0.963672040308192	0.971	0.00367163043532269	0.921654903874101	c-Tm
T2	C1	stratD-0	env-0.0	0.00207444610600631	0.963672040308192	0.962	0.00367163043532269	0.921654903874101	c.p-Tm
T2	C1	stratD-0	env-0.0	0.276320697861308	0.599122965184139	0.594	-0.042659653517069	0.252951329689573	nc-Tm
T3	C1	stratD-0	env-0.0	1.90710985945146	0.167284653846168	0.177	0.10851704466245	0.0035526472940127	c
T3	C1	stratD-0	env-0.0	1.90710985945146	0.167284653846168	0.178	0.10851704466245	0.0035526472940127	c.p
T3	C1	stratD-0	env-0.0	0.47022401541549	0.492884129037022	0.547	0.0545515548189087	0.143654223784282	nc
T3	C1	stratD-0	env-0.0	1.89127599464614	0.169058072302651	0.152	0.108065850054087	0.0036939563828262	c-Tm
T3	C1	stratD-0	env-0.0	1.89127599464614	0.169058072302651	0.195	0.108065850054087	0.0036939563828262	c.p-Tm
T3	C1	stratD-0	env-0.0	0.452786740456308	0.501014538040786	0.533	0.0542883992187631	0.145599269700813	nc-Tm
T4	C1	stratD-0	env-0.0	2.61613037570111	0.105782122245449	0.173	-0.130972023965626	0.000425999594548998	c
T4	C1	stratD-0	env-0.0	2.61613037570111	0.105782122245449	0.173	-0.130972023965626	0.000425999594548998	c.p
T4	C1	stratD-0	env-0.0	2.88642033822095	0.0893292018661893	0.052	-0.129017797336457	0.00051966465490389	nc
T4	C1	stratD-0	env-0.0	2.60396973024096	0.106596411274025	0.176	-0.130635998631128	0.00044089489813291	c-Tm
T4	C1	stratD-0	env-0.0	2.60396973024096	0.106596411274025	0.154	-0.130635998631128	0.00044089489813291	c.p-Tm
T4	C1	stratD-0	env-0.0	2.64442686686615	0.103913627093863	0.073	-0.123891524735049	0.000864025227743148	nc-Tm
T5	C1	stratD-0	env-0.0	0.935583461323293	0.333416256618708	0.394	0.0787919642890344	0.0345303101972988	c
T5	C1	stratD-0	env-0.0	0.935583461323293	0.333416256618708	0.421	0.0787919642890344	0.0345303101972988	c.p
T5	C1	stratD-0	env-0.0	0.951236121324066	0.329404852750282	0.339	-0.0773522100986717	0.0379790216934074	nc
T5	C1	stratD-0	env-0.0	0.970842120631924	0.324470246227531	0.395	0.0804190873384213	0.0309576442631506	c-Tm
T5	C1	stratD-0	env-0.0	0.970842120631924	0.324470246227531	0.416	0.0804190873384213	0.0309576442631506	c.p-Tm
T5	C1	stratD-0	env-0.0	0.65183853241895	0.419456122238077	0.432	-0.0632898787336541	0.0896973192583508	nc-Tm
T6	C1	stratD-0	env-0.0	0.928770145375861	0.335182706066198	0.307	0.076296512594853	0.0406897997653204	c
T6	C1	stratD-0	env-0.0	0.928770145375861	0.335182706066198	0.308	0.076296512594853	0.0406897997653204	c.p
T6	C1	stratD-0	env-0.0	0.00133031731586271	0.970904796409517	0.971	-0.00297804375393749	0.936419680706129	nc
T6	C1	stratD-0	env-0.0	0.927378896085289	0.335544944755187	0.312	0.0761987595701333	0.0409488861091499	c-Tm
T6	C1	stratD-0	env-0.0	0.927378896085289	0.335544944755187	0.292	0.0761987595701333	0.0409488861091499	c.p-Tm
T6	C1	stratD-0	env-0.0	0.0499711530917165	0.823113477115445	0.828	-0.0182288546259505	0.625321634768966	nc-Tm
T7	C1	stratD-0	env-0.0	0.807994243408055	0.368713918446575	0.381	0.0708589716415187	0.0573765248583443	c
T7	C1	stratD-0	env-0.0	0.807994243408055	0.368713918446575	0.363	0.0708589716415187	0.0573765248583443	c.p
T7	C1	stratD-0	env-0.0	2.99236155659243	0.0836580840142565	0.096	0.13909510414457	0.000181082494987362	nc
T7	C1	stratD-0	env-0.0	0.80025942720647	0.371015816375188	0.402	0.0705832768909976	0.0583553704146832	c-Tm
T7	C1	stratD-0	env-0.0	0.80025942720647	0.371015816375188	0.378	0.0705832768909976	0.0583553704146832	c.p-Tm
T7	C1	stratD-0	env-0.0	2.56529944382483	0.109231872597747	0.119	0.129492189473295	0.000495312357464471	nc-Tm
T8	C1	stratD-0	env-0.0	0.397535114206216	0.5283649798136	0.504	-0.0498113159683677	0.181848725441871	c
