rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C1	cell-0	env-0.0	0.284798252646959	0.59357338002366	0.623	-0.0435891880990753	0.242748812765881	c
T1	C1	cell-0	env-0.0	0.284798252646959	0.59357338002366	0.595	-0.0435891880990753	0.242748812765881	c.p
T1	C1	cell-0	env-0.0	0.344873589763833	0.557029511569654	0.513	-0.0477819280275192	0.200324533490244	nc
T1	C1	cell-0	env-0.0	0.287943485610315	0.591541416928474	0.615	-0.0438009399239671	0.240465591035633	c-Tm
T1	C1	cell-0	env-0.0	0.287943485610315	0.591541416928474	0.634	-0.0438009399239671	0.240465591035633	c.p-Tm
T1	C1	cell-0	env-0.0	0.195109511699389	0.658697607983291	0.625	-0.0356212133926261	0.339851028935412	nc-Tm
T2	C1	cell-0	env-0.0	1.99206968560216	0.158124643679314	0.088	0.107492511648924	0.00388087024093987	c
T2	C1	cell-0	env-0.0	1.99206968560216	0.158124643679314	0.082	0.107492511648924	0.00388087024093987	c.p
T2	C1	cell-0	env-0.0	0.241823646681258	0.622892072637885	0.617	-0.0400586928586436	0.283068902083303	nc
T2	C1	cell-0	env-0.0	2.04439542283396	0.152767664333769	0.092	0.108874533925018	0.00344419012304955	c-Tm
T2	C1	cell-0	env-0.0	2.04439542283396	0.152767664333769	0.069	0.108874533925018	0.00344419012304955	c.p-Tm
T2	C1	cell-0	env-0.0	0.0230783292249149	0.87925355677668	0.865	-0.0125774611383488	0.736180497049553	nc-Tm
T3	C1	cell-0	env-0.0	0.0127014764216752	0.910267745523786	0.892	0.0088211949077911	0.813206999797986	c
T3	C1	cell-0	env-0.0	0.0127014764216752	0.910267745523786	0.886	0.0088211949077911	0.813206999797986	c.p
T3	C1	cell-0	env-0.0	0.742150592968579	0.388972836264705	0.391	0.0709387486585223	0.0570958342464638	nc
T3	C1	cell-0	env-0.0	0.0219859196304458	0.882124562809201	0.862	0.011605345610357	0.755896787273096	c-Tm
