rep	case	h2	env	nc	nc_Tm	POP	LAT	LONG
T1	C1	cell-0	env-0.0	-1.3242526	-1.6012901	0	0	0
T1	C1	cell-0	env-0.0	0.2527263	0.0990489	0	0	0
T1	C1	cell-0	env-0.0	1.1764095	0.681639300000001	0	0	0
T1	C1	cell-0	env-0.0	-1.2954925	-1.4461898	0	0	0
T1	C1	cell-0	env-0.0	1.5341018	1.5320468	0	0	0
T1	C1	cell-0	env-0.0	0.7078652	0.5193144	0	0	0
T1	C1	cell-0	env-0.0	1.1963701	0.7945952	0	0	0
T1	C1	cell-0	env-0.0	0.5152739	0.614810400000001	0	0	0
T1	C1	cell-0	env-0.0	0.0617499999999999	0.00576889999999987	0	0	0
T1	C1	cell-0	env-0.0	0.4521881	0.1726948	0	0	0
T1	C1	cell-0	env-0.0	-0.7866778	-0.7413474	0	0	0
T1	C1	cell-0	env-0.0	-0.6729128	-0.4505035	0	0	0
T1	C1	cell-0	env-0.0	1.1475596	1.0949695	0	0	0
T1	C1	cell-0	env-0.0	-0.4641549	-0.6246583	0	0	0
T1	C1	cell-0	env-0.0	2.6683352	2.6056295	0	0	0
T1	C1	cell-0	env-0.0	-0.1014831	-0.1382746	0	0	0
T1	C1	cell-0	env-0.0	-1.5282479	-1.7400724	0	0	0
T1	C1	cell-0	env-0.0	-0.0244185000000006	-0.0919775	0	0	0
T1	C1	cell-0	env-0.0	0.0931405999999997	-0.0805094999999998	0	0	0
T1	C1	cell-0	env-0.0	0.6585945	0.3503117	0	0	0
T1	C1	cell-0	env-0.0	0.7711188	0.303956400000001	1	0	1
T1	C1	cell-0	env-0.0	1.1744373	1.1188356	1	0	1
T1	C1	cell-0	env-0.0	-0.9473477	-0.8731979	1	0	1
T1	C1	cell-0	env-0.0	-0.4799	-0.5429337	1	0	1
T1	C1	cell-0	env-0.0	0.7527495	0.7942773	1	0	1
T1	C1	cell-0	env-0.0	-0.0910351000000002	-0.2950991	1	0	1
T1	C1	cell-0	env-0.0	0.7015873	0.6379609	1	0	1
T1	C1	cell-0	env-0.0	-1.373884	-1.7034833	1	0	1
T1	C1	cell-0	env-0.0	0.0470908999999999	-0.3203297	1	0	1
T1	C1	cell-0	env-0.0	2.7364381	2.3959882	1	0	1
T1	C1	cell-0	env-0.0	0.3439954	0.4256463	1	0	1
T1	C1	cell-0	env-0.0	-0.5471573	-0.771176	1	0	1
