rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C1	random-0	env-0.0	0.031594120883938	0.858921396380428	0.792	-0.0201178938470434	0.589930777393216	c
T1	C1	random-0	env-0.0	0.031594120883938	0.858921396380428	0.85	-0.0201178938470434	0.589930777393216	c.p
T1	C1	random-0	env-0.0	0.49705819404567	0.480795585992812	0.255	-0.0715741443658642	0.0549006823840963	nc
T1	C1	random-0	env-0.0	0.0278168323822202	0.867540174265577	0.846	-0.0188638299482145	0.61332344577885	c-Tm
T1	C1	random-0	env-0.0	0.0278168323822202	0.867540174265577	0.82	-0.0188638299482145	0.61332344577885	c.p-Tm
T1	C1	random-0	env-0.0	0.336707379358709	0.561735978954201	0.382	-0.0587007492848778	0.115550613301571	nc-Tm
T2	C1	random-0	env-0.0	1.01694116503148	0.31324567380527	0.085	0.109556146308319	0.00324569376808288	c
T2	C1	random-0	env-0.0	1.01694116503148	0.31324567380527	0.108	0.109556146308319	0.00324569376808288	c.p
T2	C1	random-0	env-0.0	0.0707317145943868	0.790274369051865	0.711	-0.030441792979615	0.414723918288311	nc
T2	C1	random-0	env-0.0	1.10671597137217	0.292796939164462	0.092	0.114200912389988	0.0021473792067799	c-Tm
T2	C1	random-0	env-0.0	1.10671597137217	0.292796939164462	0.078	0.114200912389988	0.0021473792067799	c.p-Tm
T2	C1	random-0	env-0.0	0.0192208803643239	0.889735115420669	0.859	0.0157034749120449	0.674001723479321	nc-Tm
T3	C1	random-0	env-0.0	1.13543480471793	0.286619047084012	0.072	0.116165554031248	0.00179499378762742	c
T3	C1	random-0	env-0.0	1.13543480471793	0.286619047084012	0.068	0.116165554031248	0.00179499378762742	c.p
T3	C1	random-0	env-0.0	13.4022347487644	0.000251324690734577	0	0.395322448039391	2.39228452915625e-28	nc
T3	C1	random-0	env-0.0	0.00964657934312899	0.92175998265511	0.859	0.0107784604775269	0.772793882985585	c-Tm
T3	C1	random-0	env-0.0	0.00964657934312899	0.92175998265511	0.882	0.0107784604775269	0.772793882985585	c.p-Tm
T3	C1	random-0	env-0.0	4.1117416697983e-06	0.998382096276594	0.997	-0.000236596518442496	0.994943424274775	nc-Tm
T4	C1	random-0	env-0.0	0.644390109390883	0.422125531558074	0.291	-0.0916551424409267	0.0138831481357307	c
T4	C1	random-0	env-0.0	0.644390109390883	0.422125531558074	0.313	-0.0916551424409267	0.0138831481357307	c.p
T4	C1	random-0	env-0.0	3.14595491304886	0.0761154353321133	0.014	0.190003414103618	2.80157758908927e-07	nc
T4	C1	random-0	env-0.0	1.54099562440202	0.214469669293978	0.131	-0.140955158407249	0.000147873946238873	c-Tm
T4	C1	random-0	env-0.0	1.54099562440202	0.214469669293978	0.105	-0.140955158407249	0.000147873946238873	c.p-Tm
T4	C1	random-0	env-0.0	0.135357576785385	0.712940537382209	0.579	0.0396046161275948	0.288565708135765	nc-Tm
T5	C1	random-0	env-0.0	0.00936203151997979	0.922918902903106	0.894	0.0110426692614218	0.767382748960538	c
T5	C1	random-0	env-0.0	0.00936203151997979	0.922918902903106	0.888	0.0110426692614218	0.767382748960538	c.p
T5	C1	random-0	env-0.0	0.417820344067207	0.518026658729904	0.346	-0.0632011193900427	0.0901490811205523	nc
T5	C1	random-0	env-0.0	0.398327451111602	0.527954297215667	0.36	0.0722453302229051	0.0526586156869202	c-Tm
T5	C1	random-0	env-0.0	0.398327451111602	0.527954297215667	0.381	0.0722453302229051	0.0526586156869202	c.p-Tm
T5	C1	random-0	env-0.0	0.962841705693906	0.326471949076581	0.157	0.0989680836918613	0.00787214081931951	nc-Tm
T6	C1	random-0	env-0.0	0.0236637270225613	0.877743629827747	0.798	0.0171984098765671	0.645003799529358	c
T6	C1	random-0	env-0.0	0.0236637270225613	0.877743629827747	0.827	0.0171984098765671	0.645003799529358	c.p
T6	C1	random-0	env-0.0	11.27975564772	0.000783568694203649	0	-0.315179524744242	4.54505432106087e-18	nc
T6	C1	random-0	env-0.0	0.651687626810263	0.419509954424122	0.222	0.0898476363874086	0.0158846493876623	c-Tm
T6	C1	random-0	env-0.0	0.651687626810263	0.419509954424122	0.228	0.0898476363874086	0.0158846493876623	c.p-Tm
T6	C1	random-0	env-0.0	0.226588761208541	0.634064828261623	0.532	-0.0448510449630256	0.229365972110949	nc-Tm
T7	C1	random-0	env-0.0	0.0294916239166129	0.86364881295977	0.802	0.0199455255673688	0.593121633991822	c
T7	C1	random-0	env-0.0	0.0294916239166129	0.86364881295977	0.811	0.0199455255673688	0.593121633991822	c.p
T7	C1	random-0	env-0.0	3.49736311863053	0.0614666247717518	0.015	0.200557657199938	5.71762876433198e-08	nc
T7	C1	random-0	env-0.0	0.429006826823079	0.512476685974557	0.331	-0.0762283170351545	0.0408703997595862	c-Tm
T7	C1	random-0	env-0.0	0.429006826823079	0.512476685974557	0.33	-0.0762283170351545	0.0408703997595862	c.p-Tm
T7	C1	random-0	env-0.0	0.397109410536194	0.528585866020632	0.382	-0.0673358268096859	0.0709620419776856	nc-Tm
T8	C1	random-0	env-0.0	0.388677002087051	0.532995646556227	0.413	0.0692974388689787	0.063105258750593	c
T8	C1	random-0	env-0.0	0.388677002087051	0.532995646556227	0.413	0.0692974388689787	0.063105258750593	c.p
T8	C1	random-0	env-0.0	10.6981205372614	0.00107244427508583	0	0.338920359062899	8.22546327146041e-21	nc
T8	C1	random-0	env-0.0	0.00361400868149176	0.952062748544735	0.94	-0.00671959636192481	0.857156931595251	c-Tm
T8	C1	random-0	env-0.0	0.00361400868149176	0.952062748544735	0.938	-0.00671959636192481	0.857156931595251	c.p-Tm
T8	C1	random-0	env-0.0	0.278034541536557	0.597992350910047	0.494	0.0584585583812766	0.11706264154747	nc-Tm
T9	C1	random-0	env-0.0	1.06174670529901	0.302817139847466	0.095	0.116402205813117	0.00175633329599969	c
T9	C1	random-0	env-0.0	1.06174670529901	0.302817139847466	0.121	0.116402205813117	0.00175633329599969	c.p
T9	C1	random-0	env-0.0	15.0071525588024	0.000107104462675871	0	0.396725249328209	1.48541246388744e-28	nc
T9	C1	random-0	env-0.0	0.00242243595729245	0.960745368917752	0.934	-0.0056198262509545	0.880342584008828	c-Tm
T9	C1	random-0	env-0.0	0.00242243595729245	0.960745368917752	0.933	-0.0056198262509545	0.880342584008828	c.p-Tm
T9	C1	random-0	env-0.0	0.0124085844948767	0.91130405564559	0.86	-0.0127604546783282	0.732487916957144	nc-Tm
T10	C1	random-0	env-0.0	0.0779255546825816	0.780128569267315	0.71	0.0310457193444458	0.405523446388779	c
T10	C1	random-0	env-0.0	0.0779255546825816	0.780128569267315	0.714	0.0310457193444458	0.405523446388779	c.p
T10	C1	random-0	env-0.0	2.57019224052358	0.108894497878596	0.038	-0.163805004350296	9.98100117904436e-06	nc
T10	C1	random-0	env-0.0	0.114702036366202	0.734853151350665	0.657	0.0376758298633286	0.312710684008328	c-Tm
T10	C1	random-0	env-0.0	0.114702036366202	0.734853151350665	0.643	0.0376758298633286	0.312710684008328	c.p-Tm
T10	C1	random-0	env-0.0	3.00667696972975	0.0829221266651066	0.02	-0.175711181076442	2.09966528357457e-06	nc-Tm
T11	C1	random-0	env-0.0	0.299575661563577	0.58414856519388	0.497	0.0608872532212016	0.102584185381062	c
T11	C1	random-0	env-0.0	0.299575661563577	0.58414856519388	0.504	0.0608872532212016	0.102584185381062	c.p
T11	C1	random-0	env-0.0	0.0229205209436846	0.879663938255991	0.831	-0.0150311204898424	0.687206271353282	nc
T11	C1	random-0	env-0.0	0.371061364512912	0.542426301235931	0.453	0.06774346102825	0.0692666203885377	c-Tm
T11	C1	random-0	env-0.0	0.371061364512912	0.542426301235931	0.469	0.06774346102825	0.0692666203885377	c.p-Tm
T11	C1	random-0	env-0.0	0.0021596531950539	0.962933995753282	0.956	-0.00462513809292024	0.901401968880076	nc-Tm
T12	C1	random-0	env-0.0	0.182576789312288	0.669168077000382	0.55	0.0490689466182639	0.188455258870962	c
T12	C1	random-0	env-0.0	0.182576789312288	0.669168077000382	0.546	0.0490689466182639	0.188455258870962	c.p
T12	C1	random-0	env-0.0	0.236457049414156	0.626776813294496	0.467	0.0483759736078978	0.194780083888836	nc
T12	C1	random-0	env-0.0	0.124044887947459	0.724688225902783	0.641	0.0404475928787031	0.278417728542183	c-Tm
T12	C1	random-0	env-0.0	0.124044887947459	0.724688225902783	0.63	0.0404475928787031	0.278417728542183	c.p-Tm
T12	C1	random-0	env-0.0	0.508643671402028	0.475726590526615	0.364	0.0715764591564944	0.0548928155325175	nc-Tm
T13	C1	random-0	env-0.0	0.0230285452954107	0.879382864798829	0.868	0.0164345176103116	0.659757566820613	c
T13	C1	random-0	env-0.0	0.0230285452954107	0.879382864798829	0.847	0.0164345176103116	0.659757566820613	c.p
T13	C1	random-0	env-0.0	0.0622143299302487	0.803029724307168	0.747	-0.0258386498210923	0.488789978349694	nc
T13	C1	random-0	env-0.0	0.0437438315616154	0.834330939831663	0.787	0.022635168110449	0.544257341265984	c-Tm
T13	C1	random-0	env-0.0	0.0437438315616154	0.834330939831663	0.794	0.022635168110449	0.544257341265984	c.p-Tm
T13	C1	random-0	env-0.0	0.0924361469564074	0.761102647504222	0.686	-0.0313688914280746	0.4006504971792	nc-Tm
T14	C1	random-0	env-0.0	0.206182956725891	0.649775756882542	0.429	0.0495435427390782	0.184211651942857	c
T14	C1	random-0	env-0.0	0.206182956725891	0.649775756882542	0.421	0.0495435427390782	0.184211651942857	c.p
T14	C1	random-0	env-0.0	1.42929753028743	0.231879116115444	0.116	0.125302011882253	0.000752629014982346	nc
T14	C1	random-0	env-0.0	0.169545412150561	0.680516130624581	0.468	0.0449582073293438	0.228254065574382	c-Tm
T14	C1	random-0	env-0.0	0.169545412150561	0.680516130624581	0.488	0.0449582073293438	0.228254065574382	c.p-Tm
T14	C1	random-0	env-0.0	1.37860335273526	0.24033919046317	0.11	0.122767193661372	0.000963545348009722	nc-Tm
T15	C1	random-0	env-0.0	0.198584834329189	0.655865559899558	0.493	0.049386906183247	0.185604342997498	c
T15	C1	random-0	env-0.0	0.198584834329189	0.655865559899558	0.457	0.049386906183247	0.185604342997498	c.p
T15	C1	random-0	env-0.0	0.056392777741084	0.812290921386321	0.693	-0.0238232019393818	0.523328212934887	nc
T15	C1	random-0	env-0.0	0.209884498530005	0.646857947922583	0.465	0.0507570301980998	0.173682935834674	c-Tm
T15	C1	random-0	env-0.0	0.209884498530005	0.646857947922583	0.468	0.0507570301980998	0.173682935834674	c.p-Tm
T15	C1	random-0	env-0.0	0.0967973326850295	0.755707346993855	0.625	-0.031259380746801	0.402297807465396	nc-Tm
T16	C1	random-0	env-0.0	1.02307983710028	0.311789575459817	0.131	0.111518376005711	0.00273094367006888	c
T16	C1	random-0	env-0.0	1.02307983710028	0.311789575459817	0.114	0.111518376005711	0.00273094367006888	c.p
T16	C1	random-0	env-0.0	0.871076627381632	0.350657425044529	0.179	-0.0945274987588355	0.011157839162252	nc
T16	C1	random-0	env-0.0	1.12881232893161	0.288028813088826	0.104	0.117028665097886	0.00165765060904151	c-Tm
T16	C1	random-0	env-0.0	1.12881232893161	0.288028813088826	0.104	0.117028665097886	0.00165765060904151	c.p-Tm
T16	C1	random-0	env-0.0	1.10914100592595	0.292268751009871	0.143	-0.105295643262874	0.00467907449488403	nc-Tm
T17	C1	random-0	env-0.0	0.191016916559297	0.662071591055509	0.547	0.0491509158567972	0.187717234089202	c
T17	C1	random-0	env-0.0	0.191016916559297	0.662071591055509	0.542	0.0491509158567972	0.187717234089202	c.p
T17	C1	random-0	env-0.0	1.45401402281428	0.227884959121542	0.069	-0.123320684618971	0.000913299257244297	nc
T17	C1	random-0	env-0.0	0.257023158702039	0.612172700429535	0.461	0.0569909206245463	0.126559288650991	c-Tm
T17	C1	random-0	env-0.0	0.257023158702039	0.612172700429535	0.489	0.0569909206245463	0.126559288650991	c.p-Tm
T17	C1	random-0	env-0.0	0.818905863867831	0.365500259821169	0.195	-0.0937516477974415	0.0118427729741663	nc-Tm
T18	C1	random-0	env-0.0	0.000611064447884814	0.980278527359221	0.975	-0.00304797183685439	0.934930006966023	c
T18	C1	random-0	env-0.0	0.000611064447884814	0.980278527359221	0.976	-0.00304797183685439	0.934930006966023	c.p
T18	C1	random-0	env-0.0	4.42695980891084e-06	0.998321224855136	0.993	-0.000226664092318657	0.995155698892463	nc
T18	C1	random-0	env-0.0	7.66259150474161e-05	0.993015708579986	0.993	0.0010796456700939	0.976928708434709	c-Tm
T18	C1	random-0	env-0.0	7.66259150474161e-05	0.993015708579986	0.992	0.0010796456700939	0.976928708434709	c.p-Tm
T18	C1	random-0	env-0.0	0.0430066261176473	0.835712796297494	0.755	-0.0222822691687956	0.5505532542787	nc-Tm
T19	C1	random-0	env-0.0	0.0141102981246882	0.905444285816291	0.886	-0.0133376426756069	0.720881772333152	c
T19	C1	random-0	env-0.0	0.0141102981246882	0.905444285816291	0.897	-0.0133376426756069	0.720881772333152	c.p
T19	C1	random-0	env-0.0	0.060418446551346	0.805835786958417	0.706	-0.0266786458034819	0.474765639543307	nc
T19	C1	random-0	env-0.0	0.0149390809047379	0.902720405683193	0.874	-0.0137338442130824	0.712951705651937	c-Tm
T19	C1	random-0	env-0.0	0.0149390809047379	0.902720405683193	0.853	-0.0137338442130824	0.712951705651937	c.p-Tm
T19	C1	random-0	env-0.0	0.00423277788610607	0.948126385643168	0.924	-0.00689105621763825	0.853552702046456	nc-Tm
T20	C1	random-0	env-0.0	0.0850898643609985	0.770514732149039	0.655	0.0330599494633531	0.375729432852685	c
T20	C1	random-0	env-0.0	0.0850898643609985	0.770514732149039	0.645	0.0330599494633531	0.375729432852685	c.p
T20	C1	random-0	env-0.0	2.25803474038651	0.13292265064536	0.035	0.160848434843391	1.44581370467957e-05	nc
T20	C1	random-0	env-0.0	0.114927734180932	0.734602247894914	0.609	0.0384066256517854	0.30341058522124	c-Tm
T20	C1	random-0	env-0.0	0.114927734180932	0.734602247894914	0.604	0.0384066256517854	0.30341058522124	c.p-Tm
T20	C1	random-0	env-0.0	2.42615396261976	0.119325342163504	0.026	0.168047920814761	5.79749169998343e-06	nc-Tm
T21	C1	random-0	env-0.0	0.306539275960169	0.579811629082717	0.461	-0.062718212923246	0.0926390559116466	c
