rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C1	seed_deme-0	env-0.0	0.486325883411136	0.485570837488245	0.5	-0.0569654110880887	0.126729494031725	c
T1	C1	seed_deme-0	env-0.0	0.486325883411136	0.485570837488245	0.498	-0.0569654110880887	0.126729494031725	c.p
T1	C1	seed_deme-0	env-0.0	0.000400545694636096	0.984032493420511	0.988	0.00163069046865861	0.965159465872794	nc
T1	C1	seed_deme-0	env-0.0	0.267518581483348	0.605001206833005	0.606	-0.0422858711170807	0.257136815841749	c-Tm
T1	C1	seed_deme-0	env-0.0	0.267518581483348	0.605001206833005	0.593	-0.0422858711170807	0.257136815841749	c.p-Tm
T1	C1	seed_deme-0	env-0.0	0.811607721585688	0.367645353856378	0.335	0.0728760087211346	0.0506219751291318	nc-Tm
T2	C1	seed_deme-0	env-0.0	1.20470338049966	0.272383646532422	0.269	-0.0858458712841959	0.0212373469700421	c
T2	C1	seed_deme-0	env-0.0	1.20470338049966	0.272383646532422	0.307	-0.0858458712841959	0.0212373469700421	c.p
T2	C1	seed_deme-0	env-0.0	1.84691318374276	0.174142836585949	0.161	-0.104244661826545	0.0051110590536307	nc
T2	C1	seed_deme-0	env-0.0	1.31077990812449	0.252253497299612	0.227	-0.0895476417418496	0.0162402735879827	c-Tm
T2	C1	seed_deme-0	env-0.0	1.31077990812449	0.252253497299612	0.254	-0.0895476417418496	0.0162402735879827	c.p-Tm
T2	C1	seed_deme-0	env-0.0	2.08364333516691	0.148884442002211	0.133	-0.110774087789168	0.00291672395172041	nc-Tm
T3	C1	seed_deme-0	env-0.0	0.638076050868984	0.424408346854206	0.348	0.0640565998841402	0.0858701947733437	c
T3	C1	seed_deme-0	env-0.0	0.638076050868984	0.424408346854206	0.343	0.0640565998841402	0.0858701947733437	c.p
T3	C1	seed_deme-0	env-0.0	2.01562729181768	0.155686914226359	0.175	-0.116264298555135	0.00177876851595023	nc
T3	C1	seed_deme-0	env-0.0	0.801853134198398	0.370539889793872	0.296	0.0717603801466789	0.0542707485032749	c-Tm
T3	C1	seed_deme-0	env-0.0	0.801853134198398	0.370539889793872	0.282	0.0717603801466789	0.0542707485032749	c.p-Tm
T3	C1	seed_deme-0	env-0.0	1.05566239823697	0.304206580365021	0.331	-0.0842104644176246	0.0238403300204452	nc-Tm
T4	C1	seed_deme-0	env-0.0	0.620934240927716	0.430700327970858	0.42	0.0605343905424281	0.104594858447386	c
T4	C1	seed_deme-0	env-0.0	0.620934240927716	0.430700327970858	0.415	0.0605343905424281	0.104594858447386	c.p
T4	C1	seed_deme-0	env-0.0	0.00122538465164659	0.972075359509006	0.973	0.00283378716734228	0.939493466082484	nc
T4	C1	seed_deme-0	env-0.0	0.528747918213385	0.467133736788993	0.469	0.0558825016948456	0.134120190871729	c-Tm
T4	C1	seed_deme-0	env-0.0	0.528747918213385	0.467133736788993	0.456	0.0558825016948456	0.134120190871729	c.p-Tm
T4	C1	seed_deme-0	env-0.0	0.0336463606797431	0.854461075337396	0.853	0.0148131588634262	0.691507638727629	nc-Tm
T5	C1	seed_deme-0	env-0.0	0.52042603572608	0.47066000385325	0.455	-0.0581945181351124	0.118728694756756	c
T5	C1	seed_deme-0	env-0.0	0.52042603572608	0.47066000385325	0.491	-0.0581945181351124	0.118728694756756	c.p
T5	C1	seed_deme-0	env-0.0	3.07834253334779	0.0793413433833513	0.082	-0.138250057725724	0.000198376229681994	nc
T5	C1	seed_deme-0	env-0.0	0.38160431978638	0.536745879780544	0.549	-0.049821692826916	0.181757610092787	c-Tm
T5	C1	seed_deme-0	env-0.0	0.38160431978638	0.536745879780544	0.552	-0.049821692826916	0.181757610092787	c.p-Tm
T5	C1	seed_deme-0	env-0.0	2.55755584108034	0.109768170065735	0.126	-0.12597128776387	0.000704567345131231	nc-Tm
T6	C1	seed_deme-0	env-0.0	0.445170943600776	0.504637162363193	0.5	0.0524071187944073	0.160094839799358	c
T6	C1	seed_deme-0	env-0.0	0.445170943600776	0.504637162363193	0.476	0.0524071187944073	0.160094839799358	c.p
T6	C1	seed_deme-0	env-0.0	0.67909216931246	0.409899507703005	0.456	-0.0672914299020431	0.0711487295338966	nc
T6	C1	seed_deme-0	env-0.0	0.582871590591157	0.445188945238125	0.422	0.0599590147455214	0.107940288109489	c-Tm
T6	C1	seed_deme-0	env-0.0	0.582871590591157	0.445188945238125	0.465	0.0599590147455214	0.107940288109489	c.p-Tm
T6	C1	seed_deme-0	env-0.0	0.203334103291332	0.652043007055115	0.7	-0.0368084912804851	0.323989048286981	nc-Tm
T7	C1	seed_deme-0	env-0.0	0.00399824609790412	0.949582013580559	0.949	0.00497365926182195	0.89401447154401	c
