rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C1	h2-0	env-0.0	0.0593363631359121	0.807547936616631	0.811	-0.0195216831651723	0.601001099043601	c
T1	C1	h2-0	env-0.0	0.0593363631359121	0.807547936616631	0.824	-0.0195216831651723	0.601001099043601	c.p
T1	C1	h2-0	env-0.0	1.33772747292257	0.247435130847396	0.225	-0.0818135454087341	0.0281525245101485	nc
T1	C1	h2-0	env-0.0	0.0472935495099598	0.827841459511205	0.856	-0.0174159580590914	0.640827154416512	c-Tm
T1	C1	h2-0	env-0.0	0.0472935495099598	0.827841459511205	0.838	-0.0174159580590914	0.640827154416512	c.p-Tm
T1	C1	h2-0	env-0.0	0.375848525107955	0.539833452782914	0.498	-0.0436161938094006	0.242456779396107	nc-Tm
T2	C1	h2-0	env-0.0	2.38703167757475	0.122345740653925	0.05	0.118386939648519	0.00146093640299776	c
T2	C1	h2-0	env-0.0	2.38703167757475	0.122345740653925	0.064	0.118386939648519	0.00146093640299776	c.p
T2	C1	h2-0	env-0.0	0.00233266899704278	0.961478977883177	0.965	-0.00388139835560598	0.917194521091471	nc
T2	C1	h2-0	env-0.0	2.41657936732402	0.120056831654382	0.058	0.119109800193245	0.00136522807335733	c-Tm
T2	C1	h2-0	env-0.0	2.41657936732402	0.120056831654382	0.052	0.119109800193245	0.00136522807335733	c.p-Tm
T2	C1	h2-0	env-0.0	0.00168074347279781	0.967298389948266	0.96	-0.00329363340140662	0.929698529875496	nc-Tm
T3	C1	h2-0	env-0.0	0.00343601055814048	0.953256776748327	0.948	0.0045703308313018	0.902564494238268	c
T3	C1	h2-0	env-0.0	0.00343601055814048	0.953256776748327	0.939	0.0045703308313018	0.902564494238268	c.p
T3	C1	h2-0	env-0.0	0.135834680075692	0.712457528973218	0.696	-0.0311009956926638	0.404687465983805	nc
T3	C1	h2-0	env-0.0	0.0143540902313842	0.904634803595295	0.888	0.00934060914983713	0.802428954588799	c-Tm
T3	C1	h2-0	env-0.0	0.0143540902313842	0.904634803595295	0.885	0.00934060914983713	0.802428954588799	c.p-Tm
T3	C1	h2-0	env-0.0	0.0310759233969063	0.860071110440117	0.857	-0.0148169284126015	0.691433163525359	nc-Tm
T4	C1	h2-0	env-0.0	3.41452924826624	0.0646248431522927	0.105	-0.148584349387972	6.27441713010798e-05	c
T4	C1	h2-0	env-0.0	3.41452924826624	0.0646248431522927	0.108	-0.148584349387972	6.27441713010798e-05	c.p
T4	C1	h2-0	env-0.0	0.001614628364076	0.967947678366052	0.971	-0.00311700688982129	0.933459580351469	nc
T4	C1	h2-0	env-0.0	3.25079895687314	0.0713886520789497	0.108	-0.14503332311596	9.40079889194741e-05	c-Tm
T4	C1	h2-0	env-0.0	3.25079895687314	0.0713886520789497	0.117	-0.14503332311596	9.40079889194741e-05	c.p-Tm
T4	C1	h2-0	env-0.0	0.00610250274815118	0.937733777514728	0.928	0.00607245250796686	0.870786623976399	nc-Tm
T5	C1	h2-0	env-0.0	0.357747665442484	0.549759793094891	0.568	0.0481763666650021	0.19663041834412	c
T5	C1	h2-0	env-0.0	0.357747665442484	0.549759793094891	0.554	0.0481763666650021	0.19663041834412	c.p
T5	C1	h2-0	env-0.0	0.169657105206779	0.680416729049508	0.695	0.0292581550029624	0.433109101466654	nc
T5	C1	h2-0	env-0.0	0.609681559306192	0.434907733880858	0.468	0.0629815253814974	0.0912746122016936	c-Tm
T5	C1	h2-0	env-0.0	0.609681559306192	0.434907733880858	0.455	0.0629815253814974	0.0912746122016936	c.p-Tm
T5	C1	h2-0	env-0.0	0.40524350239274	0.524393642505015	0.542	0.0454026405095595	0.223683574677149	nc-Tm
T6	C1	h2-0	env-0.0	1.42004396764229	0.233396166352981	0.188	0.093384117151599	0.0121800319492489	c
T6	C1	h2-0	env-0.0	1.42004396764229	0.233396166352981	0.202	0.093384117151599	0.0121800319492489	c.p
T6	C1	h2-0	env-0.0	0.326323646931369	0.56783191909842	0.566	-0.03873296308942	0.299317478078595	nc
T6	C1	h2-0	env-0.0	1.54044337572769	0.214551821640858	0.184	0.0972036947398659	0.0090568762556417	c-Tm
T6	C1	h2-0	env-0.0	1.54044337572769	0.214551821640858	0.205	0.0972036947398659	0.0090568762556417	c.p-Tm
T6	C1	h2-0	env-0.0	0.473749728778461	0.491267156988378	0.503	-0.0467131299902354	0.210587923694997	nc-Tm
T7	C1	h2-0	env-0.0	0.786342142213178	0.375208478164178	0.35	-0.0728296042822336	0.0507695497533317	c
T7	C1	h2-0	env-0.0	0.786342142213178	0.375208478164178	0.33	-0.0728296042822336	0.0507695497533317	c.p
T7	C1	h2-0	env-0.0	0.588467401924922	0.443012377558115	0.461	-0.0589580072807459	0.113961346645034	nc
T7	C1	h2-0	env-0.0	0.926114334908944	0.335874652374331	0.296	-0.0789931974352368	0.0340702329396283	c-Tm
T7	C1	h2-0	env-0.0	0.926114334908944	0.335874652374331	0.277	-0.0789931974352368	0.0340702329396283	c.p-Tm
T7	C1	h2-0	env-0.0	0.966013264004032	0.325676475979931	0.341	-0.0760636578088593	0.0413092573514292	nc-Tm
T8	C1	h2-0	env-0.0	0.00240062268588995	0.960922364346747	0.963	-0.00388992043895641	0.917013366488571	c
T8	C1	h2-0	env-0.0	0.00240062268588995	0.960922364346747	0.969	-0.00388992043895641	0.917013366488571	c.p
T8	C1	h2-0	env-0.0	1.87848757624968	0.170506144162271	0.187	0.106538494009766	0.00421096827636232	nc
T8	C1	h2-0	env-0.0	0.0130619437477778	0.909008812277954	0.909	-0.00907501680265822	0.807935550861837	c-Tm
T8	C1	h2-0	env-0.0	0.0130619437477778	0.909008812277954	0.924	-0.00907501680265822	0.807935550861837	c.p-Tm
T8	C1	h2-0	env-0.0	1.03479332393064	0.309035506552285	0.374	0.0790205692449289	0.0340080588753198	nc-Tm
T9	C1	h2-0	env-0.0	0.0820920689669373	0.774482071069519	0.753	-0.0231687037653088	0.534807095319479	c
T9	C1	h2-0	env-0.0	0.0820920689669373	0.774482071069519	0.762	-0.0231687037653088	0.534807095319479	c.p
T9	C1	h2-0	env-0.0	1.3831538637427	0.239564659327144	0.272	-0.094943435470583	0.010805296902807	nc
T9	C1	h2-0	env-0.0	0.032279926023421	0.857414668099599	0.845	-0.0145326006901825	0.697058958715062	c-Tm
T9	C1	h2-0	env-0.0	0.032279926023421	0.857414668099599	0.851	-0.0145326006901825	0.697058958715062	c.p-Tm
T9	C1	h2-0	env-0.0	1.42982111614443	0.231793634637244	0.264	-0.0969164784946036	0.00926409232773385	nc-Tm
T10	C1	h2-0	env-0.0	0.153777440379994	0.694951325172108	0.724	0.0308583431122237	0.4083649110991	c
T10	C1	h2-0	env-0.0	0.153777440379994	0.694951325172108	0.726	0.0308583431122237	0.4083649110991	c.p
T10	C1	h2-0	env-0.0	9.41026026783743	0.00215774596763026	0.004	-0.221719156142815	1.80977108401468e-09	nc
T10	C1	h2-0	env-0.0	0.22634036618865	0.634250769914251	0.69	0.0374466313266491	0.315665655671762	c-Tm
T10	C1	h2-0	env-0.0	0.22634036618865	0.634250769914251	0.638	0.0374466313266491	0.315665655671762	c.p-Tm
T10	C1	h2-0	env-0.0	10.5282206768784	0.00117565348725193	0.001	-0.232494603027239	2.71264212753147e-10	nc-Tm
T11	C1	h2-0	env-0.0	0.453202992021185	0.500817816129472	0.562	0.0529221271342204	0.156022507160039	c
T11	C1	h2-0	env-0.0	0.453202992021185	0.500817816129472	0.582	0.0529221271342204	0.156022507160039	c.p
T11	C1	h2-0	env-0.0	0.0212988428475169	0.883967782552434	0.869	-0.010438734369414	0.779767849177819	nc
