rep	case	h2	env	Qx	P-Chi	P-EN	Ax	P-Ax	type
T1	C1	h2-0	env-0.0	1.74369755602247	0.186671003124479	0.164	0.266572662766415	6.95336571044348e-34	c
T1	C1	h2-0	env-0.0	1.74369755602247	0.186671003124479	0.156	0.266572662766415	6.95336571044348e-34	c.p
T1	C1	h2-0	env-0.0	0.621212721662812	0.430596987760614	0.424	0.166926199912253	5.76676780129677e-14	nc
T1	C1	h2-0	env-0.0	1.74837047756761	0.186081717230965	0.15	0.267007870998537	5.40785678591695e-34	c-Tm
T1	C1	h2-0	env-0.0	1.74837047756761	0.186081717230965	0.19	0.267007870998537	5.40785678591695e-34	c.p-Tm
T1	C1	h2-0	env-0.0	1.01358872034579	0.314044625108389	0.321	0.211380840044641	1.22991217187871e-21	nc-Tm
T2	C1	h2-0	env-0.0	3.27302593348994	0.0704276081127858	0.065	0.346085548622283	2.28995282694142e-57	c
T2	C1	h2-0	env-0.0	3.27302593348994	0.0704276081127858	0.062	0.346085548622283	2.28995282694142e-57	c.p
T2	C1	h2-0	env-0.0	1.88105582162395	0.170214195240339	0.16	0.286645557526306	3.92085491795288e-39	nc
T2	C1	h2-0	env-0.0	2.09222725011151	0.148050091661152	0.132	0.28296097650907	3.88941070020353e-38	c-Tm
T2	C1	h2-0	env-0.0	2.09222725011151	0.148050091661152	0.17	0.28296097650907	3.88941070020353e-38	c.p-Tm
T2	C1	h2-0	env-0.0	0.0657771869953008	0.797587451623033	0.785	0.0559596925788399	0.0123148899577114	nc-Tm
T3	C1	h2-0	env-0.0	0.00951252857195121	0.922303770179254	0.931	0.0212199063246633	0.342876719601141	c
T3	C1	h2-0	env-0.0	0.00951252857195121	0.922303770179254	0.938	0.0212199063246633	0.342876719601141	c.p
T3	C1	h2-0	env-0.0	2.15522115319301	0.142085983993027	0.147	0.303690614124587	6.10739875439514e-44	nc
T3	C1	h2-0	env-0.0	0.335766629636991	0.562283056143013	0.58	-0.125356360046822	1.85720407996732e-08	c-Tm
T3	C1	h2-0	env-0.0	0.335766629636991	0.562283056143013	0.59	-0.125356360046822	1.85720407996732e-08	c.p-Tm
T3	C1	h2-0	env-0.0	0.402702315513983	0.525696958296916	0.533	0.135943226683374	1.03367495886993e-09	nc-Tm
T4	C1	h2-0	env-0.0	0.000715546427056294	0.978659372772687	0.978	0.00566218502258672	0.800218500654667	c
T4	C1	h2-0	env-0.0	0.000715546427056294	0.978659372772687	0.984	0.00566218502258672	0.800218500654667	c.p
T4	C1	h2-0	env-0.0	4.43492108561613	0.0352108474638499	0.021	0.406154813812189	2.66978301368329e-80	nc
