V1,Qx_random,Qx_strat,p_random,p_strat,REP
c,2.71627379127969,7.0127456027161,0.0993296512784209,0.00809314730618023,M1
c.p,2.71627379127969,7.0127456027161,0.0993296512784209,0.00809314730618023,M1
nc,1.49980279886688,1.00811856001598,0.220701707026399,0.315353996064712,M1
Tm-c,2.90022316503272,5.7278365146228,0.0885672901190163,0.0166980419547927,M1
Tm-c.p,2.90022316503272,5.7278365146228,0.0885672901190163,0.0166980419547927,M1
Tm-nc,2.25913644646773,2.18205022722986,0.132828111446177,0.139628348167708,M1
c,0.520132507628623,2.22931701773325,0.470785163486389,0.135413693830016,M2
c.p,0.520132507628623,2.22931701773325,0.470785163486389,0.135413693830016,M2
nc,0.876060061666071,1.3342988838971,0.349283072303694,0.248041879432254,M2
Tm-c,0.15082613905011,2.26945086092904,0.697747117159064,0.131946647936934,M2
Tm-c.p,0.15082613905011,2.26945086092904,0.697747117159064,0.131946647936934,M2
Tm-nc,3.52712603827921,0.839341426549446,0.0603723503030402,0.359585191088873,M2
c,0.00717051195925346,1.98889119922449,0.932516690529811,0.158456862515819,M3
c.p,0.00717051195925346,1.98889119922449,0.932516690529811,0.158456862515819,M3
nc,3.18258937004978,0.853911252529736,0.0744266996740798,0.355448213032111,M3
Tm-c,0.131741790043588,1.55687822642407,0.71663288338454,0.212122893959952,M3
Tm-c.p,0.131741790043588,1.55687822642407,0.71663288338454,0.212122893959952,M3
Tm-nc,0.184729366800186,0.0318060330889493,0.667340010001691,0.858454034902401,M3
c,0.0400784720593554,2.26394571036826,0.841327229678208,0.132416299171284,M4
c.p,0.0400784720593554,2.26394571036826,0.841327229678208,0.132416299171284,M4
nc,6.72972265357439,0.569689464487895,0.0094819341950936,0.450382341304621,M4
Tm-c,0.0188772645788746,0.24283119598966,0.89071893231213,0.622168712386226,M4
Tm-c.p,0.0188772645788746,0.24283119598966,0.89071893231213,0.622168712386226,M4
Tm-nc,9.30209298283975,0.56655119798065,0.00228892212542553,0.451632642294433,M4
c,0.694393592260122,1.84279928196445,0.40467396546252,0.174623208388243,M5
c.p,0.694393592260122,1.84279928196445,0.40467396546252,0.174623208388243,M5
nc,2.19897852891066,1.67794089023765,0.13810222516311,0.195198284577981,M5
Tm-c,1.67502473627819,2.16518839247188,0.195586861917155,0.141167321178107,M5
Tm-c.p,1.67502473627819,2.16518839247188,0.195586861917155,0.141167321178107,M5
