FID	IID	pheno_random	pheno_strat
tsk_0	tsk_0	-1.90631518521722	-1.15639076757467
tsk_1	tsk_1	0.297663334096074	-0.10885341909989
tsk_2	tsk_2	-1.17360729654668	-0.0360872807247066
tsk_3	tsk_3	-2.35440169375205	-1.36860647171986
tsk_4	tsk_4	-3.05347427044183	-1.42247731372554
tsk_5	tsk_5	-1.23276297600108	-0.743440968501887
tsk_6	tsk_6	0.0192818956063159	0.447790259282944
tsk_7	tsk_7	-0.934828881346985	-0.345473819435744
tsk_8	tsk_8	-1.49025003911774	-1.15738607351279
tsk_9	tsk_9	-1.51133115255257	-1.53253795640943
tsk_10	tsk_10	-1.81655068717313	-1.25607042306771
tsk_11	tsk_11	0.0711882791419015	1.45263277734005
tsk_12	tsk_12	0.668194784279549	1.12685537531205
tsk_13	tsk_13	0.260343603600108	0.647292166087521
tsk_14	tsk_14	-2.27589468270902	-1.75604806841716
tsk_15	tsk_15	-2.62051066363605	-2.13172510659048
tsk_16	tsk_16	-0.239279249243902	-0.261960018486552
tsk_17	tsk_17	-2.73023516405151	-2.15355867454645
tsk_18	tsk_18	-1.28515376818456	-1.01512167391146
tsk_19	tsk_19	-1.56042213223868	-0.753562266874973
tsk_20	tsk_20	-1.93469016255136	-1.62992269532301
tsk_21	tsk_21	0.492975773544843	0.0850805299957058
tsk_22	tsk_22	0.25898374829154	0.0423635740063795
tsk_23	tsk_23	-1.1820788221809	-0.674644559986214
tsk_24	tsk_24	-1.89349411297087	-1.03910475115371
tsk_25	tsk_25	0.86140855177111	1.24710114851587
tsk_26	tsk_26	-0.802588378773297	-0.301941191647158
tsk_27	tsk_27	-0.731207610469703	-0.363482384679751
tsk_28	tsk_28	-1.35538118036548	-0.917029170390691
tsk_29	tsk_29	-1.8622034405187	-1.55532384519036
tsk_30	tsk_30	-1.21770366893772	-1.39003654710021
tsk_31	tsk_31	-1.87846605490633	-2.40741243032039
tsk_32	tsk_32	-0.416599060290689	0.318020634841419
tsk_33	tsk_33	-1.80513400632294	-0.664289140989786
tsk_34	tsk_34	-0.961733005479671	-0.642857820436115
tsk_35	tsk_35	-1.68156413173009	-0.728194757825266
tsk_36	tsk_36	-0.531726348946556	-0.35220463536348
tsk_37	tsk_37	-0.822671253083922	-0.0625068533456305
tsk_38	tsk_38	0.838003444595936	0.948982891776525
tsk_39	tsk_39	-0.666867148836461	0.49195953507367
tsk_40	tsk_40	-1.08486263617434	-0.803397535639579
tsk_41	tsk_41	-1.91642434861679	-0.691755366157516
tsk_42	tsk_42	-2.4166527192595	-2.4203581094546
tsk_43	tsk_43	-0.761555192690508	0.410248146595904
tsk_44	tsk_44	-2.63517724631363	-1.9213842686309
tsk_45	tsk_45	-0.774945666223881	-0.520275361092843
tsk_46	tsk_46	-2.37652981522845	-2.06462042249233
tsk_47	tsk_47	-0.868683753853206	-0.718389815533694
tsk_48	tsk_48	-1.47004618917088	-1.44668108065972
tsk_49	tsk_49	-2.30663351958102	-1.83696501494715
tsk_50	tsk_50	-0.945599005431282	-0.414519710210963
tsk_51	tsk_51	-0.727285910620437	-0.57925939649904
tsk_52	tsk_52	-1.50515832806213	-1.28921418541645
tsk_53	tsk_53	-0.148757050981869	-0.647265875315311
tsk_54	tsk_54	-2.47616298522448	-1.31279380408988
tsk_55	tsk_55	-0.140426162461649	-0.159671809907228
