FID	IID	pheno_random	pheno_strat
tsk_0	tsk_0	-2.46693912354676	-1.89410662849445
tsk_1	tsk_1	-1.4325354831433	-1.78907842884833
tsk_2	tsk_2	-3.90283906947013	-2.7969434477193
tsk_3	tsk_3	-2.5294772165421	-1.92630886526193
tsk_4	tsk_4	-2.44587222694912	-1.25232746095804
tsk_5	tsk_5	-2.63426560347673	-1.78591940026455
tsk_6	tsk_6	-3.10469567530405	-2.49954350897341
tsk_7	tsk_7	-2.8399402724955	-2.38342088247218
tsk_8	tsk_8	-2.66581474750529	-2.0432196444158
tsk_9	tsk_9	-3.36542378333483	-3.15637305686351
tsk_10	tsk_10	-1.97636035982999	-1.14306673836537
tsk_11	tsk_11	-4.54357612778071	-3.52760709440336
tsk_12	tsk_12	-2.5045162318376	-1.69889264955907
tsk_13	tsk_13	-1.90366706920938	-1.68895198922607
tsk_14	tsk_14	-3.66730564416417	-3.16859320802168
tsk_15	tsk_15	-3.74354403338643	-2.75502230791353
tsk_16	tsk_16	-1.34406767017765	-1.56142147876844
tsk_17	tsk_17	-2.30042408794667	-1.78398568198433
tsk_18	tsk_18	-1.24484405613754	-1.16474151381303
tsk_19	tsk_19	-3.39183255228944	-3.00040404555955
tsk_20	tsk_20	-2.55744081371896	-2.07265444891288
tsk_21	tsk_21	-1.59550203978444	-2.34886544598572
tsk_22	tsk_22	-1.80700719823865	-1.7269983067924
tsk_23	tsk_23	-2.94074328470907	-2.50123068644667
tsk_24	tsk_24	-2.61280504435221	-1.63487506550962
tsk_25	tsk_25	-3.97788995553024	-3.51289154764963
tsk_26	tsk_26	-1.20079007421594	-0.767420667848191
tsk_27	tsk_27	-2.32607716484459	-1.90958628527441
tsk_28	tsk_28	-3.73962724557184	-3.09607066489011
tsk_29	tsk_29	-2.52746652526257	-2.49838294914551
tsk_30	tsk_30	-1.44219681785854	-1.38026461865277
tsk_31	tsk_31	-1.59264447325124	-2.25358311768628
tsk_32	tsk_32	-2.17447232347655	-1.38639929634978
tsk_33	tsk_33	-2.7122177739128	-2.09111123861127
tsk_34	tsk_34	-2.90332735177478	-2.43929116983015
tsk_35	tsk_35	-3.84195616451972	-3.43896333609509
tsk_36	tsk_36	-2.13887035371076	-1.93566119351647
tsk_37	tsk_37	-1.23788633216289	-0.349989857222622
tsk_38	tsk_38	-0.98796106704191	-1.08258416874895
tsk_39	tsk_39	-2.38667144416441	-1.66306289628754
tsk_40	tsk_40	-2.65460434534794	-2.27229786067839
tsk_41	tsk_41	-4.08566792191705	-3.1632622828034
tsk_42	tsk_42	-1.44493929756932	-1.19042370053266
tsk_43	tsk_43	-2.96222634847668	-1.68928393774217
tsk_44	tsk_44	-1.9340524668073	-1.38700210343498
tsk_45	tsk_45	-2.76932482342252	-2.48383602446713
tsk_46	tsk_46	-1.59143012104783	-0.830762048553986
tsk_47	tsk_47	-2.02329783595235	-1.3753222115307
tsk_48	tsk_48	-2.01884046714169	-1.7777275496048
tsk_49	tsk_49	-2.36929325291675	-1.56320822038544
tsk_50	tsk_50	-2.8372333706551	-2.49080651303005
tsk_51	tsk_51	-4.07541176692921	-3.62835426528614
tsk_52	tsk_52	-0.823813987535125	-0.626480411321622
tsk_53	tsk_53	-3.20536265446367	-3.66510717099601
tsk_54	tsk_54	-3.76440569237856	-2.89245824873749
tsk_55	tsk_55	-0.795636197780184	-0.666781159865173
tsk_56	tsk_56	-1.99057030525255	-1.81741356080528
tsk_57	tsk_57	-4.1331963644792	-3.06410376832308
tsk_58	tsk_58	-3.11360995126679	-2.81777418920581
tsk_59	tsk_59	-1.24053247842797	-1.1974711299152
tsk_60	tsk_60	-2.57441089177572	-2.33704063830779
tsk_61	tsk_61	-2.28936908443104	-2.03851953671901
tsk_62	tsk_62	-2.71524314594145	-2.82379513607935
tsk_63	tsk_63	-1.39434744741921	-1.16117575015895
tsk_64	tsk_64	-1.57821840024328	-1.58511664516787
tsk_65	tsk_65	-0.244453548434996	-0.190214740797018
tsk_66	tsk_66	-1.43498946057084	-1.94349496523988
tsk_67	tsk_67	-3.47319526185752	-2.03421926779466
tsk_68	tsk_68	-1.98514501198322	-1.72258320663699
tsk_69	tsk_69	-3.124014631364	-3.27527876870509
tsk_70	tsk_70	-3.17796639308363	-2.98054912744024
tsk_71	tsk_71	-2.14825446806566	-1.7872107917489
tsk_72	tsk_72	-3.55776317608423	-2.8204037158856
tsk_73	tsk_73	-2.0213546345616	-1.55717981845072
tsk_74	tsk_74	-2.43045222058248	-2.04422125964032
tsk_75	tsk_75	-2.06660812431503	-1.44857262611087
tsk_76	tsk_76	-4.836976506999	-3.65733325975377
tsk_77	tsk_77	-3.07349024919666	-2.57883743429463
tsk_78	tsk_78	-1.90577945118679	-1.49480163297704
tsk_79	tsk_79	-2.56190172463762	-1.76238884595393
tsk_80	tsk_80	-2.28523733694098	-1.92136058301998
tsk_81	tsk_81	-2.11606821175935	-1.00508789786234
tsk_82	tsk_82	-1.69770125786867	-1.35224519110467
tsk_83	tsk_83	-3.45153741887727	-3.62869278885322
tsk_84	tsk_84	-3.76481354860938	-3.13629111244921
tsk_85	tsk_85	-1.85213137373587	-2.29104569243234
tsk_86	tsk_86	-2.2582150014522	-1.46183910864101
tsk_87	tsk_87	-1.46161275398696	-1.37436872496824
tsk_88	tsk_88	-3.75031492068797	-3.24259752480213
tsk_89	tsk_89	-2.71822056832638	-1.67395500514213
tsk_90	tsk_90	-2.4283174406616	-2.18181864962889
tsk_91	tsk_91	-3.36119527584693	-3.01726938633334
tsk_92	tsk_92	-1.36316824283469	-1.38819875382207
tsk_93	tsk_93	-2.07190933750485	-1.65333712184275
tsk_94	tsk_94	-1.50061741823636	-1.94278244008834
tsk_95	tsk_95	-2.60541762833535	-2.1488283181591
tsk_96	tsk_96	-2.85765445742655	-2.72170008863452
tsk_97	tsk_97	-2.1038884859963	-1.22793335857651
tsk_98	tsk_98	-3.84879178303315	-3.49962318529204
