FID	IID	pheno_random	pheno_strat
tsk_0	tsk_0	-2.12610133323951	-1.17009411702359
tsk_1	tsk_1	-0.621101578318806	-1.2381091118707
tsk_2	tsk_2	-0.757670003950802	0.114429307347192
tsk_3	tsk_3	-0.600860275336167	0.336316688153055
tsk_4	tsk_4	-2.52542143057737	-1.21005471762165
tsk_5	tsk_5	-1.06494568324571	-0.55292343561671
tsk_6	tsk_6	-1.74630040182196	-1.49798592888257
tsk_7	tsk_7	-2.06573833344767	-1.18789987210297
tsk_8	tsk_8	-0.753733545561918	-0.241517607785609
tsk_9	tsk_9	-0.678249067477022	-0.383329043048367
tsk_10	tsk_10	-1.48170491229555	-0.846522538788561
tsk_11	tsk_11	-1.58555222363113	-0.750829058985914
tsk_12	tsk_12	-1.73129080051853	-1.00800207851645
tsk_13	tsk_13	-1.76018387718619	-1.54406737980889
tsk_14	tsk_14	0.364344786028759	1.14748630184888
tsk_15	tsk_15	-1.48640227146147	-0.492560671502579
tsk_16	tsk_16	0.0913843455670813	0.0495144384309784
tsk_17	tsk_17	-0.809861722949737	-0.563812523432877
tsk_18	tsk_18	-0.58384404428432	-0.640360409667416
tsk_19	tsk_19	-2.61234255428475	-1.9007023695154
tsk_20	tsk_20	-1.32333897396426	-1.23436750013578
tsk_21	tsk_21	-0.299492922780325	-0.810779335615397
tsk_22	tsk_22	-0.792297079734171	-0.610962789674203
tsk_23	tsk_23	-0.869146419358476	-0.290257552884244
tsk_24	tsk_24	-0.965808360672834	0.176136864845256
tsk_25	tsk_25	-1.90884213121057	-1.25078050222244
tsk_26	tsk_26	-2.12622948667691	-1.58585309264017
tsk_27	tsk_27	-1.08920959855852	-0.683790554007661
tsk_28	tsk_28	-1.07634583208218	-0.94080718661683
tsk_29	tsk_29	-2.14549982650456	-2.04236246043533
tsk_30	tsk_30	-1.56723926842879	-1.47804689998715
tsk_31	tsk_31	-1.65848206035396	-2.1025585244511
tsk_32	tsk_32	-2.18408557749155	-1.72825447275948
tsk_33	tsk_33	-1.96952857714495	-1.11042786498801
tsk_34	tsk_34	-2.79893813906591	-2.38604464350483
tsk_35	tsk_35	-2.34305710194661	-1.78530210523312
tsk_36	tsk_36	-0.312618417418063	-0.45686393608013
tsk_37	tsk_37	0.756719443970854	1.29643785011171
tsk_38	tsk_38	-0.569060834940169	-0.500274194473841
tsk_39	tsk_39	-1.56865467372947	-0.735640271866415
tsk_40	tsk_40	-0.0443845432733369	0.398605049002604
tsk_41	tsk_41	-2.88102892826939	-1.94569114903077
tsk_42	tsk_42	-2.49845992763728	-2.27465995560704
tsk_43	tsk_43	-0.759230173876181	0.521516661767504
tsk_44	tsk_44	-0.482542566411169	0.187438353833182
tsk_45	tsk_45	-1.32569993419038	-0.985537885361341
tsk_46	tsk_46	-1.92797151359697	-0.989901631553013
tsk_47	tsk_47	-0.74120117333489	-0.87674776263088
tsk_48	tsk_48	-2.06143065618367	-1.80028929092716
tsk_49	tsk_49	-1.29264160078005	-0.596163748647722
tsk_50	tsk_50	-0.835562883893007	-0.0246114274486121
tsk_51	tsk_51	-1.4484763808007	-0.982324120974528
tsk_52	tsk_52	-0.720152033923747	-0.405263209851339
tsk_53	tsk_53	-0.632961188160669	-1.2614289489613
